code,sec_code,sec_name,source_run,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4,Redundancy,first_trade_date,last_trade_date,daily_obs,listing_year,short_name_patent,listing_year_patent,industry_code_patent,industry_name_patent,invention_grant_count,patent_application_total,patent_grant_total,FInvention_ln1p_auth,FInvention_ln_auth,FInvention_ln1p_total_app,revenue_listing_year,operating_revenue_listing_year,total_operating_revenue_listing_year,revenue_target_year_x,operating_revenue_target_year,total_operating_revenue_target_year,FSales_Growth_raw,incl_first_n_stock_days,incl_first_n_market_days,incl_first_window_start,incl_first_window_end,incl_first_stock_bhr,incl_first_market_bhr_vw,incl_first_market_bhr_ew,incl_first_BHAR_vw,incl_first_BHAR_ew,excl_first_n_stock_days,excl_first_n_market_days,excl_first_window_start,excl_first_window_end,excl_first_stock_bhr,excl_first_market_bhr_vw,excl_first_market_bhr_ew,excl_first_BHAR_vw,excl_first_BHAR_ew,FSales_Growth_w1p,incl_first_BHAR_vw_w1p,excl_first_BHAR_vw_w1p,incl_first_BHAR_ew_w1p,excl_first_BHAR_ew_w1p,csmar_patents_obtained,csmar_invention_obtained,csmar_utility_obtained,csmar_design_obtained,old_invention_grant_count,old_FInvention_ln1p_auth,old_FInvention_ln_auth,FInvention,BHAR,FSales_Growth,balance_accper,A001000000,A002000000,A001219000,income_accper,B001101000,B001100000,B002000000,B001216000,Size,Lev,ROA,RD_Asset,Dev_Asset,IndustryCode,IndustryCodeC,IndustryCodeD,EstablishDate,PROVINCE,CITY,Age,industry_fe,listing_year_fe,Fltcst,Tludwfe,Grsprc,Listdt,Offerfee,scope_year,BusinessScope,MAINBUSSINESS,BusinessScope_char_len,BusinessScope_utf8_bytes,BusinessScope_gb18030_bytes,ScopeLen,ScopeLen_char,ScopeLen_utf8,ScopeLen_gb18030,ScopeLen_log1p_char,segment_target_year,NumIndSeg_count,NumIndSeg_count_main,NumIndSeg_count_operating,NumIndSeg_source,NumIndSeg,NumIndSeg_ln_count,NumProdSeg_count,NumProdSeg_count_main,NumProdSeg_count_operating,NumProdSeg_source,NumProdSeg,NumProdSeg_ln_count,rd_target_year,Source,RDPerson,RDPersonRatio,RD_Staff,Udwnm_clean,Underwriter_ipocsne_pool_count,Underwriter_ipocsne_pool_grsprc_full,Underwriter_ipocsne_pool_grsprc_weighted,Underwriter_ipocsne_annual_count,Underwriter_ipocsne_annual_grsprc_full,Underwriter_ipocsne_annual_grsprc_weighted,Underwriter_ipo,employee_total_range,employee_total,employee_rd_contains,employee_rd_exact_core,employee_professional_rows,RD_Staff_ipo,RD_Staff_ipo_exact_core,ipo_pre_fin_year,ipo_pre_year_gap,ipo_pre_asset,ipo_pre_liability,ipo_pre_dev_expenditure,ipo_pre_sales,ipo_pre_total_sales,ipo_pre_sales_cost,ipo_pre_net_profit,Size_ipo_pre,Lev_ipo_pre,ROA_ipo_pre,RD_Asset_ipo_pre,ipo_lag1_fin_year,ipo_lag1_year_gap,ipo_lag1_asset,ipo_lag1_liability,ipo_lag1_dev_expenditure,ipo_lag1_sales,ipo_lag1_total_sales,ipo_lag1_sales_cost,ipo_lag1_net_profit,Size_ipo_lag1,Lev_ipo_lag1,ROA_ipo_lag1,RD_Asset_ipo_lag1,revenue_target_year_y,FSales_Growth_ipo_pre_to_Lp1_raw,FSales_Growth_ipo_pre_to_Lp1_w1p,FSales_Growth_ipo_lag1_to_Lp1_raw,FSales_Growth_ipo_lag1_to_Lp1_w1p
688475,688475,萤石网络,full543,15,58878,1972,2326,2.353326441267958,31.149527381799015,26.579530230713104,2022-12-22,15,58883,10.983307703191752,29.856997971602436,25.31298366294067,29.856997971602436,2022-12-28,2026-02-13,760,2022,萤石网络,2022.0,C39,计算机、通信和其他电子设备制造业,90.0,335.0,237.0,4.51085950651685,4.499809670330265,5.817111159963204,4306313778.13,4306313778.13,4306313778.13,4839744865.55,4839744865.55,4839744865.55,0.1238718576730468,252,252,2022-12-28,2024-01-10,0.4345907890590021,0.0295708441318272,-0.0488782421547252,0.4050199449271749,0.4834690312137274,252,252,2022-12-29,2024-01-11,0.6365744376811531,0.0597770180410424,-0.0148350732592351,0.5767974196401107,0.6514095109403882,0.1238718576730468,0.4050199449271749,0.5767974196401107,0.4834690312137274,0.6514095109403882,323.0,90.0,87.0,146.0,71.0,4.276666119016055,4.2626798770413155,4.51085950651685,0.6514095109403882,0.1238718576730468,2022-01-01,3731437147.78,2322282718.34,,2022-01-01,4237935652.7,4237935652.7,450712844.36,490490862.28,22.040059290706335,0.6223561127705529,0.120788003793163,0.1314482444309198,,C39,C39,C39,2015-03-25,浙江省,杭州市,2.049215165531044,C39,2022,11525.97,9028.18,323662.5,2022-12-28,18.56269840115837,2022,智能硬件电子产品及软件的生产制造、技术开发、技术咨询、技术服务及网络信息服务、云计算技术业务等。,"面向智能家居场景下的消费者用户,提供以视觉交互为主的智能生活解决方案;面向行业客户,提供用于管理物联网设备的开放式云平台服务。",48.0,144.0,96.0,4.969813299576001,3.871201010907891,4.969813299576001,4.564348191467836,3.8918202981106265,2022,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341005,2021,1.0,1119.0,29.43,0.2943,中国国际金融股份有限公司,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,4057.0,1150.0,1150.0,5.0,0.2834606852353956,0.2834606852353956,2021,0,3731437147.78,2322282718.34,,4237935652.7,4237935652.7,2743468148.87,450712844.36,22.040059290706335,0.6223561127705529,0.120788003793163,,2021.0,0.0,3731437147.78,2322282718.34,,4237935652.7,4237935652.7,2743468148.87,450712844.36,22.040059290706335,0.6223561127705529,0.120788003793163,,4839744865.55,0.1420052738334019,0.1420052738334019,0.1420052738334019,0.1420052738334019
688496,688496,清越科技,full543,12,43846,1665,1986,2.4139201768076064,27.871997088310252,23.409441918376647,2022-12-23,12,43850,10.688529997800329,26.333933933933935,22.07754279959718,26.333933933933935,2022-12-28,2026-02-13,760,2022,清越科技,2022.0,C39,计算机、通信和其他电子设备制造业,16.0,171.0,100.0,2.833213344056216,2.772588722239781,5.147494476813453,1044193300.16,1044193300.16,1044193300.16,661075460.74,661075460.74,661075460.74,-0.3669031771811746,252,252,2022-12-28,2024-01-10,1.063105462056289,0.0295708441318272,-0.0488782421547252,1.0335346179244618,1.1119837042110143,252,252,2022-12-29,2024-01-11,0.9820163577087616,0.0597770180410424,-0.0148350732592351,0.9222393396677192,0.9968514309679968,-0.3669031771811746,1.0335346179244618,0.9222393396677192,1.1119837042110143,0.9968514309679968,97.0,16.0,80.0,1.0,13.0,2.6390573296152584,2.5649493574615367,2.833213344056216,0.9968514309679968,-0.3669031771811746,2022-01-01,1530931075.21,889174765.37,,2022-01-01,694279246.89,694279246.89,53298421.72,74376556.81,21.14914193315068,0.5808065299399783,0.034814383601619,0.0485825639144451,,C39,C39,C39,2010-12-30,江苏省,昆山市,2.4844502371830894,C39,2022,8944.526,6265.44,82440.0,2022-12-28,18.30913737601747,2022,"研发、生产有机发光显示器等新型平板显示器件,销售自产产品;从事与本企业生产同类产品、电子产品零组件及材料的批发、佣金代理(拍卖除外)及进出口业务,并提供上述产品的组装、售前和售后服务及其他相关服务(不涉及国营贸易管理商品,涉及配额、许可证管理商品的,按国家有关规定办理申请)。(前述经营项目中法律、行政法规规定前置许可经营、限制经营、禁止经营的除外)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",为客户提供个性化的中小尺寸显示系统整体解决方案。,204.0,584.0,394.0,6.369900982828227,5.318119993844216,6.369900982828227,5.976350909297934,5.3230099791384085,2022,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055,2021,1.0,202.0,23.43,0.2343,广发证券股份有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,976.0,222.0,222.0,4.0,0.2274590163934426,0.2274590163934426,2021,0,1530931075.21,889174765.37,,694279246.89,694279246.89,525275162.63,53298421.72,21.14914193315068,0.5808065299399783,0.034814383601619,,2021.0,0.0,1530931075.21,889174765.37,,694279246.89,694279246.89,525275162.63,53298421.72,21.14914193315068,0.5808065299399783,0.034814383601619,,661075460.74,-0.0478248288404632,-0.0478248288404632,-0.0478248288404632,-0.0478248288404632
688525,688525,佰维存储,full543,15,54985,1836,2192,2.4414221247955425,29.67215581053752,24.98934874603882,2022-12-27,15,54992,10.914942999089616,29.948257080610023,25.084397810218977,29.948257080610023,2022-12-30,2026-02-13,758,2022,佰维存储,2022.0,C39,计算机、通信和其他电子设备制造业,56.0,135.0,91.0,4.04305126783455,4.02535169073515,4.912654885736052,2985692711.9,2985692711.9,2985692711.9,3590752218.29,3590752218.29,3590752218.29,0.2026529736226469,252,252,2022-12-30,2024-01-12,1.8842414599711308,0.037997034478119,-0.0309669758125654,1.8462444254930117,1.9152084357836965,252,252,2023-01-03,2024-01-15,1.520581661565013,0.0360757584010229,-0.0340175650286223,1.48450590316399,1.5545992265936353,0.2026529736226469,1.8462444254930117,1.414481149437195,1.9152084357836965,1.5545992265936353,90.0,56.0,25.0,9.0,57.0,4.060443010546419,4.04305126783455,4.04305126783455,1.5545992265936353,0.2026529736226469,2022-01-01,2809545705.18,990188674.47,,2022-01-01,2609045674.96,2609045674.96,116572594.08,106870963.05,21.75628863646749,0.3524372900018586,0.0414916169062754,0.0380385209085442,,C39,C39,C39,2010-09-06,广东省,深圳市,2.510806081888452,C39,2022,7937.0269,4997.26,60203.0467,2022-12-30,18.189634410251184,2022,规模集成电路、嵌入式存储、移动存储、其他数码电子产品的研发、测试、生产、销售。主要产品及服务包括嵌入式存储、消费级存储、工业级存储、先进封测服务。,半导体存储器的存储介质应用研发、封装测试、生产和销售,73.0,219.0,146.0,5.389071729816501,4.290459441148391,5.389071729816501,4.983606621708336,4.30406509320417,2022,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341005,1.3862943611198906,2021,1.0,,,,中信证券股份有限公司;国开证券股份有限公司,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,1117.0,329.0,329.0,4.0,0.2945389435989257,0.2945389435989257,2021,0,2809545705.18,990188674.47,,2609045674.96,2609045674.96,2151283851.85,116572594.08,21.75628863646749,0.3524372900018586,0.0414916169062754,,2021.0,0.0,2809545705.18,990188674.47,,2609045674.96,2609045674.96,2151283851.85,116572594.08,21.75628863646749,0.3524372900018586,0.0414916169062754,,3590752218.29,0.3762703553838898,0.3762703553838898,0.3762703553838898,0.3762703553838898
