sec_code,sec_name,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4,source_run
688285,高铁电气,15,57206,1752,2003,2.2766457119093033,33.301778384939404,29.056416300242372,2021-10-14,15,57208,10.954449027728232,32.651826484018265,28.56015976035946,full543
688111,金山办公,23,85327,2624,2981,2.663989000567711,35.83133418595212,31.30495492022193,2019-11-13,23,85339,11.354386838838792,32.51791158536585,28.623616236162363,full543
688004,博汇科技,18,68717,2118,2441,2.169618307756524,34.68148935957444,30.608912141241177,2020-06-09,18,68724,11.137853762181855,32.44428706326723,28.15116755428103,full543
688585,上纬新材,20,75201,2318,2800,2.0399336853650465,32.38209865985101,26.87710001055879,2020-09-23,20,75204,11.227959700012676,32.442191544434856,26.8575,full543
688297,中无人机,12,45890,1416,1679,2.38803704076719,33.69896700220515,28.24530375124631,2022-06-21,12,45892,10.734046088919031,32.40819209039548,27.33174508636093,full543
688338,赛科希德,18,67794,2096,2442,2.2247494848777793,34.053785627123496,29.307517574103365,2020-07-29,18,67797,11.124273225161916,32.344465648854964,27.76167076167076,full543
688131,皓元医药,25,97034,3002,3570,2.2005070774336617,33.42796109207327,28.38095159507504,2021-06-03,25,97041,11.482888848593689,32.323117921385744,27.180392156862744,full543
688578,艾力斯,20,74571,2311,2932,2.138064653603633,34.66439254849403,27.41336064317982,2020-11-25,20,74580,11.219627653732813,32.2678494158373,25.43349249658936,full543
688121,卓然股份,16,61344,1904,2326,2.1356226282845374,33.43989754332697,27.208333695994515,2021-09-01,16,61355,11.024431946410647,32.21848739495798,26.3731728288908,full543
688117,圣诺生物,20,75919,2357,3003,2.1291523839988415,34.474824282614804,27.209101171759414,2021-05-28,20,75924,11.237488118934884,32.21001272804413,25.281052281052283,full543
688071,华依科技,18,66704,2071,2419,2.1969037312153263,35.441165498615604,30.76500946804468,2021-07-23,18,66712,11.108140125766822,32.20859488169966,27.575031004547338,full543
688557,兰剑智能,19,72675,2259,2801,2.398257295226204,33.062337050999304,27.038343812078622,2020-11-27,19,72679,11.193807763472138,32.17131474103586,25.94609068189932,full543
688296,和达科技,16,62807,1954,2277,2.5211890220038295,33.66572229725629,29.018171873824247,2021-07-21,16,62818,11.04799693559124,32.142784032753326,27.58322353974528,full543
688543,国科军工,9,35122,1093,1313,2.3033245271195018,32.36587234568866,26.911408579030827,2023-06-16,9,35125,10.466668406636046,32.13357731015554,26.74942878903275,full543
688069,德林海,20,75234,2344,3067,2.3769719410534433,33.072533986416666,25.342666882433495,2020-07-17,20,75243,11.228478155028377,32.096416382252556,24.530159765242907,full543
688253,英诺特,15,57601,1797,2158,2.3430179110856453,34.87501913172908,28.9833244918053,2022-07-25,15,57607,10.961399367077858,32.05397885364496,26.691844300278035,full543
688136,科兴制药,18,68097,2127,2640,1.9816164860526213,33.10834947993383,26.544800953143973,2020-12-07,18,68104,11.128791227563893,32.015514809590975,25.79431818181818,full543
688516,奥特维,28,103988,3250,4159,2.8322305361174043,33.21416325752055,25.699101428585372,2020-05-18,28,104002,11.552165408707832,31.996307692307692,25.003125751382544,full543
688339,亿华通,20,74275,2322,2761,2.084697478155786,32.8380345298434,27.6975646909344,2020-08-04,20,74280,11.215597015466642,31.987510766580534,26.901484969214053,full543
688316,青云科技,20,75099,2348,2727,2.0610497572833126,36.3643482910946,31.3646753764938,2021-03-09,20,75107,11.226669042463126,31.984241908006815,27.53905390539054,full543
688221,前沿生物,20,76846,2403,2947,2.192947124877876,34.02450923187651,27.893712610023737,2020-10-22,20,76853,11.249649785290046,31.97919267582189,26.07600950118765,full543
688091,上海谊众,11,41179,1290,1694,2.08900488532537,33.377219365678584,25.611464651739777,2021-09-03,11,41180,10.62570798058178,31.92170542635659,24.308736717827628,full543
688387,信科移动,21,81935,2567,3036,2.3353574850079033,35.249883477225325,29.781007053593353,2022-09-21,21,81941,11.313754755078138,31.91858200233736,26.987812911725957,full543
688303,大全能源,15,57755,1816,2299,2.389483020314053,33.85106993033382,26.738934715726216,2021-07-19,15,57760,10.964051773566707,31.8034140969163,25.12179208351457,full543
688533,上声电子,12,45072,1418,1658,2.295991853168774,33.02612798251146,28.344280767903665,2021-04-13,12,45076,10.71610523307224,31.78561354019746,27.18455971049457,full543
688276,百克生物,14,52795,1665,2091,2.1650204076106574,34.589140527519056,28.406392716457862,2021-06-21,14,52799,10.87424753012106,31.70870870870871,25.248684839789576,full543
688565,力源科技,14,51715,1632,2010,2.1513824847061573,31.62617227826691,26.118937316300833,2021-05-10,14,51720,10.853599832885791,31.68811274509804,25.728855721393035,full543
688057,金达莱,28,108549,3429,4116,2.401301691782496,33.577634639691134,28.35636088969005,2020-11-06,28,108559,11.59504908297038,31.656167979002625,26.372448979591837,full543
688187,时代电气,18,69863,2209,2560,2.535610780346626,33.08018146782755,28.965721906167385,2021-09-01,18,69872,11.154420275725345,31.62652784065188,27.290234375,full543
688021,奥福环保,19,74095,2343,2951,2.04237629419435,32.39974199921379,25.731905123771423,2019-10-31,19,74101,11.21318430646977,31.6239863422962,25.10843781768892,full543
688156,路德环境,17,64978,2055,2503,2.1539769200343652,33.0803179383941,27.19404784486016,2020-09-16,17,64981,11.081850198455246,31.61946472019465,25.960047942469036,full543
688696,极米科技,21,81182,2568,3141,2.5884640414288618,34.531675357162676,28.373205567424115,2021-02-25,21,81193,11.30458431553719,31.61292834890966,25.84590894619548,full543
688398,赛特新材,15,58370,1848,2303,2.281733992212615,32.9571120142687,26.44679559767195,2020-02-05,15,58377,10.974677255626265,31.585497835497836,25.345201910551456,full543
688667,菱电电控,16,61271,1940,2322,2.1312478218553865,32.69117528975123,27.2995109492858,2021-03-05,16,61276,11.023143528132588,31.58298969072165,26.387166236003445,full543
688687,凯因科技,20,75390,2388,3032,2.1218793254068777,31.88392997497339,25.019798884072397,2021-02-02,20,75395,11.230496238799896,31.57035175879397,24.864775725593667,full543
688566,吉贝尔,25,97249,3081,4046,2.2351077288624417,33.53724312048581,25.673012912387502,2020-05-12,25,97256,11.48510195623563,31.56410256410257,24.03583786455759,full543
688443,智翔金泰,16,62235,1972,2436,2.180348549216976,33.210946449065915,27.08241925313327,2023-06-15,16,62240,11.038753158852272,31.559330628803245,25.54802955665025,full543
688722,同益中,11,41559,1318,1620,2.5242337593533857,32.92744320496424,27.212784064164335,2021-10-12,11,41565,10.635013745965187,31.53186646433991,25.653703703703705,full543
688203,海正生材,20,77986,2476,3019,2.2529090988391514,32.71173587601913,27.012299138222296,2022-08-11,20,77990,11.264335892324544,31.4967689822294,25.831732361709175,full543
688559,海目星,18,68180,2165,2712,2.6445294210020163,34.42453272120727,27.350323909361233,2020-09-01,18,68189,11.13003854050029,31.4919168591224,25.140117994100297,full543
688800,瑞可达,15,56345,1791,2159,2.5238425532176056,32.64823141553476,27.221168941209083,2021-07-16,15,56351,10.939355265539389,31.46007816862088,26.09773043075498,full543
688737,中自科技,15,56941,1812,2167,2.2640522226523534,33.69000615098514,28.334557703491033,2021-10-18,15,56949,10.949911409458652,31.42439293598234,26.276419012459623,full543
688349,三一重能,35,129834,4132,5074,2.700903712503624,34.26799137383489,27.58084731536798,2022-06-17,35,129855,11.774173722317984,31.421587608906098,25.58809617658652,full543
688621,阳光诺和,14,51664,1645,1943,2.0587979918422694,33.826038578184814,29.066513140892145,2021-06-16,14,51669,10.852613267503855,31.406686930091187,26.589809572825526,full543
688317,之江生物,26,100907,3213,3816,2.2629021361846124,34.30238213874364,28.618206854453412,2021-01-12,26,100917,11.5220536757971,31.40585122938064,26.44313417190776,full543
688520,神州细胞,21,80911,2577,3204,1.9615887810034736,32.70515763162361,26.28700098750461,2020-06-15,21,80917,11.301179216941446,31.397361272797827,25.25312109862672,full543
688302,海创药业,19,72453,2308,2841,1.9127757768624047,35.14282848385875,28.869053348624703,2022-04-07,19,72458,11.190762362632867,31.3921143847487,25.502639915522703,full543
688293,奥浦迈,11,42857,1366,1589,2.012814453374822,32.58540116432168,28.084403211291672,2022-08-30,11,42861,10.665717600533268,31.374084919472914,26.97105097545626,full543
688588,凌志软件,23,89961,2873,3340,2.696830636364018,32.66064301558914,28.265746267845177,2020-04-30,23,89970,11.407231560411164,31.31256526279151,26.93443113772455,full543
688368,晶丰明源,16,62901,2009,2428,2.351288230580657,32.25755632220343,26.853922885816353,2019-10-08,16,62906,11.049396827646396,31.309606769537083,25.90650741350906,full543
688399,硕世生物,23,87768,2804,3335,2.4999964140770596,32.74327470295846,27.723382277243537,2019-11-29,23,87773,11.382509215245852,31.300998573466476,26.317241379310342,full543
688041,海光信息,9,34614,1106,1311,2.106585482262473,32.81291605176705,27.347454840783193,2022-08-09,9,34616,10.45207128190472,31.296564195298373,26.40274599542334,full543
688485,九州一轨,15,58468,1869,2337,2.3077568152745993,32.446681700866556,25.935847124213137,2023-01-13,15,58472,10.976303286160228,31.283039058319957,25.01839965768079,full543
688289,圣湘生物,19,70206,2245,2658,2.2175634405611326,31.516910830819526,26.70714463363609,2020-08-24,19,70216,11.159331484271954,31.27216035634744,26.41309255079007,full543
688670,金迪克,14,51656,1652,2073,2.180399341085074,32.47532943688012,26.264105823339168,2021-07-27,14,51661,10.852458423798913,31.268765133171915,24.91847563917029,full543
688319,欧林生物,20,77022,2464,3041,2.242197108884654,32.439246298498404,26.24702990767387,2021-06-02,20,77031,11.25196321721783,31.258928571428573,25.32785268003946,full543
688484,南芯科技,9,31989,1024,1216,2.120445495862162,31.448313037613655,26.59427521192143,2023-03-30,9,31992,10.373241150526654,31.2392578125,26.30674342105263,full543
688336,三生国健,36,138081,4425,5423,2.043015446447705,33.07569792067799,27.082100321490294,2020-07-17,36,138096,11.83570437445944,31.204745762711863,25.462105845472987,full543
688261,东微半导,11,42780,1371,1652,2.1134509993477932,35.392120831357424,29.3547855951719,2022-01-28,11,42782,10.663872732361751,31.203501094091905,25.89588377723971,full543
688395,正弦电气,11,38993,1253,1431,2.309525436287432,30.880831297835744,26.84806555931742,2021-04-23,11,38997,10.571239999076129,31.119712689545093,27.24877707896576,full543
688178,万德斯,15,57295,1842,2163,2.3649521276354863,32.21182936521837,27.645457789684095,2020-01-08,15,57301,10.956073354557526,31.104777415852336,26.488673139158575,full543
688197,首药控股,13,48909,1573,1894,2.164361273524891,36.1554283635622,30.63440396528659,2022-03-18,13,48913,10.797798488802224,31.092816274634455,25.82312565997888,full543
688555,泽达易盛,20,75616,2432,2700,2.33061239568089,32.24448112400764,29.202417274362336,2020-06-16,20,75619,11.233462853342674,31.092105263157897,28.00592592592593,full543
688371,菲沃泰,14,52124,1678,2015,2.137214621459673,32.086683241566035,26.96060292928805,2022-07-28,14,52129,10.861476694765958,31.06317044100119,25.86799007444169,full543
688739,成大生物,15,57085,1838,2227,2.341283377506099,31.652622109439008,26.27516865508925,2021-09-30,15,57090,10.952384248958303,31.0582154515778,25.63313875168388,full543
688087,英科再生,14,54919,1769,2109,2.1727685725853476,34.119804448296534,28.50600120543991,2021-07-02,14,54921,10.913651068019124,31.045223289994347,26.040303461356093,full543
688568,中科星图,21,73917,2381,2680,2.658345085228766,31.973340641958256,28.498979611002433,2020-07-02,21,73931,11.210887504768335,31.04451910961781,27.58097014925373,full543
688380,中微半导,9,34489,1111,1325,2.26023927481023,31.93603659253661,26.87047725526008,2022-08-02,9,34492,10.448482692072217,31.043204320432043,26.02943396226415,full543
688046,药康生物,14,51765,1669,2032,2.0379419374912486,31.814009638178273,26.344369334063288,2022-04-18,14,51769,10.85454679350309,31.015578190533255,25.474901574803148,full543
688512,慧智微,12,47514,1532,1939,2.1942597448021317,33.22117565306401,26.675754187006987,2023-05-10,12,47517,10.76884282073053,31.01436031331593,24.50438370293966,full543
688610,埃科光电,15,56570,1824,2219,2.3601534520514256,34.95958423145314,29.370620067682545,2023-07-12,15,56574,10.943304794693733,31.01425438596491,25.493465525011267,full543
688598,金博股份,12,44369,1431,1806,2.3398588120703696,32.33042227986354,25.470696082466215,2020-05-12,12,44377,10.700476596184613,31.005590496156533,24.56755260243632,full543
688234,天岳先进,9,34804,1123,1388,2.066182493149846,32.84919882007151,26.759312774488983,2022-01-07,9,34806,10.45754506469412,30.9919857524488,25.07492795389049,full543
688617,惠泰医疗,24,92315,2979,3655,2.1391065293660656,32.94179639585326,26.85994660285607,2021-01-04,24,92326,11.43308107096457,30.988586774085263,25.25718194254446,full543
688081,兴图新科,18,70886,2289,2766,2.424159091572476,34.535737749113224,29.149966351610487,2019-12-30,18,70893,11.168926977039543,30.968108344255132,25.62762111352133,full543
688665,四方光电,20,75014,2426,2869,2.3043510958870344,32.62979829579103,28.01155926957486,2021-02-04,20,75023,11.225550012172503,30.920857378400655,26.146392471244337,full543
688611,杭州柯林,12,45545,1473,1730,2.1744512445350863,31.37673536845918,26.671521492412392,2021-04-06,12,45549,10.726543948550296,30.91989137813985,26.32658959537572,full543
688571,杭华股份,16,59019,1909,2342,2.48957069112124,30.681244381792105,25.094788822956325,2020-12-04,16,59023,10.98568247743216,30.91618648507072,25.200256191289498,full543
688586,江航装备,11,40540,1312,1567,1.9336483972306464,31.23692385216011,26.576833762650008,2020-07-28,11,40549,10.61026639832702,30.89939024390244,25.871091257179323,full543
688076,诺泰生物,27,102800,3330,4207,2.2981121193341405,32.51989389482865,25.69344798054361,2021-05-14,27,102806,11.540598996058742,30.87087087087087,24.435464701687664,full543
688143,长盈通,18,66301,2148,2632,2.1950715477951093,32.07932510264661,26.25004875839451,2022-12-05,18,66308,11.102065832544756,30.866387337057727,25.190349544072948,full543
688332,中科蓝讯,12,46125,1496,1751,2.1712445977040367,32.98919587567451,28.38275181876725,2022-07-12,12,46128,10.739175419878183,30.8322192513369,26.342090234151915,full543
688045,必易微,10,39304,1275,1548,2.331876301645224,31.07412931402531,25.659048553218668,2022-05-23,10,39309,10.579208779272696,30.826666666666668,25.39018087855297,full543
688567,孚能科技,21,79835,2590,3133,1.9556787551412125,33.129093063465135,27.62655369724047,2020-07-10,21,79844,11.287830009930774,30.824324324324323,25.481966166613468,full543
688331,荣昌生物,25,96078,3119,3962,2.019106780548813,32.9686795305712,26.356511974319236,2022-03-28,25,96087,11.47300931005337,30.80410387944854,24.24987380111055,full543
688116,天奈科技,14,53625,1741,2148,2.3020939197597703,32.73807883445908,26.744548792395964,2019-09-20,14,53629,10.88984524552306,30.801263641585297,24.96508379888268,full543
688236,春立医疗,23,90980,2954,3636,2.24216171826429,32.86012062375694,26.93947967601473,2021-12-27,23,90986,11.418460927509608,30.798916723087338,25.022002200220022,full543
688355,明志科技,18,68013,2209,2770,2.410465538518787,31.47420957347562,25.26893197641861,2021-05-07,18,68021,11.127571760011485,30.78904481665912,24.553429602888087,full543
688469,中芯集成,11,40753,1324,1563,2.307830705157321,31.459939032702916,26.877419989071996,2023-05-05,11,40759,10.615431953178978,30.78021148036254,26.07357645553423,full543
688298,东方生物,23,88345,2871,3486,2.6115174957171075,31.477818589183823,25.750831078974716,2020-01-22,23,88353,11.38909543302874,30.77150818530129,25.342799770510613,full543
688671,碧兴物联,14,51619,1678,1977,2.3861626989970257,30.46396001625166,26.13412194299094,2023-08-04,14,51623,10.851722588592787,30.762216924910607,26.10976226605969,full543
688478,晶升股份,16,60332,1962,2489,2.1885383335094666,31.249523837274463,24.794026412945147,2023-04-17,16,60334,11.007651071242565,30.75025484199796,24.239453595821615,full543
688375,国博电子,12,46574,1515,1841,2.2943443706665927,32.942835609883566,27.31496249169207,2022-07-15,12,46577,10.748862136040046,30.74191419141914,25.29820749592613,full543
688166,博瑞医药,24,94378,3071,3914,2.092783583111018,32.97964073017744,25.97830290628453,2019-10-31,24,94386,11.45514803605056,30.73200911755129,24.112927950945323,full543
688595,芯海科技,16,57948,1886,2296,2.525439340772036,31.84113309692654,26.091776683231707,2020-09-22,16,57955,10.967422126322845,30.725344644750795,25.238675958188153,full543
688352,颀中科技,15,56964,1854,2389,2.103265393097718,33.1008723625774,25.7459588289612,2023-04-13,15,56972,10.950315198054478,30.72491909385113,23.844286312264547,full543
688392,骄成超声,15,56665,1845,2246,2.197648793792062,31.059430573324487,25.552636009498148,2022-09-21,15,56668,10.94496495649924,30.712737127371273,25.229296527159395,full543
688552,航天南湖,12,44499,1449,1716,2.206007547968195,31.326087841373496,26.522464631894408,2023-05-10,12,44501,10.703266939811954,30.71014492753623,25.931818181818183,full543
688198,佰仁医疗,21,79244,2583,3224,2.471105679919137,31.13219290112079,25.12091171328979,2019-12-03,21,79249,11.280350073363383,30.67905536198219,24.57940446650124,full543
688208,道通科技,14,52763,1720,1966,2.0124702273892394,31.9529350417082,27.905367787767364,2020-02-10,14,52769,10.87367917605908,30.67616279069767,26.837741607324517,full543
688556,高测股份,19,71243,2324,2888,2.2017807512280263,31.6594492543992,25.46333147697848,2020-07-31,19,71250,11.173950098130897,30.655335628227196,24.668628808864263,full543
688053,思科瑞,14,55179,1800,2129,2.1778287207392975,31.208346530744564,26.52981612646326,2022-07-05,14,55184,10.918428335176625,30.655,25.91780178487553,full543
688633,星球石墨,11,41495,1354,1639,2.392400173660355,31.81381550891056,26.54355186018206,2021-03-19,11,41501,10.63347280231402,30.646233382570163,25.317266625991454,full543
688192,迪哲医药,17,67199,2193,2682,2.026836855510549,33.436557680260705,27.69557298816201,2021-12-07,17,67204,11.115488048549294,30.64249886000912,25.055555555555557,full543
688778,厦钨新能,16,60066,1961,2464,1.9240663033755627,32.04678661245845,25.533271532458517,2021-08-02,16,60073,11.003315768331802,30.63029066802652,24.377435064935064,full543
688191,智洋创新,18,67656,2210,2600,2.7898953394394344,31.91388538366965,27.007753254398597,2021-04-01,18,67669,11.12238345151992,30.61357466063349,26.021538461538466,full543
688403,汇成股份,10,38785,1267,1561,2.1272875063850463,32.14169862185743,26.052916108646446,2022-08-12,10,38789,10.565891980261542,30.611681136543016,24.846252402306213,full543
688128,中国电器,34,129845,4246,4869,2.4110671959883727,32.16326796763718,28.136226499840635,2019-10-31,34,129860,11.774212226062478,30.58054639660857,26.66769357157527,full543
688048,长光华芯,16,60619,1983,2457,2.094494118466579,33.30718228781311,27.46328192210851,2022-03-29,16,60628,11.012512111551548,30.56933938477055,24.67195767195767,full543
688560,明冠新材,14,50493,1652,2077,2.370596831924364,32.98409397141861,26.27338437173004,2020-12-18,14,50499,10.82970881308719,30.564769975786923,24.31054405392393,full543
688313,仕佳光子,16,62999,2062,2535,2.3101331976672217,33.422816439650234,27.26226950830411,2020-08-06,16,63006,11.050985238934048,30.552376333656643,24.851676528599604,full543
688701,卓锦股份,18,69477,2275,2693,2.380720004667497,31.83118207696835,26.8211181150893,2021-09-10,18,69481,11.14880861288244,30.53934065934066,25.799108800594137,full543
688646,逸飞激光,11,43394,1421,1747,2.319218574698844,31.320963680916464,25.712800203628444,2023-07-25,11,43400,10.678214720088496,30.53764954257565,24.839152833428734,full543
688217,睿昂基因,16,59619,1953,2322,2.3163159251620353,31.49354590191331,26.48767480719076,2021-05-11,16,59627,10.995863770605029,30.526881720430108,25.675710594315245,full543
688551,科威尔,16,63258,2074,2434,2.2176545757267285,31.323641644158783,26.863605852255453,2020-09-03,16,63263,11.055055919067469,30.500482160077144,25.989317995069843,full543
688389,普门科技,18,67824,2224,2634,2.464706478733608,31.195871719870095,26.534315759104008,2019-10-31,18,67837,11.124863047789864,30.496402877697843,25.749430523917994,full543
688563,航材股份,13,47658,1563,1908,2.4180373608002887,31.02973689073279,25.357834832592,2023-07-14,13,47664,10.771931674953064,30.491362763915543,24.97798742138365,full543
688118,普元信息,16,59073,1940,2184,2.611602958447241,31.30273514274584,28.008134198584116,2019-11-28,16,59081,10.98666466270383,30.45,27.048076923076923,full543
688639,华恒生物,13,51084,1678,2092,2.2321928499097563,31.461788122546377,25.24407897762209,2021-04-16,13,51089,10.841324488831267,30.44338498212157,24.418738049713195,full543
688597,煜邦电力,19,73302,2409,2887,2.296516876489683,32.39803517842134,26.92400929117569,2021-06-11,19,73308,11.202425022437769,30.428393524283937,25.39037062694839,full543
688248,南网科技,19,73165,2406,2868,2.251944139047453,31.017919595205164,26.0325150891246,2021-12-16,19,73170,11.200540779878075,30.409393183707397,25.51080892608089,full543
688266,泽璟制药,26,99033,3259,4168,2.2160871198451635,33.34678524130037,26.58271595591228,2020-01-20,26,99042,11.503299281575597,30.38754219085609,23.76031669865643,full543
688072,拓荆科技,8,29076,957,1132,2.17203822463666,31.775995267633007,26.978118789875843,2022-04-14,8,29079,10.277771543160718,30.38244514106583,25.685512367491167,full543
688659,元琛科技,16,58811,1936,2355,2.105459161959856,32.31034695963161,26.59652205572772,2021-03-26,16,58816,10.982169205715358,30.3775826446281,24.97282377919321,full543
688660,电气风电,21,80215,2644,3212,2.38160048293308,31.25173229455312,25.733735974596335,2021-05-13,21,80229,11.292640324504498,30.338502269288956,24.973536737235367,full543
688108,赛诺医疗,21,80927,2668,3145,2.2354815218487363,31.48200064413659,26.660642274154892,2019-10-24,21,80930,11.301339862489748,30.332458770614693,25.731955484896663,full543
688137,近岸蛋白,16,61983,2045,2433,2.3429247105044873,31.714043756355466,27.133618457516917,2022-09-26,16,61988,11.034696096907226,30.309535452322734,25.475955610357584,full543
688177,百奥泰,24,91507,3022,3636,1.8726558186155369,33.2029414970494,27.7832815896456,2020-02-17,24,91512,11.424225390205509,30.280277961614825,25.166941694169417,full543
688211,中科微至,11,40544,1339,1602,2.4182368737019213,31.999779208977415,26.89020266971453,2021-10-20,11,40546,10.61019241102814,30.27931292008962,25.3083645443196,full543
688050,爱博医疗,23,84393,2788,3498,2.1968986830617676,33.045135150266496,26.114152772326378,2020-07-24,23,84404,11.343370072825948,30.270086083213773,24.12607204116638,full543
688247,宣泰医药,19,71388,2359,3008,2.199316337296294,30.8778832109675,24.399246407988453,2022-08-22,19,71391,11.175927089962483,30.26197541331073,23.732712765957448,full543
688576,西山科技,21,77861,2573,3118,2.1338385476579953,30.78840972451812,25.301282422081943,2023-06-01,21,77873,11.262834573576976,30.26078507578702,24.971456061577936,full543
688468,科美诊断,17,64071,2118,2522,2.3617072500685707,32.42126684728909,27.39679176027657,2021-04-02,17,64079,11.06787197612734,30.25070821529745,25.404837430610627,full543
688133,泰坦科技,14,51860,1716,1940,2.1991740774724255,30.37185288632886,26.797058076415137,2020-10-26,14,51868,10.856457308668777,30.221445221445222,26.7319587628866,full543
688270,臻镭科技,12,46284,1532,1843,2.180843072233128,30.807441307610215,25.67702820171429,2022-01-24,12,46289,10.74265963085397,30.211488250652742,25.11340206185567,full543
688550,瑞联新材,8,31205,1033,1192,2.1570978514669865,31.95952603756167,27.654020387705863,2020-08-26,8,31209,10.348461793739006,30.2081316553727,26.178691275167782,full543
688252,天德钰,10,38390,1271,1505,2.3800273734311808,31.05581457702948,26.3691819008006,2022-09-22,10,38394,10.555656476367515,30.20456333595594,25.508305647840533,full543
688439,振华风光,8,31418,1041,1261,2.2662636465725385,31.111601784550096,25.64359457808569,2022-08-23,8,31421,10.35523173816502,30.18059558117195,24.915146708961142,full543
688075,安旭生物,19,71788,2381,2894,2.332141039647559,31.672231846286056,26.168621707590763,2021-11-12,19,71796,11.181584043178033,30.150356992860143,24.805805114029024,full543
688396,华润微,14,54270,1800,2136,2.364976607312115,32.76961561188921,27.973474432209777,2020-02-18,14,54274,10.901800569887673,30.15,25.40730337078652,full543
688262,国芯科技,21,77906,2584,3037,2.538099375672548,32.36702552651501,28.250668120711577,2021-12-30,21,77914,11.263360933298218,30.14938080495356,25.652288442541984,full543
688419,耐科装备,15,56928,1889,2197,2.4600409769408365,30.614604228404364,26.305127722509145,2022-11-02,15,56937,10.94970067240503,30.136580201164637,25.911697769685937,full543
688505,复旦张江,18,69881,2319,2957,2.256429272360275,30.67809828630865,23.973229763570135,2020-06-12,18,69888,11.154649239664522,30.134109529969816,23.632397700372,full543
688311,盟升电子,17,63238,2099,2540,2.394763558179855,31.05537557515725,25.67410948041563,2020-07-28,17,63244,11.054755540430037,30.12767984754645,24.896850393700788,full543
688013,天臣医疗,18,66732,2215,2651,2.5626588158534203,31.38615788945659,26.27395326431081,2020-09-23,18,66741,11.108574735711244,30.127313769751694,25.172387778196907,full543
688789,宏华数科,13,49924,1658,1971,2.298186677874366,31.072697122806805,26.130307106024368,2021-07-05,13,49930,10.818377303494657,30.110977080820263,25.329274479959413,full543
