sec_code,sec_name,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4,source_run
688793,倍轻松,19,69819,1833,2167,2.697136759051537,39.80839247407377,33.284591670263744,2021-07-09,19,69831,11.153833316230168,38.09001636661211,32.219197046608215,full543
688280,精进电动,21,77977,2109,2557,2.1736014738647578,40.7705995822126,34.44256622031818,2021-10-21,21,77988,11.26431024768235,36.97344713134187,30.495502542041457,full543
688373,盟科药业,17,63158,1734,2258,1.891218043236916,37.26125044594904,28.769178382158294,2022-08-02,17,63164,11.053489797586534,36.42329873125721,27.97077059344553,full543
688343,云天励飞,25,96271,2822,3274,2.30192235826634,41.47649467814461,34.426006602320406,2023-03-30,25,96284,11.475057436526331,34.1144578313253,29.40470372632865,full543
688370,丛麟科技,17,65835,1939,2436,2.307016612220769,36.434377207980454,29.235927330566447,2022-08-19,17,65842,11.095013211560309,33.95306859205776,27.025862068965516,full543
688161,威高骨科,22,81726,2414,2930,2.4940499377444016,36.82060422967919,30.351019466349644,2021-06-25,22,81734,11.31122535094967,33.85501242750621,27.89283276450512,full543
688105,诺唯赞,18,66099,1958,2336,2.3955596981867875,37.294835502624146,31.282848784352463,2021-11-09,18,66108,11.099045047260717,33.758426966292134,28.29580479452055,full543
688631,莱斯信息,19,72916,2160,2402,2.025161982215277,37.616936373634104,34.38820398000723,2023-06-21,19,72922,11.197145655734086,33.757407407407406,30.3563696919234,full543
688612,威迈斯,23,87380,2589,3076,2.571669196178088,35.15878058144785,29.662938328354684,2023-07-21,23,87391,11.37814758151298,33.75048281189648,28.407022106631988,full543
688669,聚石化学,16,60633,1799,2216,2.3209141553221944,36.076101163008246,28.968846624397376,2021-01-19,16,60641,11.012726510945454,33.70372429127293,27.361462093862816,full543
688613,奥精医疗,16,61488,1837,2213,2.11664288109768,35.23902193954574,29.359605514279753,2021-05-17,16,61495,11.02671114967651,33.471965160587914,27.784907365567104,full543
688084,晶品特装,15,58238,1753,2125,2.07261760341323,36.74939240878849,30.544957228205146,2022-12-05,15,58242,10.97236202294028,33.2219053051911,27.406117647058824,full543
688561,奇安信,24,93942,2845,3218,2.402672944431599,35.50984045087568,31.717063015955617,2020-07-20,24,93951,11.450528648744518,33.02003514938489,29.19266625233064,full543
688350,富淼科技,17,64830,1968,2442,2.0928690595661825,34.690633178486905,28.107118295286632,2021-01-25,17,64840,11.079677975849611,32.94207317073171,26.547911547911543,full543
688786,悦安新材,15,56794,1729,2213,2.255470866644103,35.94537164216714,28.706498780762093,2021-08-20,15,56799,10.947273998920458,32.84788895315211,25.663804789877993,full543
688575,亚辉龙,26,97319,2969,3628,2.4919896345050345,36.389321787032,30.119970383325228,2021-05-12,26,97329,11.485852271043296,32.77837655776356,26.824421168687984,full543
688539,高华科技,14,51842,1583,1875,2.240670104720421,35.51297641994807,30.80779234545585,2023-04-13,14,51846,10.856033065069454,32.74921036007581,27.649066666666663,full543
688061,灿瑞科技,12,44910,1375,1627,2.3617957466507216,33.206791167475714,28.164435570678194,2022-10-13,12,44916,10.71254935769243,32.661818181818184,27.602950215119854,full543
