sec_code,sec_name,year,raw_glm4_tokens,compact_glm4_tokens,norm_glm4_tokens,compact_chars
688393,安必平,2020,89184,73567,89184,126556
688596,正帆科技,2020,60793,49132,60793,83883
688356,键凯科技,2020,62350,52506,62350,88360
688215,瑞晟智能,2020,57748,48552,57748,83800
688289,圣湘生物,2020,79595,65897,79595,119135
688408,中信博,2020,61612,52066,61612,90952
688017,绿的谐波,2020,45178,36912,45178,66316
688513,苑东生物,2020,66670,55064,66670,91124
688569,铁科轨道,2020,75460,60025,75460,96379
688550,瑞联新材,2020,35665,29360,35665,51624
688056,莱伯泰科,2020,79049,66726,79049,116571
688378,奥来德,2020,54600,43888,54600,73775
688390,固德威,2020,71995,60661,71995,105791
688559,海目星,2020,77042,63284,77042,106477
688095,福昕软件,2020,51482,41546,51482,77090
688551,科威尔,2020,73145,60076,73145,105330
688577,浙海德曼,2020,68699,58106,68699,98185
688301,奕瑞科技,2020,51322,42209,51322,75311
688536,思瑞浦,2020,41448,34003,41448,59512
688127,蓝特光学,2020,60198,50535,60198,86633
688156,路德环境,2020,74383,60483,74383,99981
688526,科前生物,2020,106496,86067,106496,139694
688595,芯海科技,2020,66525,51849,66525,86754
688013,天臣医疗,2020,76486,62933,76486,112797
688585,上纬新材,2020,85710,70394,85710,119362
688093,世华科技,2020,72430,61528,72430,108326
688330,宏力达,2020,77743,64317,77743,108604
688386,泛亚微透,2020,66906,53201,66906,87087
688788,科思科技,2020,72528,61687,72528,108685
688129,东来技术,2020,63673,52746,63673,86843
688179,阿拉丁,2020,85020,71578,85020,125307
688221,前沿生物,2020,86807,72063,86807,121961
688688,蚂蚁集团,2020,65538,54623,65538,98855
688133,泰坦科技,2020,58950,48300,58950,84416
688529,豪森股份,2020,84271,69557,84271,119745
688135,利扬芯片,2020,55092,45210,55092,79226
688057,金达莱,2020,127311,101641,127311,172024
688160,步科股份,2020,50060,41645,50060,73139
688219,会通股份,2020,58604,47640,58604,80197
688777,中控技术,2020,60478,50039,60478,90070
688578,艾力斯,2020,84984,70022,84984,117881
688557,兰剑智能,2020,82577,68511,82577,116396
688590,新致软件,2020,51482,43267,51482,78704
688571,杭华股份,2020,68584,55246,68584,90549
688136,科兴制药,2020,75615,62885,75615,102219
688308,欧科亿,2020,58983,47950,58983,77011
688510,航亚科技,2020,61808,51754,61808,88820
688608,恒玄科技,2020,41928,34709,41928,61531
688699,明微电子,2020,58003,47986,58003,82254
688668,鼎通科技,2020,49275,40895,49275,70322
688678,福立旺,2020,23607,20177,23607,34717
688560,明冠新材,2020,57073,46227,57073,76707
688658,悦康药业,2020,90863,74123,90863,121846
688679,通源环境,2020,47682,38932,47682,66976
688063,派能科技,2020,64669,53077,64669,92219
688698,伟创电气,2020,67765,54928,67765,92723
688618,三旺通信,2020,66617,54891,66617,95881
688686,奥普特,2020,57709,47701,57709,82310
688617,惠泰医疗,2021,107060,85158,107060,143285
688656,浩欧博,2021,65516,53181,65516,90838
688819,天能股份,2021,48373,40539,48373,69587
688317,之江生物,2021,114994,93424,114994,164416
688669,聚石化学,2021,70476,55422,70476,91075
688680,海优新材,2021,50213,41289,50213,67891
688689,银河微电,2021,76418,61097,76418,101991
688350,富淼科技,2021,73813,60758,73813,103495
688628,优利德,2021,115381,96586,115381,160584
688607,康众医疗,2021,63771,52590,63771,93964
688687,凯因科技,2021,83895,71044,83895,118454
688059,华锐精密,2021,48631,39572,48631,65403
688070,纵横股份,2021,86836,71884,86836,125216
688665,四方光电,2021,83341,68204,83341,117993
688619,罗普特,2021,101842,80808,101842,139485
688183,生益电子,2021,97906,82791,97906,138941
688677,海泰新光,2021,60967,50627,60967,87364
688079,美迪凯,2021,52308,43830,52308,75940
688696,极米科技,2021,91459,71902,91459,120137
688328,深科达,2021,66594,54071,66594,91436
688676,金盘科技,2021,84168,69900,84168,119277
688667,菱电电控,2021,70529,57847,70529,98997
688083,中望软件,2021,92422,75341,92422,132295
688316,青云科技,2021,84425,69243,84425,123522
688456,有研粉材,2021,66261,53715,66261,89738
688616,西力科技,2021,61753,49736,61753,82628
688092,爱科科技,2021,71377,58915,71377,102751
688609,九联科技,2021,122207,100166,122207,173785
688329,艾隆科技,2021,37907,30406,37907,52599
688606,奥泰生物,2021,77507,63264,77507,111050
688633,星球石墨,2021,47686,38126,47686,64394
688195,腾景科技,2021,58188,47819,58188,80537
688661,和林微纳,2021,57210,46759,57210,82040
688109,品茗股份,2021,66473,55272,66473,96406
688626,翔宇医疗,2021,90888,72183,90888,122968
688659,元琛科技,2021,67176,54655,67176,91372
688260,昀冢科技,2021,74096,61091,74096,103168
688630,芯碁微装,2021,59021,49041,59021,84224
688662,富信科技,2021,78024,64316,78024,108588
688191,智洋创新,2021,77274,62035,77274,106317
688636,智明达,2021,88849,71172,88849,123615
688468,科美诊断,2021,73941,58438,73941,99786
688611,杭州柯林,2021,53122,42638,53122,73949
688683,莱尔科技,2021,69981,56922,69981,94828
688315,诺禾致源,2021,67163,54684,67163,96435
688663,新风光,2021,57862,46813,57862,80105
688533,上声电子,2021,51128,41141,51128,70974
688201,信安世纪,2021,69938,57027,69938,100891
688682,霍莱沃,2021,50039,41737,50039,71263
688639,华恒生物,2021,58260,48326,58260,82526
688323,瑞华泰,2021,40752,33048,40752,55963
688383,新益昌,2021,64596,51548,64596,88096
688395,正弦电气,2021,43267,35530,43267,60677
688113,联测科技,2021,65175,53500,65175,91420
688655,迅捷兴,2021,73256,60335,73256,99033
688097,博众精工,2021,86501,72982,86501,129338
688355,明志科技,2021,76063,63433,76063,102555
688685,迈信林,2021,50667,42451,50667,72132
688565,力源科技,2021,59943,49494,59943,84822
688217,睿昂基因,2021,73176,53408,66136,92062
688234,天岳先进,2022,38762,33230,38762,54368
688259,创耀科技,2022,75601,63346,75601,111145
688062,迈威生物,2022,81910,67997,81910,114298
688220,翱捷科技,2022,73124,58864,73124,102073
688173,希荻微,2022,62341,51192,62341,90040
688223,晶科能源,2022,66793,56519,66793,98201
688171,纬德信息,2022,56316,45598,56316,80550
688270,臻镭科技,2022,53214,43077,53214,72834
688225,亚信安全,2022,65196,55107,65196,96623
688261,东微半导,2022,47611,39955,47611,68646
688283,坤恒顺维,2022,57946,47314,57946,81061
688267,中触媒,2022,56317,48085,56317,82322
688281,华秦科技,2022,54574,46405,54574,81044
688163,赛伦生物,2022,64531,55028,64531,91583
688115,思林杰,2022,58820,48835,58820,84781
688175,高凌信息,2022,81796,68370,81796,120026
688102,斯瑞新材,2022,67750,56600,67750,90979
688207,格灵深瞳,2022,39611,32788,39611,58649
688150,莱特光电,2022,70153,57343,70153,97364
688282,理工导航,2022,59232,48855,59232,84216
688238,和元生物,2022,53040,43210,53040,75757
688306,均普智能,2022,66856,55910,66856,99207
688197,首药控股,2022,56289,46214,56289,78621
688193,仁度生物,2022,79724,64751,79724,115609
688331,荣昌生物,2022,107418,89903,107418,154561
688485,九州一轨,2023,66009,55071,66009,93021
688435,英方软件,2023,71713,58821,71713,103931
688515,裕太微,2023,46708,38297,46708,65862
688307,中润光学,2023,101833,84118,101833,139999
688486,龙迅股份,2023,73104,59459,73104,103672
688522,纳睿雷达,2023,44854,37289,44854,63343
688502,茂莱光学,2023,73893,62010,73893,105012
688531,日联科技,2023,59289,47878,59289,81953
688343,云天励飞,2023,108662,81983,108662,138932
688484,南芯科技,2023,35737,29542,35737,51405
688535,华海诚科,2023,69703,57242,69703,97200
688433,华曙高科,2023,50879,42213,50879,72342
688507,索辰科技,2023,48131,39854,48131,70740
688352,颀中科技,2023,64048,54129,64048,90138
688539,高华科技,2023,59253,49007,59253,86381
688146,中船特气,2023,67734,54455,67734,89117
688478,晶升股份,2023,68363,56455,68363,94893
688249,晶合集成,2023,40800,33879,40800,58957
688469,中芯集成,2023,45427,37097,45427,64370
688479,友车科技,2023,35901,30175,35901,53581
688512,慧智微,2023,53910,44814,53910,76260
688552,航天南湖,2023,50664,41582,50664,72040
688361,中科飞测,2023,35171,29819,35171,52481
688581,安杰思,2023,75116,60871,75116,104439
