custom_id,sec_code,chunk_index,chunk_count,chunk_token_proxy,glm4_tokens,compact_chars
688026_1207257930_tok_chunk_0002,688026,2,19,3916.0,4989,7832
688026_1207257930_tok_chunk_0003,688026,3,19,3998.0,4891,7996
688026_1207257930_tok_chunk_0004,688026,4,19,3923.0,4869,7845
688026_1207257930_tok_chunk_0005,688026,5,19,3980.0,5239,7960
688026_1207257930_tok_chunk_0006,688026,6,19,3954.0,4757,7908
688026_1207257930_tok_chunk_0007,688026,7,19,3781.0,5519,7561
688026_1207257930_tok_chunk_0008,688026,8,19,3991.0,5622,7982
688026_1207257930_tok_chunk_0009,688026,9,19,3958.0,5810,7915
688026_1207257930_tok_chunk_0010,688026,10,19,3983.0,5587,7966
688026_1207257930_tok_chunk_0011,688026,11,19,3982.0,5598,7963
688026_1207257930_tok_chunk_0012,688026,12,19,3567.0,6027,7134
688026_1207257930_tok_chunk_0013,688026,13,19,3897.0,7768,7794
688026_1207257930_tok_chunk_0014,688026,14,19,3734.0,5913,7467
688026_1207257930_tok_chunk_0015,688026,15,19,3864.0,5214,7728
688026_1207257930_tok_chunk_0016,688026,16,19,3945.0,6066,7890
688026_1207257930_tok_chunk_0017,688026,17,19,3935.0,6062,7870
688026_1207257930_tok_chunk_0018,688026,18,19,3995.0,5969,7990
688026_1207257930_tok_chunk_0019,688026,19,19,3818.0,4547,7636
688027_1207992273_tok_chunk_0001,688027,1,17,3826.0,5342,7651
688027_1207992273_tok_chunk_0002,688027,2,17,3885.0,5260,7769
688027_1207992273_tok_chunk_0003,688027,3,17,3723.0,4632,7445
688027_1207992273_tok_chunk_0004,688027,4,17,3841.0,4981,7681
688027_1207992273_tok_chunk_0005,688027,5,17,3224.0,3889,6447
688027_1207992273_tok_chunk_0006,688027,6,17,3727.0,4921,7453
688027_1207992273_tok_chunk_0007,688027,7,17,3992.0,5272,7983
688027_1207992273_tok_chunk_0008,688027,8,17,3940.0,6593,7879
688027_1207992273_tok_chunk_0009,688027,9,17,3861.0,5362,7721
688027_1207992273_tok_chunk_0010,688027,10,17,3960.0,5748,7920
688027_1207992273_tok_chunk_0011,688027,11,17,3824.0,5568,7647
688027_1207992273_tok_chunk_0012,688027,12,17,3986.0,5975,7972
688027_1207992273_tok_chunk_0013,688027,13,17,3539.0,5143,7078
688027_1207992273_tok_chunk_0014,688027,14,17,3991.0,6021,7981
688027_1207992273_tok_chunk_0015,688027,15,17,3655.0,5377,7309
688027_1207992273_tok_chunk_0016,688027,16,17,3991.0,5584,7982
688027_1207992273_tok_chunk_0017,688027,17,17,2129.0,2498,4257
688030_1206944409_tok_chunk_0001,688030,1,19,3904.0,5411,7808
688030_1206944409_tok_chunk_0002,688030,2,19,3839.0,4934,7678
688030_1206944409_tok_chunk_0003,688030,3,19,3975.0,5311,7949
688030_1206944409_tok_chunk_0004,688030,4,19,3987.0,6049,7973
688030_1206944409_tok_chunk_0005,688030,5,19,3722.0,4776,7444
688030_1206944409_tok_chunk_0006,688030,6,19,3953.0,5173,7905
688030_1206944409_tok_chunk_0007,688030,7,19,4000.0,5079,8000
688030_1206944409_tok_chunk_0008,688030,8,19,3967.0,4531,7933
688030_1206944409_tok_chunk_0009,688030,9,19,3945.0,5724,7890
688030_1206944409_tok_chunk_0010,688030,10,19,3989.0,5487,7977
688030_1206944409_tok_chunk_0011,688030,11,19,3947.0,5178,7894
688030_1206944409_tok_chunk_0012,688030,12,19,3973.0,5547,7946
688030_1206944409_tok_chunk_0013,688030,13,19,3989.0,6180,7977
688030_1206944409_tok_chunk_0014,688030,14,19,3701.0,6017,7402
688030_1206944409_tok_chunk_0015,688030,15,19,3740.0,5634,7480
688030_1206944409_tok_chunk_0016,688030,16,19,3977.0,5198,7954
688030_1206944409_tok_chunk_0017,688030,17,19,3717.0,4809,7433
688030_1206944409_tok_chunk_0018,688030,18,19,3946.0,5050,7892
688030_1206944409_tok_chunk_0019,688030,19,19,798.0,1154,1596
688031_1214758691_tok_chunk_0001,688031,1,17,3988.0,4775,7976
688031_1214758691_tok_chunk_0002,688031,2,17,3975.0,4793,7950
688031_1214758691_tok_chunk_0003,688031,3,17,3630.0,4420,7259
688031_1214758691_tok_chunk_0004,688031,4,17,3982.0,4822,7964
688031_1214758691_tok_chunk_0005,688031,5,17,3912.0,4973,7824
688031_1214758691_tok_chunk_0006,688031,6,17,3955.0,4721,7909
688031_1214758691_tok_chunk_0007,688031,7,17,3942.0,4627,7883
688031_1214758691_tok_chunk_0008,688031,8,17,3477.0,4230,6954
688031_1214758691_tok_chunk_0009,688031,9,17,3930.0,5323,7860
688031_1214758691_tok_chunk_0010,688031,10,17,3665.0,4905,7330
688031_1214758691_tok_chunk_0011,688031,11,17,3963.0,4819,7926
688031_1214758691_tok_chunk_0012,688031,12,17,3967.0,5309,7934
688031_1214758691_tok_chunk_0013,688031,13,17,3676.0,5246,7352
688031_1214758691_tok_chunk_0014,688031,14,17,3960.0,5332,7920
688031_1214758691_tok_chunk_0015,688031,15,17,3982.0,5496,7964
688031_1214758691_tok_chunk_0016,688031,16,17,3859.0,5156,7717
688031_1214758691_tok_chunk_0017,688031,17,17,1509.0,1906,3018
688032_1211906145_tok_chunk_0001,688032,1,11,3999.0,5288,7997
688032_1211906145_tok_chunk_0002,688032,2,11,3935.0,5006,7870
688032_1211906145_tok_chunk_0003,688032,3,11,3947.0,5247,7893
688032_1211906145_tok_chunk_0004,688032,4,11,3857.0,4896,7713
688032_1211906145_tok_chunk_0005,688032,5,11,3964.0,4681,7928
688032_1211906145_tok_chunk_0006,688032,6,11,3924.0,4926,7847
688032_1211906145_tok_chunk_0007,688032,7,11,3988.0,5313,7976
688032_1211906145_tok_chunk_0008,688032,8,11,3793.0,6052,7585
688032_1211906145_tok_chunk_0009,688032,9,11,3989.0,6666,7977
688032_1211906145_tok_chunk_0010,688032,10,11,3904.0,5967,7808
688032_1211906145_tok_chunk_0011,688032,11,11,3616.0,5002,7231
688035_1214586526_tok_chunk_0001,688035,1,10,3978.0,5837,7955
688035_1214586526_tok_chunk_0002,688035,2,10,3952.0,5056,7903
688035_1214586526_tok_chunk_0003,688035,3,10,3950.0,5286,7899
688035_1214586526_tok_chunk_0004,688035,4,10,3722.0,4725,7443
688035_1214586526_tok_chunk_0005,688035,5,10,3939.0,5633,7877
688035_1214586526_tok_chunk_0006,688035,6,10,3965.0,6367,7929
688035_1214586526_tok_chunk_0007,688035,7,10,3605.0,5809,7209
