sec_code,sec_name,year,raw_glm4_tokens,dewrap_join_glm4_tokens,dewrap_space_glm4_tokens,dewrap_join_compact_chars
688521,芯原股份,2020,43563,38142,40439,63156
688393,安必平,2020,89184,78696,83807,122345
688596,正帆科技,2020,60793,52985,56714,81490
688356,键凯科技,2020,62350,54527,57885,84199
688215,瑞晟智能,2020,57748,50398,53768,79653
688289,圣湘生物,2020,79595,70216,74828,115178
688408,中信博,2020,61612,54413,58175,87879
688017,绿的谐波,2020,45178,39817,42724,64309
688513,苑东生物,2020,66670,58212,61790,86876
688569,铁科轨道,2020,75460,65595,69564,92561
688550,瑞联新材,2020,35665,31209,33075,49025
688056,莱伯泰科,2020,79049,69948,72736,110931
688378,奥来德,2020,54600,48078,51200,71667
688390,固德威,2020,71995,65196,68259,102498
688559,海目星,2020,77042,68189,71764,102803
688095,福昕软件,2020,51482,45251,47876,74685
688551,科威尔,2020,73145,63263,67836,101453
688577,浙海德曼,2020,68699,60671,63748,93871
688301,奕瑞科技,2020,51322,45333,48177,72790
688536,思瑞浦,2020,41448,35875,38208,57098
688127,蓝特光学,2020,60198,53425,56963,84148
688156,路德环境,2020,74383,64981,70312,97573
688526,科前生物,2020,106496,91277,97849,132364
688595,芯海科技,2020,66525,57955,61788,83942
688013,天臣医疗,2020,76486,66741,71311,109385
688585,上纬新材,2020,85710,75204,80793,115869
688093,世华科技,2020,72430,63998,68067,104852
688330,宏力达,2020,77743,69214,72559,104676
688386,泛亚微透,2020,66906,58130,62280,84158
688788,科思科技,2020,72528,64477,68608,105287
688129,东来技术,2020,63673,55448,59282,83727
688179,阿拉丁,2020,85020,76004,80731,121486
688221,前沿生物,2020,86807,76853,81549,117790
688688,蚂蚁集团,2020,65538,59357,63034,98349
688133,泰坦科技,2020,58950,51868,55162,81804
688529,豪森股份,2020,84271,73065,78512,115293
688135,利扬芯片,2020,55092,48245,51416,76507
688057,金达莱,2020,127311,108559,117123,163004
688160,步科股份,2020,50060,45479,46966,70827
688219,会通股份,2020,58604,50504,54108,77299
688777,中控技术,2020,60478,54357,56378,87243
688578,艾力斯,2020,84984,74580,78888,111740
688557,兰剑智能,2020,82577,72679,77754,112949
688590,新致软件,2020,51482,45531,48292,76622
688571,杭华股份,2020,68584,59023,63552,86429
688136,科兴制药,2020,75615,68104,72392,101166
