budget,approx_chunks,gap_chunks_vs_paper,chunks_per_firm,weighted_chunk_num,total_glm_tokens_per_chunk,gap_avg_tokens_vs_paper_textlen
4000,9666,983,17.80110497237569,19.4016139044072,3888.271156631492,21.45415663149197
4200,9222,539,16.983425414364643,18.51962697896335,4075.4748427672957,208.65784276729573
4300,9015,332,16.60220994475138,18.085745978924017,4169.054797559623,302.2377975596228
4400,8823,140,16.248618784530386,17.711095999093278,4259.778873399071,392.961873399071
4500,8619,-64,15.87292817679558,17.293537533356538,4360.602042000232,493.78504200023235
4600,8446,-237,15.554327808471454,16.944589154629412,4449.920554108454,583.1035541084539
4800,8102,-581,14.920810313075506,16.260923228832386,4638.858183164651,772.0411831646506
5000,7793,-890,14.351749539594843,15.633902219940973,4822.793404337226,955.9764043372261
