code,sec_name_csmar,company_name_csmar,list_date_csmar,list_year_csmar,prospectus_publish_date_csmar,prospectus_sign_date_csmar,issue_price,gross_proceeds,issue_fee,sponsor,Listexg,Nindcd,Nindnme,IndustryCodeC,IndustryNameC,in_candidate_x,candidate_status
688168,安博通,北京安博通科技股份有限公司,2019-09-06,2019,2019-09-03,2019-09-03,56.88,72777.96,5730.38,天风证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688116,天奈科技,江苏天奈科技股份有限公司,2019-09-25,2019,2019-09-20,2019-09-20,16.0,92743.2464,9843.1724,民生证券股份有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688030,山石网科,山石网科通信技术股份有限公司,2019-09-30,2019,2019-09-24,2019-09-24,21.06,94887.94,8940.77,中国国际金融股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688036,传音控股,深圳传音控股股份有限公司,2019-09-30,2019,2019-09-25,2019-09-25,35.15,281200.0,13734.39,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688068,热景生物,北京热景生物技术股份有限公司,2019-09-30,2019,2019-09-24,2019-09-24,29.46,45810.3,5903.2,中德证券有限责任公司,1,C27,医药制造业,,,True,in_candidate_x
688368,晶丰明源,上海晶丰明源半导体股份有限公司,2019-10-14,2019,2019-10-08,2019-10-08,56.68,87287.2,8512.96,广发证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688139,海尔生物,青岛海尔生物医疗股份有限公司,2019-10-25,2019,2019-10-22,2019-10-22,15.53,123103.11,9142.57,国泰君安证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688098,申联生物,申联生物医药(上海)股份有限公司,2019-10-28,2019,2019-10-22,2019-10-22,8.8,44000.0,3757.08,国信证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688108,赛诺医疗,赛诺医疗科学技术股份有限公司,2019-10-30,2019,2019-10-24,2019-10-23,6.99,34950.0,4259.81,中信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688366,昊海生科,上海昊海生物科技股份有限公司,2019-10-30,2019,2019-10-25,2019-10-25,89.23,158829.4,5902.52,瑞银证券有限责任公司,1,C27,医药制造业,,,True,in_candidate_x
688025,杰普特,深圳市杰普特光电股份有限公司,2019-10-31,2019,2019-10-28,2019-10-28,43.86,101282.14,9778.58,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688369,致远互联,北京致远互联软件股份有限公司,2019-10-31,2019,2019-10-25,2019-10-25,49.39,95075.75,11011.15,中德证券有限责任公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688058,宝兰德,北京宝兰德软件股份有限公司,2019-11-01,2019,2019-10-29,2019-10-29,79.3,79300.0,8296.96,东兴证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688023,安恒信息,杭州安恒信息技术股份有限公司,2019-11-05,2019,2019-10-31,2019-10-31,56.5,104629.63,9472.44,国泰君安证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688128,中国电器,中国电器科学研究院股份有限公司,2019-11-05,2019,2019-10-31,2019-10-31,18.79,93950.0,8149.87,中信建投证券股份有限公司,1,M74,专业技术服务业,,,True,in_candidate_x
688199,久日新材,天津久日新材料股份有限公司,2019-11-05,2019,2019-10-30,2019-10-30,66.68,185415.74,14486.45,招商证券股份有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688202,美迪西,上海美迪西生物医药股份有限公司,2019-11-05,2019,2019-10-31,2019-10-31,41.5,64325.0,6449.88,广发证券股份有限公司,1,M73,研究和试验发展,,,True,in_candidate_x
688389,普门科技,深圳普门科技股份有限公司,2019-11-05,2019,2019-10-31,2019-10-31,9.1,39130.0,5058.56,国信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688021,奥福环保,山东奥福环保科技股份有限公司,2019-11-06,2019,2019-10-31,2019-10-31,26.17,52340.0,6627.92,安信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688288,鸿泉物联,杭州鸿泉物联网技术股份有限公司,2019-11-06,2019,2019-10-31,2019-10-31,24.99,62475.0,7180.91,东方花旗证券有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688299,长阳科技,宁波长阳科技股份有限公司,2019-11-06,2019,2019-10-30,2019-10-30,13.71,96850.4562,11178.6359,华安证券股份有限公司,1,C29,橡胶和塑料制品业,,,True,in_candidate_x
688363,华熙生物,华熙生物科技股份有限公司,2019-11-06,2019,2019-10-30,2019-10-30,47.79,236859.46,11964.01,华泰联合证券有限责任公司,1,C27,医药制造业,,,True,in_candidate_x
688166,博瑞医药,博瑞生物医药(苏州)股份有限公司,2019-11-08,2019,2019-10-31,2019-10-31,12.71,52111.0,8112.54,民生证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688101,三达膜,三达膜环境技术股份有限公司,2019-11-15,2019,2019-11-12,2019-11-12,18.26,152416.22,7391.56,长江证券承销保荐有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688300,联瑞新材,江苏联瑞新材料股份有限公司,2019-11-15,2019,2019-11-11,2019-11-11,27.28,58633.9952,6847.9216,东莞证券股份有限公司,1,C30,非金属矿物制品业,,,True,in_candidate_x
688111,金山办公,北京金山办公软件股份有限公司,2019-11-18,2019,2019-11-13,2019-11-13,45.86,463186.0,17245.73,中国国际金融股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688138,清溢光电,深圳清溢光电股份有限公司,2019-11-20,2019,2019-11-15,2019-11-15,8.78,58650.4,6416.68,广发证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688196,卓越新能,龙岩卓越新能源股份有限公司,2019-11-21,2019,2019-11-15,2019-11-15,42.93,128790.0,8700.38,英大证券有限责任公司,1,C42,废弃资源综合利用业,,,True,in_candidate_x
688310,迈得医疗,迈得医疗工业设备股份有限公司,2019-12-03,2019,2019-11-26,2019-11-26,24.79,51811.1,6075.96,广发证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688358,祥生医疗,无锡祥生医疗科技股份有限公司,2019-12-03,2019,2019-11-27,2019-11-27,50.53,101060.0,9110.5642,国金证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688118,普元信息,普元信息技术股份有限公司,2019-12-04,2019,2019-11-28,2019-11-28,26.9,64156.5,5701.45,民生证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688357,建龙微纳,洛阳建龙微纳新材料股份有限公司,2019-12-04,2019,2019-11-28,2019-11-28,43.28,62582.88,5591.08,中天国富证券有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688399,硕世生物,江苏硕世生物科技股份有限公司,2019-12-05,2019,2019-11-29,2019-11-29,46.78,68579.48,7286.12,招商证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688198,佰仁医疗,北京佰仁医疗科技股份有限公司,2019-12-09,2019,2019-12-03,2019-12-03,23.68,56832.0,6234.96,国信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688258,卓易信息,江苏卓易信息科技股份有限公司,2019-12-09,2019,2019-12-02,2019-12-02,26.49,57587.1408,6303.11,中信建投证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688039,当虹科技,杭州当虹科技股份有限公司,2019-12-11,2019,2019-12-06,2019-12-06,50.48,100960.0,8000.02,中信证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688218,江苏北人,江苏北人机器人系统股份有限公司,2019-12-11,2019,2019-12-03,2019-12-03,17.36,50934.24,7609.79,东吴证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688037,芯源微,沈阳芯源微电子设备股份有限公司,2019-12-16,2019,2019-12-10,2019-12-10,26.97,56637.0,6062.59,国信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688089,嘉必优,嘉必优生物技术(武汉)股份有限公司,2019-12-19,2019,2019-12-16,2019-12-16,23.9,71700.0,6867.39,国泰君安证券股份有限公司,1,C14,食品制造业,,,True,in_candidate_x
688123,聚辰股份,聚辰半导体股份有限公司,2019-12-23,2019,2019-12-18,2019-12-18,33.25,100449.8,8931.04,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688268,华特气体,广东华特气体股份有限公司,2019-12-26,2019,2019-12-23,2019-12-23,22.16,66480.0,8173.89,中信建投证券股份有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688078,龙软科技,北京龙软科技股份有限公司,2019-12-30,2019,2019-12-24,2019-12-24,21.59,38192.71,5829.61,方正证券承销保荐有限责任公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688081,兴图新科,武汉兴图新科电子股份有限公司,2020-01-06,2020,2019-12-30,2019-12-30,28.21,51906.4,5283.64,中泰证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688181,八亿时空,北京八亿时空液晶科技股份有限公司,2020-01-06,2020,2019-12-31,2019-12-31,43.98,106072.0811,8280.9737,首创证券有限责任公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688178,万德斯,南京万德斯环保科技股份有限公司,2020-01-14,2020,2020-01-08,2020-01-08,25.2,53548.6417,5409.6335,广发证券股份有限公司,1,N77,生态保护和环境治理业,,,True,in_candidate_x
688278,特宝生物,厦门特宝生物工程股份有限公司,2020-01-17,2020,2020-01-13,2020-01-13,8.24,38316.0,5271.368,国金证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688158,优刻得,优刻得科技股份有限公司,2020-01-20,2020,2020-01-14,2020-01-14,33.23,194395.5,10403.0,中国国际金融股份有限公司,1,I64,互联网和相关服务,,,True,in_candidate_x
688100,威胜信息,威胜信息技术股份有限公司,2020-01-21,2020,2020-01-13,2020-01-13,13.78,68900.0,7816.61,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688026,洁特生物,广州洁特生物过滤股份有限公司,2020-01-22,2020,2020-01-17,2020-01-17,16.49,41225.0,3284.2377,民生证券股份有限公司,1,C29,橡胶和塑料制品业,,,True,in_candidate_x
688159,有方科技,深圳市有方科技股份有限公司,2020-01-23,2020,2020-01-20,2020-01-20,20.35,46642.2,5375.91,华创证券有限责任公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
