scope,metric,current_N,current_mean,current_std,current_p25,current_median,current_p75,paper_N,paper_mean,paper_std,paper_p25,paper_median,paper_p75,mean_gap,N_gap
chunk,Chunk_num,9083,17.503578112958273,5.11805825857596,14.0,17.0,20.0,8683,18.191,6.983,13.0,16.0,22.0,-0.6874218870417259,400
chunk,Text_len,9083,3794.0094682373665,556.7317128442705,3885.0,3967.0,3987.0,8683,3866.817,343.868,3888.0,3954.0,3985.0,-72.80753176263352,400
chunk,Summary_len_proxy,9083,130.58042496972365,28.612184885691832,113.0,131.0,149.0,8683,132.678,39.683,105.0,130.0,158.0,-2.097575030276346,400
chunk,Redundancy_chunk_proxy,9083,30.551266519656437,9.38817089140701,25.608541233541235,29.390243902439025,34.05263562908811,8683,32.176,11.73,24.356,29.739,37.037,-1.624733480343565,400
chunk,Summary_len_glm4,9083,157.5498183419575,36.23791585627854,136.0,158.0,181.0,8683,132.678,39.683,105.0,130.0,158.0,24.871818341957493,400
chunk,Redundancy_chunk_glm4,9083,25.46211324446597,8.24520278295355,21.05569627378138,24.365853658536587,28.435714285714287,8683,32.176,11.73,24.356,29.739,37.037,-6.7138867555340305,400
firm,lnN_tech,566,10.967236646016104,0.3280736057744455,10.7745181365954,10.980576969706773,11.173099530031253,552,10.962,0.35,10.714,10.91,11.185,0.005236646016104629,14
firm,Redundancy_proxy,566,29.05311105222271,2.282481493588077,27.60664963647577,28.847072837707014,30.603897451559405,552,29.074,2.63,27.402,28.91,30.795,-0.020888947777290667,14
firm,Redundancy_glm4,566,24.123391478064235,2.004371471636094,22.77544012724925,24.00918238818694,25.33906068175584,552,29.074,2.63,27.402,28.91,30.795,-4.9506085219357665,14
