code,sec_code,sec_name,first_trade_date,listing_year,chunk_count,FInvention,BHAR,FSales_Growth
688162,688162,巨一科技,2021-11-10,2021,16,3.784189633918261,-0.4047693098359585,0.6406838449086721
688107,688107,安路科技,2021-11-12,2021,10,2.4849066497880004,0.0716720356185696,0.5357083728435296
688212,688212,澳华内镜,2021-11-15,2021,16,2.8903717578961645,0.6670696695374959,0.2829688750125256
688182,688182,灿勤科技,2021-11-16,2021,14,1.0986122886681098,-0.2163152469391085,0.0347776782082877
688232,688232,新点软件,2021-11-17,2021,20,2.0794415416798357,0.2684729346569835,0.0106743521702083
688075,688075,安旭生物,2021-11-18,2021,19,1.3862943611198906,1.110811859982242,2.8796736970924637
688082,688082,盛美上海,2021-11-18,2021,14,3.7612001156935624,-0.241294866600812,0.7725339093690614
688190,688190,云路股份,2021-11-26,2021,14,2.1972245773362196,-0.1911732998144231,0.5467687739953097
688049,688049,炬芯科技,2021-11-29,2021,10,3.258096538021482,-0.4651171349721783,-0.2119898418837296
688112,688112,鼎阳科技,2021-12-01,2021,18,3.80666248977032,0.0548347194434768,0.3090094576836571
688230,688230,芯导科技,2021-12-01,2021,11,1.6094379124341005,-0.3428919276029345,-0.2932865907548272
688151,688151,华强科技,2021-12-06,2021,12,1.6094379124341005,-0.3483880019638203,-0.5405413266684914
688246,688246,嘉和美康,2021-12-14,2021,19,2.1972245773362196,-0.1038747753253774,0.0997155522434649
688235,688235,百济神州,2021-12-15,2021,29,3.258096538021482,0.0424175942829072,0.260569667215139
688032,688032,禾迈股份,2021-12-20,2021,14,2.6390573296152584,1.0056253586942354,0.9322692464957492
688248,688248,南网科技,2021-12-22,2021,19,3.7612001156935624,1.520560864438674,0.2920078212446576
688167,688167,炬光科技,2021-12-24,2021,14,2.70805020110221,-0.3131486774038411,0.1598463052386431
688210,688210,统联精密,2021-12-27,2021,12,1.3862943611198906,-0.1436534263852357,0.4346824606957744
688265,688265,南模生物,2021-12-28,2021,12,2.4849066497880004,-0.11902905334577,0.1006153560238231
688227,688227,品高股份,2021-12-30,2021,16,1.791759469228055,-0.1531954189730058,0.058391061956476
688236,688236,春立医疗,2021-12-30,2021,23,3.8501476017100584,0.1708213035694412,0.0843438320641703
688262,688262,国芯科技,2022-01-06,2022,21,2.5649493574615367,0.301467425760088,-0.0964767877209736
688176,688176,亚虹医药,2022-01-07,2022,19,2.302585092994046,-0.1104224607460653,14.719926489337396
688259,688259,创耀科技,2022-01-12,2022,18,1.0986122886681098,0.0731908258966917,-0.2904517561429893
688220,688220,翱捷科技,2022-01-14,2022,18,3.4657359027997265,-0.3847171412731448,0.2148007007669876
688173,688173,希荻微,2022-01-21,2022,15,3.332204510175204,-0.3629882896071938,-0.296430544571436
688223,688223,晶科能源,2022-01-26,2022,16,7.507141079727608,0.3392971306908519,0.4355032814135787
688171,688171,纬德信息,2022-01-27,2022,13,0.6931471805599453,-0.3911782990481304,-0.1389286496808682
688225,688225,亚信安全,2022-02-09,2022,16,3.1780538303479458,-0.4784130017451933,-0.0655820810788104
688261,688261,东微半导,2022-02-10,2022,11,1.3862943611198906,0.8407541175563906,-0.1285541597350854
688267,688267,中触媒,2022-02-16,2022,13,3.295836866004329,-0.2375653683916483,-0.1921431636605463
