code,sec_code,sec_name,first_trade_date,listing_year,chunk_count,FInvention,BHAR,FSales_Growth
688184,688184,帕瓦股份,2022-09-19,2022,8,3.688879454113936,-0.3956271802466942,-0.4238387890595216
688428,688428,诺诚健华,2022-09-21,2022,20,2.995732273553991,0.0648333708041568,0.1808956241993792
688448,688448,磁谷科技,2022-09-21,2022,11,3.1354942159291497,0.0711980626047306,0.2015892845302322
688132,688132,邦彦技术,2022-09-23,2022,14,2.8903717578961645,-0.176833836882816,-0.4967344276380817
688387,688387,信科移动,2022-09-26,2022,21,7.226936018493289,0.223586790542978,0.1342557396612041
688252,688252,天德钰,2022-09-27,2022,10,2.3978952727983707,-0.1444174209656484,0.008822806627738
688275,688275,万润新能,2022-09-29,2022,17,3.4011973816621555,-0.6288229518971806,-0.0143511223888149
688409,688409,富创精密,2022-10-10,2022,8,1.6094379124341005,-0.3001003966425257,0.3375234389961181
688459,688459,哈铁科技,2022-10-12,2022,18,2.70805020110221,-0.0539332369184828,0.0664815474997699
688031,688031,星环科技,2022-10-18,2022,19,3.091042453358316,-0.2703989181242581,0.3171570816991594
688061,688061,灿瑞科技,2022-10-18,2022,12,2.70805020110221,-0.3771936398026019,-0.2336930663661251
688244,688244,永信至诚,2022-10-19,2022,18,2.9444389791664403,0.2018011231046217,0.1971968004677829
688426,688426,康为世纪,2022-10-25,2022,15,1.3862943611198906,-0.2038688808743842,-0.5902465738445307
688372,688372,伟测科技,2022-10-26,2022,11,0.6931471805599453,0.0612803475157708,0.0047768380645479
688152,688152,麒麟信安,2022-10-28,2022,14,2.3978952727983707,-0.5648532300355271,-0.5902465738445307
688419,688419,耐科装备,2022-11-07,2022,15,0.6931471805599453,-0.0279558932503869,-0.2638530340457614
688432,688432,有研硅,2022-11-10,2022,12,1.9459101490553132,-0.3107867643936873,-0.1828575166327836
688362,688362,甬矽电子,2022-11-16,2022,12,2.833213344056216,-0.0244231634995212,0.0982311202575775
688480,688480,赛恩斯,2022-11-25,2022,17,2.302585092994046,0.6185563650133655,0.4746829060254958
688489,688489,三未信安,2022-12-02,2022,12,3.6375861597263857,-0.3500954229585878,0.0554374341258586
688084,688084,晶品特装,2022-12-08,2022,15,1.791759469228055,-0.1431602582640672,-0.1941242807160454
688420,688420,美腾科技,2022-12-09,2022,15,3.49650756146648,-0.4460714697003096,0.1648611722377533
688503,688503,聚和材料,2022-12-09,2022,9,2.302585092994046,-0.4377340834139503,0.582108319479104
688143,688143,长盈通,2022-12-12,2022,18,2.5649493574615367,-0.0032306852152084,-0.2982205300030567
688498,688498,源杰科技,2022-12-21,2022,11,1.3862943611198906,0.7512795276023874,-0.4895689120878864
688141,688141,杰华特,2022-12-23,2022,10,4.624972813284271,-0.5291999986659622,-0.1042562376304178
688147,688147,微导纳米,2022-12-23,2022,11,3.044522437723423,0.2633048796335574,1.4538964664880634
688410,688410,山外山,2022-12-26,2022,13,2.0794415416798357,0.699218397399876,0.8065169150353974
