sec_code,sec_name,listing_year,announcement_id,Redundancy,chunk_count,FInvention,BHAR,FSales_Growth
688357,建龙微纳,2019.0,1207119374,26.717724288840262,13,2.1972245773362196,0.2337332699945467,0.1122687935804807
688021,奥福环保,2019.0,1207048360,31.866629464285715,15,1.3862943611198906,0.4950123416085481,0.1718462208652068
688116,天奈科技,2019.0,1206936843,33.587025316455694,11,1.9459101490553132,0.0828408442138082,0.2212986578962451
688039,当虹科技,2019.0,1207141672,35.58019953952417,12,2.9444389791664403,-0.3350888699268625,0.2860038427698199
688111,金山办公,2019.0,1207085616,41.10005955926147,18,2.8903717578961645,1.2781136401455002,0.4314269649018023
688135,利扬芯片,2020.0,1208691414,26.534494306764906,11,1.0986122886681098,-0.3038112168676758,0.5473053311417146
688521,芯原股份,2020.0,1208159528,28.99206349206349,9,3.332204510175204,-0.3757923540522123,0.4204058127965931
688668,鼎通科技,2020.0,1208901343,30.418685121107263,9,2.302585092994046,0.4620753318812023,0.5876226905372471
688233,神工股份,2020.0,1207308739,31.67105263157895,7,0.6931471805599453,-0.302858890556581,1.466925256503535
688086,紫晶存储,2020.0,1207316126,32.085151006711406,20,1.9459101490553132,-0.4290025273774773,-0.0669237542248882
688027,国盾量子,2020.0,1207992273,32.69119170984456,17,3.6375861597263857,-0.2425745942332705,0.335495750676765
688526,科前生物,2020.0,1208450303,33.58173076923077,18,2.1972245773362196,-0.0300833510420232,0.3080939121457181
688339,亿华通,2020.0,1208120188,34.44009085746735,16,3.871201010907891,0.6941764253685265,0.0997319686055526
688569,铁科轨道,2020.0,1208236968,35.38325991189427,13,2.0794415416798357,-0.4305552516496408,0.0986437946540737
688222,成都先导,2020.0,1207462684,35.82472613458529,12,2.9444389791664403,-0.4504514081091507,0.2769209519847294
688050,爱博医疗,2020.0,1208062349,36.760499432463114,17,1.9459101490553132,0.2559699707660154,0.5860566944037654
688085,三友医疗,2020.0,1207440882,37.83812949640288,19,2.4849066497880004,-0.1035054855385853,0.519748759916719
688777,中控技术,2020.0,1208751864,38.62435677530017,12,4.143134726391533,-0.3281000233165445,0.4307627582342621
688096,京源环保,2020.0,1207449039,40.58507061197041,16,0.0,-0.3891442450500143,0.199896391225382
688256,寒武纪,2020.0,1208028359,51.32418300653595,10,5.575949103146316,-0.4251860235177409,0.5711534937728097
688367,工大高科,2021.0,1210312654,26.43509749303621,13,2.772588722239781,-0.046912811917165,0.2040375595048752
688183,生益电子,2021.0,1209280522,29.081205525324403,18,3.5263605246161616,-0.4891880702593119,-0.0309003511373118
688038,中科通达,2021.0,1210429108,30.412688821752266,13,3.49650756146648,-0.4497335764801827,-0.0858531923429418
688779,长远锂科,2021.0,1210659251,31.706333973128597,13,3.091042453358316,-0.0952217781531938,1.6275337558452871
688103,国力股份,2021.0,1210971091,32.2962962962963,14,1.6094379124341005,0.0028515145320685,0.3753277853416626
688622,禾信仪器,2021.0,1210977644,33.134418324291744,15,2.1972245773362196,-0.4393266287733949,-0.3963070654978666
688328,深科达,2021.0,1209325112,33.59368111682586,12,2.4849066497880004,-0.5269196969734876,-0.3536056962166253
688121,卓然股份,2021.0,1210943561,33.870014771048744,12,2.1972245773362196,-0.3663944737325985,-0.2474222874729924
688456,有研粉材,2021.0,1209371603,34.51615384615385,12,2.70805020110221,-0.4611142283135344,-8.351040132208375e-05
688211,中科微至,2021.0,1211324358,35.46420824295011,9,1.6094379124341005,-0.4825442521528998,0.047641645195611
688232,新点软件,2021.0,1211562105,36.29127358490566,16,2.0794415416798357,0.2684729346569835,0.0106743521702083
688076,诺泰生物,2021.0,1209971356,36.855920756416026,22,1.791759469228055,-0.6750653926382223,0.0609612391532586
688565,力源科技,2021.0,1209944605,37.63442768411713,11,2.0794415416798357,-0.3993078540072174,-0.357922672476794
688667,菱电电控,2021.0,1209338347,39.19398258115598,13,0.6931471805599453,-0.0650041516870103,-0.1469773993773758
688625,呈和科技,2021.0,1210141573,40.45794392523364,10,2.6390573296152584,0.2220608452386617,0.2059763419154307
688317,之江生物,2021.0,1209084097,42.03067484662576,22,1.3862943611198906,-0.5005216978868137,0.1522789965997779
688793,倍轻松,2021.0,1210443031,55.005181347150256,15,2.6390573296152584,-0.6314203782714921,-0.2468860406370767
688475,萤石网络,2022.0,1215417858,25.69811320754717,13,4.51085950651685,0.6514095109403882,0.1238718576730468
688322,奥比中光,2022.0,1213929854,28.583090379008745,3,4.48863636973214,-0.2256510071009039,0.0284468291278247
688172,燕东微,2022.0,1215333346,29.764079147640793,11,2.6390573296152584,-0.2081751834512079,-0.0222141138440319
688459,哈铁科技,2022.0,1214711941,30.803438395415473,15,2.70805020110221,-0.0539332369184828,0.0664815474997699
688271,联影医疗,2022.0,1214298793,31.965076242006887,17,6.593044534142437,-0.3224404206200514,0.2351822953598412
688489,三未信安,2022.0,1215222558,32.71571298819255,10,3.6375861597263857,-0.3500954229585878,0.0554374341258586
688351,微电生理,2022.0,1214389512,34.305792163543444,11,2.9444389791664403,0.50678375294545,0.2645536252648318
688496,清越科技,2022.0,1215430371,35.19695431472081,9,2.833213344056216,0.9968514309679968,-0.3669031771811746
688281,华秦科技,2022.0,1212482414,35.64379947229551,11,2.6390573296152584,0.2872344615081297,0.3644583316879452
688234,天岳先进,2022.0,1212110958,37.08867667121419,7,3.044522437723423,0.1168774802383231,1.9990219591925529
688231,隆达股份,2022.0,1214044108,37.83157894736842,13,2.5649493574615367,-0.3329391121508418,0.2690905981328408
688261,东微半导,2022.0,1212298426,40.100467289719624,9,1.3862943611198906,0.8407541175563906,-0.1285541597350854
688375,国博电子,2022.0,1214044112,51.636740331491715,10,1.3862943611198906,-0.1921527456251328,0.0307619925966654
