sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688233,神工股份,7,26477,710.0,2.051214318769407,37.29154929577465
688050,爱博医疗,17,64772,1846.0,1.8396016472162195,35.08775731310943
688793,倍轻松,15,53080,1568.0,2.0666517679053142,33.85204081632653
688076,诺泰生物,22,81857,2433.0,2.0392785346044895,33.644471845458284
688111,金山办公,18,69007,2058.0,2.2907987754967847,33.531098153547134
688039,当虹科技,12,46361,1395.0,2.278716063834326,33.2336917562724
688569,铁科轨道,13,48192,1466.0,2.3449616260426875,32.8731241473397
688667,菱电电控,13,49502,1514.0,2.0713884796243525,32.69616908850727
688459,哈铁科技,15,53752,1663.0,2.5883912681370638,32.322309079975945
688496,清越科技,9,34669,1074.0,2.2144056718369276,32.28026070763501
688565,力源科技,11,42414,1319.0,2.040179215712414,32.156178923426836
688375,国博电子,10,37385,1165.0,2.1194351703172645,32.09012875536481
688456,有研粉材,12,44871,1400.0,2.1504914853149097,32.050714285714285
688121,卓然股份,12,45860,1433.0,2.159725227534547,32.00279134682484
688256,寒武纪,10,39263,1237.0,2.0244182667840507,31.740501212611157
688234,天岳先进,7,27186,860.0,2.198818785614805,31.611627906976743
688622,禾信仪器,15,54970,1739.0,2.3770482542466245,31.61012075905693
688103,国力股份,14,51448,1641.0,2.166264598983584,31.351614868982328
688021,奥福环保,15,57105,1840.0,1.9750595462759202,31.035326086956523
688222,成都先导,12,45784,1498.0,2.2179725154120224,30.563417890520693
688779,长远锂科,13,49557,1647.0,2.1378663416169363,30.089253187613842
688211,中科微至,9,32698,1089.0,2.425825445775482,30.0257116620753
688526,科前生物,18,69850,2328.0,2.329095931930152,30.004295532646047
688271,联影医疗,17,64985,2167.0,2.239159755791086,29.98846331333641
688521,芯原股份,9,32877,1105.0,2.1755334879378525,29.75294117647059
688351,微电生理,11,40275,1355.0,1.9339900035489814,29.723247232472325
688261,东微半导,9,34326,1165.0,2.1123007494839574,29.464377682403434
688231,隆达股份,13,50316,1708.0,2.150140693507168,29.459016393442624
688086,紫晶存储,20,76491,2597.0,2.4459831879089,29.453600308047747
688317,之江生物,22,82212,2796.0,2.367662906050579,29.40343347639485
688096,京源环保,16,60350,2081.0,2.1078158711069284,29.000480538202787
688116,天奈科技,11,42454,1468.0,2.118354545614413,28.919618528610354
688183,生益电子,18,69475,2415.0,2.44759048712055,28.768115942028984
688027,国盾量子,17,63094,2200.0,2.16780976083702,28.67909090909091
688625,呈和科技,10,38961,1374.0,2.5683722488806167,28.35589519650655
688281,华秦科技,11,40527,1437.0,2.2266229423199606,28.20250521920668
688038,中科通达,13,50333,1800.0,2.6961543709182583,27.962777777777777
688172,燕东微,11,39110,1401.0,2.2511174261846394,27.915774446823697
688085,三友医疗,19,73633,2645.0,2.1579989610022126,27.838563327032137
688367,工大高科,13,47451,1726.0,2.61212959432992,27.49188876013905
688489,三未信安,10,36020,1316.0,2.5261632455248932,27.37082066869301
688328,深科达,12,45721,1671.0,2.279905070717092,27.361460203470976
688357,建龙微纳,13,48840,1799.0,2.4446411455319086,27.14841578654808
688339,亿华通,16,60649,2234.0,2.3321728102193253,27.14816472694718
688475,萤石网络,13,49032,1813.0,2.3232972931860143,27.044677330391615
688322,奥比中光,3,9804,371.0,2.2059575051184086,26.42587601078167
688232,新点软件,16,61550,2366.0,2.0082948790357387,26.014370245139474
688668,鼎通科技,9,35164,1402.0,2.3099011083468444,25.081312410841655
688777,中控技术,12,45036,1803.0,2.338507398114597,24.9783693843594
688135,利扬芯片,11,39616,1613.0,2.2394160055684207,24.56044637321761
