code,sec_name,listing_year,first_trade_date,BHAR_current,td252_incl_stock_days,td252_incl_start,td252_incl_end,td252_incl_stock_bhr,BHAR_td252_incl_star_exipo_vw,BHAR_td252_incl_star_exipo_ew,BHAR_td252_incl_star_all_vw,BHAR_td252_incl_cnd_m33_os,BHAR_td252_incl_cnd_m53_tl,BHAR_td252_incl_cnd_m117_tl,td252_excl_stock_days,td252_excl_start,td252_excl_end,td252_excl_stock_bhr,BHAR_td252_excl_star_exipo_vw,BHAR_td252_excl_star_exipo_ew,BHAR_td252_excl_star_all_vw,BHAR_td252_excl_cnd_m33_os,BHAR_td252_excl_cnd_m53_tl,BHAR_td252_excl_cnd_m117_tl,cal365_incl_stock_days,cal365_incl_start,cal365_incl_end,cal365_incl_stock_bhr,BHAR_cal365_incl_star_exipo_vw,BHAR_cal365_incl_star_exipo_ew,BHAR_cal365_incl_star_all_vw,BHAR_cal365_incl_cnd_m33_os,BHAR_cal365_incl_cnd_m53_tl,BHAR_cal365_incl_cnd_m117_tl,cal365_excl_stock_days,cal365_excl_start,cal365_excl_end,cal365_excl_stock_bhr,BHAR_cal365_excl_star_exipo_vw,BHAR_cal365_excl_star_exipo_ew,BHAR_cal365_excl_star_all_vw,BHAR_cal365_excl_cnd_m33_os,BHAR_cal365_excl_cnd_m53_tl,BHAR_cal365_excl_cnd_m117_tl
688021,奥福环保,2019.0,2019-11-06,0.4950123416085481,252.0,2019-11-06,2020-11-18,1.198334407236303,0.3653836454495236,0.9472701260823551,-20.291429603303968,1.0452405765274269,0.9559351000089096,0.9559290372296845,252.0,2019-11-07,2020-11-19,0.7676444202960186,-0.10291124977143662,0.49501234160854723,-20.221012962080483,0.604628495859485,0.5111458903021169,0.5111460095144293,243.0,2019-11-06,2020-11-05,1.4860565226267464,0.6129418258585511,1.2261718472631413,-19.91365437327263,1.342622854839975,1.2403924974306961,1.2403435071203992,242.0,2019-11-07,2020-11-05,0.9590519559552297,0.0701258071376083,0.6805752461182724,-19.68242991920759,0.8112486007953648,0.7056141092338133,0.7055648131894492
688023,安恒信息,2019.0,2019-11-05,1.9052241373521832,252.0,2019-11-05,2020-11-17,3.4170991856105477,2.636992336052832,3.2199102382595743,-18.019444827275514,3.2605580561096854,3.168340846314584,3.168329757086542,252.0,2019-11-06,2020-11-18,2.156288418506126,1.3233376567193469,1.9052241373521783,-19.333475592034144,2.00319458779725,1.9138891112787328,1.9138830484995077,243.0,2019-11-05,2020-11-04,3.785020837659264,2.9958649812328764,3.5912612555231895,-17.346391795111234,3.6506306097484194,3.55133706579725,3.5512909781043374,242.0,2019-11-06,2020-11-04,2.419601368162802,1.573212087776384,2.176657906952763,-18.66051265438055,2.2910053521979212,2.1921163954131737,2.1920705392936646
688025,杰普特,2019.0,2019-10-31,-0.3725316180568043,252.0,2019-10-31,2020-11-12,0.1230267273019301,-0.6009964908162293,-0.01127797977979772,-21.05750785944497,-0.04824583981290553,-0.14044479112100006,-0.14046093603221443,252.0,2019-11-01,2020-11-13,-0.15997170542861505,-0.99596177806025,-0.3725316180568031,-22.372024418969186,-0.32375864299790946,-0.4239184462555733,-0.4239384092324091,243.0,2019-10-31,2020-10-30,0.052738069813858646,-0.6357420984095221,-0.057726293322201805,-20.266708841440156,-0.07786942511248429,-0.16755107856896645,-0.16764141023532098,242.0,2019-11-01,2020-10-30,-0.212869039951894,-0.9799248937588141,-0.38792610438448816,-21.138119714143365,-0.34667386448341597,-0.4400895296605938,-0.4401803744181392
688030,山石网科,2019.0,2019-09-30,-0.1545662332049018,252.0,2019-09-30,2020-10-19,0.882369124727411,0.3981781630065313,0.9084779803340891,-21.461496291050107,0.7170354194291322,0.6249794092762282,0.6248617949961892,252.0,2019-10-08,2020-10-20,-0.10707202137094163,-0.6920076338015458,-0.1545662332049037,-22.018591360035195,-0.2881593082445634,-0.3884112064410036,-0.3885120022122527,244.0,2019-09-30,2020-09-29,0.7183336975137757,0.3071188342991722,0.775608510961198,-20.403402690222944,0.585443160284169,0.50518058075336,0.505155507230487,243.0,2019-10-08,2020-09-29,-0.19222956462023788,-0.6938128482548025,-0.19941330172717509,-20.82612734716086,-0.3347988058926634,-0.417994577599194,-0.4180199117855101
688036,传音控股,2019.0,2019-09-30,0.6520577597028996,252.0,2019-09-30,2020-10-19,1.834142393630331,1.3499514319094512,1.8602512492370091,-20.50972302214719,1.668808688332052,1.576752678179148,1.5766350638991091,252.0,2019-10-08,2020-10-20,0.6995519715368592,0.114616359106255,0.6520577597028971,-21.211967367127393,0.5184646846632375,0.41821278646679727,0.41811199069554816,244.0,2019-09-30,2020-09-29,1.5615803040027947,1.1503654407881911,1.618855117450217,-19.560156083733922,1.428689766773188,1.348427187242379,1.348402113719506,243.0,2019-10-08,2020-09-29,0.5577778531877919,0.056194569553227325,0.5505941160808547,-20.07611992935283,0.4152086119153664,0.3320128402088358,0.3319875060225197
688037,芯源微,2019.0,2019-12-16,0.2532421058012442,252.0,2019-12-16,2020-12-28,2.191528799007621,1.3617834649989267,2.049276349524101,-14.664332522337748,2.0096095490390775,1.9356141138263225,1.9355690024728698,252.0,2019-12-17,2020-12-29,0.3670917225721726,-0.40955745695562196,0.2532421058012442,-15.757460921346699,0.19676050469472095,0.1309020460874062,0.13086013071905844,243.0,2019-12-16,2020-12-15,2.5700637931662444,1.716482400237707,2.3516152563942283,-14.076876451739889,2.400219296659424,2.32209589075303,2.3221491251299797,242.0,2019-12-17,2020-12-15,0.4927849153502566,-0.3172638151234446,0.29718522671398895,-15.516015062653846,0.3278807772929373,0.2569590025304962,0.2570117189684433
688039,当虹科技,2019.0,2019-12-11,-0.3350888699268625,252.0,2019-12-11,2020-12-23,0.27363540763307026,-0.568835988455263,0.10874447588207659,-16.886504597971285,0.07811477602464989,0.0006249268778089068,0.0005460657135278879,252.0,2019-12-12,2020-12-24,-0.17959640934416887,-1.0133958355065025,-0.3350888699268644,-17.068889199130936,-0.36551314385960043,-0.4422121032488582,-0.4422750349460791,243.0,2019-12-11,2020-12-10,0.4461465055702636,-0.35097023571011365,0.24662931878366345,-15.8198336331839,0.253206711002248,0.18100485636754904,0.18101834678113704,242.0,2019-12-12,2020-12-10,-0.061436268782182,-0.8934504224296201,-0.2881416871450265,-16.442048397576972,-0.25130026492018087,-0.32727792842267756,-0.32726443054476306
688058,宝兰德,2019.0,2019-11-01,-0.1773744030660071,252.0,2019-11-01,2020-11-13,0.2814544966129111,-0.5545355760187238,0.06889458398472303,-21.93059821692766,0.1176675590436167,0.017507755785952872,0.017487792809117053,252.0,2019-11-04,2020-11-16,0.04692575652919073,-0.7912934947026824,-0.1773744030660065,-22.122069489933494,-0.11847196837687823,-0.21597836634595957,-0.2159883115661292,242.0,2019-11-01,2020-10-30,0.24385884610726483,-0.5231970076996553,0.06880178167467066,-20.681391828084205,0.11005402157574284,0.016638356398565035,0.01654751164101964,241.0,2019-11-04,2020-10-30,-0.01558866713682272,-0.7799665558695795,-0.1926563102372879,-20.840504006639357,-0.13811324221340004,-0.2294049832665025,-0.22949483578271124
688068,热景生物,2019.0,2019-09-30,-0.3795946825525315,252.0,2019-09-30,2020-10-19,0.6099047764994798,0.1257138147786001,0.6360136321061579,-21.73396063927804,0.444571071201201,0.352515061048297,0.352397446768258,252.0,2019-10-08,2020-10-20,-0.33210047071857063,-0.9170360831491748,-0.3795946825525327,-22.243619809382825,-0.5131877575921924,-0.6134396557886326,-0.6135404515598817,244.0,2019-09-30,2020-09-29,0.6603717964372589,0.2491569332226553,0.7176466098846811,-20.461364591299457,0.5274812592076521,0.44721867967684314,0.4471936061539701,243.0,2019-10-08,2020-09-29,-0.3099937096998734,-0.811576993334438,-0.3171774468068106,-20.943891492240496,-0.4525629509722989,-0.5357587226788295,-0.5357840568651456
688078,龙软科技,2019.0,2019-12-30,-0.5381431995557974,252.0,2019-12-30,2021-01-12,0.15358738615091294,-0.6472249301877049,0.10979483334836493,-16.054795596582373,-0.08508857286668947,-0.15572447038567638,-0.15563920670054388,252.0,2019-12-31,2021-01-13,-0.5128741181265034,-1.3046846612262408,-0.5381431995557974,-16.509414617733196,-0.7326836987548991,-0.7996963275076988,-0.7996241896776201,243.0,2019-12-30,2020-12-29,0.22621037765591123,-0.4961635983975854,0.15287211511787424,-14.530677527743908,0.0645940961918432,-0.0005862299669254778,-0.0006278268453610014,242.0,2019-12-31,2020-12-29,-0.4586117063494872,-1.1889695780447262,-0.5397492954553338,-15.161055855045822,-0.6063688206582767,-0.6727340904051666,-0.6727752575398829
