code,sec_name,listing_year,first_trade_date,FSales_current,FSales_L_to_L1_raw,FSales_L_to_L1_start_year,FSales_L_to_L1_end_year,FSales_L_to_L1_start_revenue,FSales_L_to_L1_end_revenue,FSales_L1_to_L2_raw,FSales_L1_to_L2_start_year,FSales_L1_to_L2_end_year,FSales_L1_to_L2_start_revenue,FSales_L1_to_L2_end_revenue,FSales_Lm1_to_L1_raw,FSales_Lm1_to_L1_start_year,FSales_Lm1_to_L1_end_year,FSales_Lm1_to_L1_start_revenue,FSales_Lm1_to_L1_end_revenue,FSales_month_cutoff_3_raw,FSales_month_cutoff_3_start_year,FSales_month_cutoff_3_end_year,FSales_month_cutoff_3_start_revenue,FSales_month_cutoff_3_end_revenue,FSales_month_cutoff_6_raw,FSales_month_cutoff_6_start_year,FSales_month_cutoff_6_end_year,FSales_month_cutoff_6_start_revenue,FSales_month_cutoff_6_end_revenue,FSales_month_cutoff_9_raw,FSales_month_cutoff_9_start_year,FSales_month_cutoff_9_end_year,FSales_month_cutoff_9_start_revenue,FSales_month_cutoff_9_end_revenue,FSales_L_to_L1_w1p,FSales_L1_to_L2_w1p,FSales_Lm1_to_L1_w1p,FSales_month_cutoff_3_w1p,FSales_month_cutoff_6_w1p,FSales_month_cutoff_9_w1p
688021,奥福环保,2019.0,2019-11-06,0.1718462208652068,0.17184622086520687,2019.0,2020.0,268078301.1,314146544.04,0.26059853467487454,2020.0,2021.0,314146544.04,396012673.09,,2018.0,2020.0,,314146544.04,0.26059853467487454,2020.0,2021.0,314146544.04,396012673.09,0.26059853467487454,2020.0,2021.0,314146544.04,396012673.09,0.26059853467487454,2020.0,2021.0,314146544.04,396012673.09,0.17184622086520687,0.26059853467487454,,0.26059853467487454,0.26059853467487454,0.26059853467487454
688023,安恒信息,2019.0,2019-11-05,0.4014053088532215,0.40140530885322157,2019.0,2020.0,944032874.31,1322972681.79,0.37593776061730283,2020.0,2021.0,1322972681.79,1820328069.14,,2018.0,2020.0,,1322972681.79,0.37593776061730283,2020.0,2021.0,1322972681.79,1820328069.14,0.37593776061730283,2020.0,2021.0,1322972681.79,1820328069.14,0.37593776061730283,2020.0,2021.0,1322972681.79,1820328069.14,0.40140530885322157,0.37593776061730283,,0.37593776061730283,0.37593776061730283,0.37593776061730283
688025,杰普特,2019.0,2019-10-31,0.5037121974921628,0.5037121974921628,2019.0,2020.0,567679888.92,853627173.24,0.4050381791241209,2020.0,2021.0,853627173.24,1199378769.14,,2018.0,2020.0,,853627173.24,0.4050381791241209,2020.0,2021.0,853627173.24,1199378769.14,0.4050381791241209,2020.0,2021.0,853627173.24,1199378769.14,0.4050381791241209,2020.0,2021.0,853627173.24,1199378769.14,0.5037121974921628,0.4050381791241209,,0.4050381791241209,0.4050381791241209,0.4050381791241209
688030,山石网科,2019.0,2019-09-30,0.0753340672715904,0.07533406727159045,2019.0,2020.0,674570694.78,725388848.88,0.4157208794229569,2020.0,2021.0,725388848.88,1026948139.06,,2018.0,2020.0,,725388848.88,0.4157208794229569,2020.0,2021.0,725388848.88,1026948139.06,0.4157208794229569,2020.0,2021.0,725388848.88,1026948139.06,0.07533406727159045,2019.0,2020.0,674570694.78,725388848.88,0.07533406727159045,0.4157208794229569,,0.4157208794229569,0.4157208794229569,0.07533406727159045
688036,传音控股,2019.0,2019-09-30,0.4910437085064186,0.49104370850641865,2019.0,2020.0,25345929613.02,37791888885.74,0.3074737228250736,2020.0,2021.0,37791888885.74,49411901654.03,,2018.0,2020.0,,37791888885.74,0.3074737228250736,2020.0,2021.0,37791888885.74,49411901654.03,0.3074737228250736,2020.0,2021.0,37791888885.74,49411901654.03,0.49104370850641865,2019.0,2020.0,25345929613.02,37791888885.74,0.49104370850641865,0.3074737228250736,,0.3074737228250736,0.3074737228250736,0.49104370850641865
688037,芯源微,2019.0,2019-12-16,0.5429976020344213,0.5429976020344213,2019.0,2020.0,213156650.17,328900200.07,1.5195257166570078,2020.0,2021.0,328900200.07,828672512.29,,2018.0,2020.0,,328900200.07,1.5195257166570078,2020.0,2021.0,328900200.07,828672512.29,1.5195257166570078,2020.0,2021.0,328900200.07,828672512.29,1.5195257166570078,2020.0,2021.0,328900200.07,828672512.29,0.5429976020344213,1.5195257166570078,,1.5195257166570078,1.5195257166570078,1.5195257166570078
688039,当虹科技,2019.0,2019-12-11,0.2860038427698199,0.28600384276981994,2019.0,2020.0,284518014.66,365891260.19,0.14295959540776584,2020.0,2021.0,365891260.19,418198926.71,,2018.0,2020.0,,365891260.19,0.14295959540776584,2020.0,2021.0,365891260.19,418198926.71,0.14295959540776584,2020.0,2021.0,365891260.19,418198926.71,0.14295959540776584,2020.0,2021.0,365891260.19,418198926.71,0.28600384276981994,0.14295959540776584,,0.14295959540776584,0.14295959540776584,0.14295959540776584
688058,宝兰德,2019.0,2019-11-01,0.2718579433669868,0.2718579433669868,2019.0,2020.0,143302329.84,182260206.51,0.09645149441348574,2020.0,2021.0,182260206.51,199839475.8,,2018.0,2020.0,,182260206.51,0.09645149441348574,2020.0,2021.0,182260206.51,199839475.8,0.09645149441348574,2020.0,2021.0,182260206.51,199839475.8,0.09645149441348574,2020.0,2021.0,182260206.51,199839475.8,0.2718579433669868,0.09645149441348574,,0.09645149441348574,0.09645149441348574,0.09645149441348574
688068,热景生物,2019.0,2019-09-30,1.4406062428665285,1.4406062428665285,2019.0,2020.0,210412323.25,513533629.7,9.455408275338506,2020.0,2021.0,513533629.7,5369203761.63,,2018.0,2020.0,,513533629.7,9.455408275338506,2020.0,2021.0,513533629.7,5369203761.63,9.455408275338506,2020.0,2021.0,513533629.7,5369203761.63,1.4406062428665285,2019.0,2020.0,210412323.25,513533629.7,1.4406062428665285,2.6228103580346405,,5.041433858867174,5.018717625785265,1.4406062428665285
688078,龙软科技,2019.0,2019-12-30,0.2805609099860635,0.28056090998606353,2019.0,2020.0,154339974.24,197641737.86,0.47168861465909784,2020.0,2021.0,197641737.86,290867095.39,,2018.0,2020.0,,197641737.86,0.47168861465909784,2020.0,2021.0,197641737.86,290867095.39,0.47168861465909784,2020.0,2021.0,197641737.86,290867095.39,0.47168861465909784,2020.0,2021.0,197641737.86,290867095.39,0.28056090998606353,0.47168861465909784,,0.47168861465909784,0.47168861465909784,0.47168861465909784
