name,unit,process,threshold,floor,chunk_n,firm_n,floor_applied_n,loss_all,loss_chunk_num,loss_text,loss_summary,loss_red_chunk,loss_lnn,loss_red_firm,panel_b_n,panel_b_rho,panel_b_p,panel_b_cluster_coef,panel_b_cluster_p,low_score_red_median,high_score_red_median,panel_c_rho,panel_c_p,panel_d_rho,panel_d_p,Chunk_num_n,Chunk_num_mean,Chunk_num_std,Chunk_num_p25,Chunk_num_median,Chunk_num_p75,Chunk_num_min,Chunk_num_max,Text_len_n,Text_len_mean,Text_len_std,Text_len_p25,Text_len_median,Text_len_p75,Text_len_min,Text_len_max,Summary_len_n,Summary_len_mean,Summary_len_std,Summary_len_p25,Summary_len_median,Summary_len_p75,Summary_len_min,Summary_len_max,Redundancy_chunk_n,Redundancy_chunk_mean,Redundancy_chunk_std,Redundancy_chunk_p25,Redundancy_chunk_median,Redundancy_chunk_p75,Redundancy_chunk_min,Redundancy_chunk_max,lnN_tech_n,lnN_tech_mean,lnN_tech_std,lnN_tech_p25,lnN_tech_median,lnN_tech_p75,lnN_tech_min,lnN_tech_max,Redundancy_n,Redundancy_mean,Redundancy_std,Redundancy_p25,Redundancy_median,Redundancy_p75,Redundancy_min,Redundancy_max
proxy_tailmerge1500_floor50,Summary_len_proxy,merge_tail,1500,50,7671,483,121,0.05018160585469126,0.1109458085421948,0.002598092345700495,0.06128035838368362,0.06454673414876938,0.015838167312233496,0.045880474395565786,7560,-0.1024108731121225,4.39889277619676e-19,-0.22111025862338576,0.24777370784413544,32.356547739031114,30.988311054141487,0.05379695087769065,2.4241043151280365e-06,-0.25762279334094274,1.5273157703158103e-116,7671,17.341806804849433,5.043717386930872,14.0,17.0,20.0,2.0,35.0,7671,3880.511667318472,344.58306244478973,3898.0,3969.0,3989.0,1507.0,5475.0,7671,127.55612045365663,44.10062215951033,105.0,122.0,143.0,50.0,1459.0,7671,33.14207797805327,10.37011479933372,27.013513513513512,31.744,37.027907580477674,2.6483893077450307,79.98,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.512119408509548,2.571217787007841,28.89297586272196,30.573213393303348,32.20065870022425,18.6025824964132,38.35775526110678
proxy_tailmerge1600_floor50,Summary_len_proxy,merge_tail,1600,50,7666,483,121,0.05039963413893394,0.11089746756139521,0.003538238139726292,0.06158972500221731,0.06465373242246553,0.015838167312233496,0.045880474395565786,7555,-0.10326906649505667,2.284526858732798e-19,-0.22574457747798404,0.2383548059187276,32.36585365853659,30.975993854426733,0.053829013918427655,2.408963080497353e-06,-0.2587009275181109,1.837638964400784e-117,7666,17.333681189668667,5.048524401479344,14.0,17.0,20.0,2.0,35.0,7666,3883.0426558831205,341.8500262546384,3899.0,3969.0,3989.0,1600.0,5519.0,7666,127.63931646230107,44.18688844265615,105.0,122.0,143.0,50.0,1459.0,7666,33.148038544891286,10.364156407017193,27.013513513513512,31.742535714285715,37.04205607476635,2.6483893077450307,79.98,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.512119408509548,2.571217787007841,28.89297586272196,30.573213393303348,32.20065870022425,18.6025824964132,38.35775526110678
proxy_tailmerge1700_floor50,Summary_len_proxy,merge_tail,1700,50,7650,483,121,0.05109623890274598,0.1112098782770001,0.00744688570595714,0.061134169851238186,0.06506785787448113,0.015838167312233496,0.045880474395565786,7539,-0.10501765794254556,6.120118147607751e-20,-0.23518494467311793,0.21921615541513562,32.37940303297761,30.968992248062015,0.053046320377167215,3.4477176727458246e-06,-0.2587728321016987,2.7481239853442874e-117,7650,17.303006535947713,5.04939169579254,14.0,17.0,20.0,2.0,35.0,7650,3891.164052287582,335.9403944685548,3900.0,3969.0,3989.0,1709.0,5688.0,7650,127.90627450980392,44.48159847398503,105.0,123.0,143.0,50.0,1459.0,7650,33.16559582801838,10.347899649174138,27.01382727003845,31.742535714285715,37.046728971962615,2.6483893077450307,79.98,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.512119408509548,2.571217787007841,28.89297586272196,30.573213393303348,32.20065870022425,18.6025824964132,38.35775526110678
proxy_tailmerge2000_floor50,Summary_len_proxy,merge_tail,2000,50,7598,483,121,0.053143106369114186,0.11221703704653714,0.012560177719230028,0.06551401971683872,0.06684876202427997,0.015838167312233496,0.045880474395565786,7488,-0.11087402402679189,6.43347371947457e-22,-0.26584191541048185,0.16702250657988205,32.40407170465147,30.968992248062015,0.053901218953972624,2.5885827016296956e-06,-0.25462714923319885,9.738367180083339e-113,7598,17.20400105290866,5.052232095496737,14.0,17.0,20.0,2.0,35.0,7598,3917.7948144248485,330.0463095128026,3905.0,3970.0,3989.0,2018.0,5976.0,7598,128.78165306659648,45.86360380878294,105.0,123.0,144.0,50.0,1459.0,7598,33.2329112713303,10.310475083464675,27.06972789115646,31.757272727272728,37.077515118196814,2.6483893077450307,79.98,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.512119408509548,2.571217787007841,28.89297586272196,30.573213393303348,32.20065870022425,18.6025824964132,38.35775526110678
proxy_tailmerge2000_floor60,Summary_len_proxy,merge_tail,2000,60,7598,483,189,0.055220447079731866,0.11221703704653714,0.012560177719230028,0.06351869478098453,0.08034102343710324,0.015838167312233496,0.04684758218230279,7488,-0.1110901765972675,5.35368696388269e-22,-0.2581616357090976,0.12244826809996283,32.40407170465147,30.968992248062015,0.05388067495483111,2.611428564164851e-06,-0.2545195001634975,1.2171356863894103e-112,7598,17.20400105290866,5.052232095496737,14.0,17.0,20.0,2.0,35.0,7598,3917.7948144248485,330.0463095128026,3905.0,3970.0,3989.0,2018.0,5976.0,7598,128.9890760726507,45.529740085336044,105.0,123.0,144.0,60.0,1459.0,7598,32.98095442916021,9.427301211714003,27.06972789115646,31.757272727272728,37.077515118196814,2.6483893077450307,66.65,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.465148597102647,2.535619353299236,28.837914461924548,30.507214206437293,32.11467554806302,18.554665140240413,37.76899462778204
proxy_tailmerge2000_floor80,Summary_len_proxy,merge_tail,2000,80,7598,483,529,0.058579682528767184,0.11221703704653714,0.012560177719230028,0.056487956397377914,0.10260384443027248,0.015838167312233496,0.051770912266952,7488,-0.11384733490067231,4.9790445155346933e-23,-0.3478049128309391,0.004252035065511716,32.39626377410468,30.96511627906977,0.05199175780084807,5.780553023344447e-06,-0.25185635734194595,2.9283289887716494e-110,7598,17.20400105290866,5.052232095496737,14.0,17.0,20.0,2.0,35.0,7598,3917.7948144248485,330.0463095128026,3905.0,3970.0,3989.0,2018.0,5976.0,7598,129.8697025533035,44.39812493969563,105.0,123.0,144.0,80.0,1459.0,7598,32.330836835677296,7.879381178356117,27.06972789115646,31.75304918032787,37.066355140186914,2.6483893077450307,49.9875,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.267413630586056,2.4165174232698328,28.78517985737718,30.38916528468767,31.872615856426147,18.303218520609825,36.72372611464968
proxy_tailmerge2000_floor100,Summary_len_proxy,merge_tail,2000,100,7598,483,1455,0.06250391215494623,0.11221703704653714,0.012560177719230028,0.04133164030560742,0.1382825470621098,0.015838167312233496,0.05479390348395957,7488,-0.12522464465764524,1.4816609347627367e-27,-0.4896276987041971,7.384885872935523e-09,32.31147540983606,30.921567421259844,0.04146013414041601,0.00030046968451635336,-0.22845287560866898,1.5417149467070232e-90,7598,17.20400105290866,5.052232095496737,14.0,17.0,20.0,2.0,35.0,7598,3917.7948144248485,330.0463095128026,3905.0,3970.0,3989.0,2018.0,5976.0,7598,132.3550934456436,42.13424635681549,105.0,123.0,144.0,100.0,1459.0,7598,31.199841884009444,6.244558183853986,27.029336734693878,31.641008771929826,36.30681818181819,2.6483893077450307,45.44660194174757,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,29.708374961160423,2.1794881877816605,28.372784849676712,29.91388174807198,31.124538319919253,17.83984589983489,35.22476296709426
glm4token_tailmerge1500_floor0,Summary_len_glm4,merge_tail,1500,0,7671,483,0,0.09152767250206216,0.1109458085421948,0.002598092345700495,0.14060181223911472,0.18685635229909653,0.015838167312233496,0.0923258022740329,7560,-0.1183735526250942,5.319940099969621e-25,-1.2374626403064708,0.0029950079895981257,28.217842747078933,26.892588614393127,0.04202450062372908,0.00023189246836417484,-0.21080588551721388,8.811492432833067e-78,7671,17.341806804849433,5.043717386930872,14.0,17.0,20.0,2.0,35.0,7671,3880.511667318472,344.58306244478973,3898.0,3969.0,3989.0,1507.0,5475.0,7671,146.60826489375572,53.00710369850448,119.0,141.0,165.0,0.0,1784.0,7670,29.616577503230882,18.98497740144546,23.38681881695389,27.547776111944028,32.490133037694015,2.1659192825112106,1233.3333333333333,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,26.574326117675515,2.3032132251267066,25.123909327094893,26.64129756706176,28.029959018374363,15.44674767691208,33.316642120765835
raw_proxy,Summary_len_proxy,keep,0,0,7850,483,0,0.09156949528818094,0.10668301267082166,0.13147802192459843,0.06482251094935014,0.18689629920848408,0.015838167312233496,0.043698959663597776,7738,-0.08781298140813709,1.0079313015629788e-14,-0.8573242637803044,0.04071035515906165,32.24193548387097,31.0,0.05251557407327033,3.243427961272885e-06,-0.252332997035863,2.910789583835168e-114,7850,17.682292993630572,5.061850081611338,14.0,17.0,20.0,2.0,36.0,7850,3792.0261146496814,561.549164219582,3883.25,3967.0,3987.0,40.0,3999.0,7850,124.4168152866242,42.30105863659087,103.0,121.0,141.0,0.0,1459.0,7848,33.55572381616503,20.161033399668263,26.952622265122265,31.663978494623656,36.981351678781586,1.6,1233.3333333333333,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,30.565189188790487,2.6198765950002514,28.929122750430924,30.68070337806571,32.2231795851512,18.6025824964132,38.62287334593573
glm4token_tailmerge2000_floor0,Summary_len_glm4,merge_tail,2000,0,7598,483,0,0.09582856792439466,0.11221703704653714,0.012560177719230028,0.15559859967468614,0.18643162351964832,0.015838167312233496,0.0923258022740329,7488,-0.1268225660564364,3.1627605754326016e-28,-1.2873488457483433,0.0022247665842605032,28.29787234042553,26.871874101753377,0.04184636147609752,0.00026392071951261654,-0.20650087553893406,5.947510284896572e-74,7598,17.20400105290866,5.052232095496737,14.0,17.0,20.0,2.0,35.0,7598,3917.7948144248485,330.0463095128026,3905.0,3970.0,3989.0,2018.0,5976.0,7598,148.0168465385628,54.932303454644064,120.0,141.0,166.0,0.0,1784.0,7597,29.700220795595435,19.027930086016323,23.44047619047619,27.5625,32.50819672131148,2.1659192825112106,1233.3333333333333,483,10.979980543147423,0.3284050636751822,10.798227638295199,10.995561848364485,11.186641796172221,8.798152718107191,11.835595748469478,483,26.574326117675515,2.3032132251267066,25.123909327094893,26.64129756706176,28.029959018374363,15.44674767691208,33.316642120765835
