key,metric,stat,value,paper,diff
proxy|drop_any_short|1500|floor50|none|original_section,Summary_len,median,120.0,130.0,-10.0
proxy|drop_any_short|1500|floor50|none|original_section,Summary_len,p75,142.0,158.0,-16.0
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy_chunk,mean,33.6959513152625,32.176,1.519951315262496
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy_chunk,std,11.053858382318992,11.73,-0.676141617681008
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy_chunk,p25,27.18738077769626,24.356,2.831380777696257
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy_chunk,median,32.457150473144075,29.739,2.7181504731440747
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy_chunk,p75,37.711383268924756,37.037,0.6743832689247569
proxy|drop_any_short|1500|floor50|none|original_section,lnN_tech,mean,10.927058231808044,10.962,-0.03494176819195616
proxy|drop_any_short|1500|floor50|none|original_section,lnN_tech,std,0.5451209233575225,0.35,0.1951209233575225
proxy|drop_any_short|1500|floor50|none|original_section,lnN_tech,p25,10.76794748729387,10.714,0.05394748729387011
proxy|drop_any_short|1500|floor50|none|original_section,lnN_tech,median,11.002859972278742,10.91,0.09285997227874176
proxy|drop_any_short|1500|floor50|none|original_section,lnN_tech,p75,11.187608205278961,11.185,0.0026082052789604404
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy,mean,30.73079825764081,29.074,1.6567982576408085
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy,std,2.7357018882072803,2.63,0.10570188820728044
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy,p25,29.056796173942164,27.402,1.654796173942163
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy,median,31.031185516916366,28.91,2.1211855169163663
proxy|drop_any_short|1500|floor50|none|original_section,Redundancy,p75,32.21711076387844,30.795,1.422110763878436
proxy|drop_short_tail|1500|floor50|none|original_section,Chunk_num,mean,18.987562189054728,18.191,0.796562189054729
proxy|drop_short_tail|1500|floor50|none|original_section,Chunk_num,std,7.376030280053572,6.983,0.39303028005357277
proxy|drop_short_tail|1500|floor50|none|original_section,Chunk_num,p25,14.0,13.0,1.0
proxy|drop_short_tail|1500|floor50|none|original_section,Chunk_num,median,17.0,16.0,1.0
proxy|drop_short_tail|1500|floor50|none|original_section,Chunk_num,p75,23.0,22.0,1.0
proxy|drop_short_tail|1500|floor50|none|original_section,Text_len,mean,3861.0037313432836,3866.817,-5.8132686567164455
proxy|drop_short_tail|1500|floor50|none|original_section,Text_len,std,324.1853185803931,343.868,-19.682681419606922
proxy|drop_short_tail|1500|floor50|none|original_section,Text_len,p25,3891.75,3888.0,3.75
proxy|drop_short_tail|1500|floor50|none|original_section,Text_len,median,3966.0,3954.0,12.0
proxy|drop_short_tail|1500|floor50|none|original_section,Text_len,p75,3989.0,3985.0,4.0
proxy|drop_short_tail|1500|floor50|none|original_section,Summary_len,mean,125.5136815920398,132.678,-7.164318407960195
proxy|drop_short_tail|1500|floor50|none|original_section,Summary_len,std,41.41192471644379,39.683,1.7289247164437924
proxy|drop_short_tail|1500|floor50|none|original_section,Summary_len,p25,102.75,105.0,-2.25
proxy|drop_short_tail|1500|floor50|none|original_section,Summary_len,median,120.0,130.0,-10.0
proxy|drop_short_tail|1500|floor50|none|original_section,Summary_len,p75,142.0,158.0,-16.0
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy_chunk,mean,33.6959513152625,32.176,1.519951315262496
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy_chunk,std,11.053858382318992,11.73,-0.676141617681008
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy_chunk,p25,27.18738077769626,24.356,2.831380777696257
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy_chunk,median,32.457150473144075,29.739,2.7181504731440747
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy_chunk,p75,37.711383268924756,37.037,0.6743832689247569
proxy|drop_short_tail|1500|floor50|none|original_section,lnN_tech,mean,10.927058231808044,10.962,-0.03494176819195616
proxy|drop_short_tail|1500|floor50|none|original_section,lnN_tech,std,0.5451209233575225,0.35,0.1951209233575225
proxy|drop_short_tail|1500|floor50|none|original_section,lnN_tech,p25,10.76794748729387,10.714,0.05394748729387011
proxy|drop_short_tail|1500|floor50|none|original_section,lnN_tech,median,11.002859972278742,10.91,0.09285997227874176
proxy|drop_short_tail|1500|floor50|none|original_section,lnN_tech,p75,11.187608205278961,11.185,0.0026082052789604404
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy,mean,30.73079825764081,29.074,1.6567982576408085
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy,std,2.7357018882072803,2.63,0.10570188820728044
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy,p25,29.056796173942164,27.402,1.654796173942163
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy,median,31.031185516916366,28.91,2.1211855169163663
proxy|drop_short_tail|1500|floor50|none|original_section,Redundancy,p75,32.21711076387844,30.795,1.422110763878436
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Chunk_num,mean,18.987562189054728,18.191,0.796562189054729
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Chunk_num,std,7.376030280053572,6.983,0.39303028005357277
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Chunk_num,p25,14.0,13.0,1.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Chunk_num,median,17.0,16.0,1.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Chunk_num,p75,23.0,22.0,1.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Text_len,mean,3877.7375621890546,3866.817,10.920562189054635
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Text_len,std,352.31187295163966,343.868,8.443872951639662
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Text_len,p25,3892.0,3888.0,4.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Text_len,median,3967.0,3954.0,13.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Text_len,p75,3990.0,3985.0,5.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Summary_len,mean,127.34203980099502,132.678,-5.3359601990049725
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Summary_len,std,44.31868260355308,39.683,4.635682603553079
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Summary_len,p25,103.0,105.0,-2.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Summary_len,median,121.0,130.0,-9.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Summary_len,p75,143.0,158.0,-15.0
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy_chunk,mean,33.51756606621987,32.176,1.341566066219869
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy_chunk,std,11.121399689608955,11.73,-0.6086003103910453
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy_chunk,p25,26.769449806949808,24.356,2.4134498069498065
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy_chunk,median,32.11290322580645,29.739,2.3739032258064476
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy_chunk,p75,37.67067532224921,37.037,0.6336753222492106
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,lnN_tech,mean,10.92696576782062,10.962,-0.03503423217937929
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,lnN_tech,std,0.5451088963306822,0.35,0.19510889633068218
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,lnN_tech,p25,10.767869339170002,10.714,0.05386933917000114
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,lnN_tech,median,11.002759490042893,10.91,0.09275949004289252
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,lnN_tech,p75,11.187490641631266,11.185,0.0024906416312653334
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy,mean,30.215033226938154,29.074,1.141033226938152
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy,std,2.9739550197422977,2.63,0.3439550197422978
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy,p25,28.244589554488424,27.402,0.8425895544884234
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy,median,30.729144158750998,28.91,1.8191441587509978
proxy|merge_short_tail|1500|floor50|none|processed_text_sum,Redundancy,p75,32.11852463726993,30.795,1.3235246372699265
proxy|merge_short_tail|1500|floor50|none|original_section,Chunk_num,mean,18.987562189054728,18.191,0.796562189054729
proxy|merge_short_tail|1500|floor50|none|original_section,Chunk_num,std,7.376030280053572,6.983,0.39303028005357277
proxy|merge_short_tail|1500|floor50|none|original_section,Chunk_num,p25,14.0,13.0,1.0
proxy|merge_short_tail|1500|floor50|none|original_section,Chunk_num,median,17.0,16.0,1.0
proxy|merge_short_tail|1500|floor50|none|original_section,Chunk_num,p75,23.0,22.0,1.0
proxy|merge_short_tail|1500|floor50|none|original_section,Text_len,mean,3877.7375621890546,3866.817,10.920562189054635
proxy|merge_short_tail|1500|floor50|none|original_section,Text_len,std,352.31187295163966,343.868,8.443872951639662
proxy|merge_short_tail|1500|floor50|none|original_section,Text_len,p25,3892.0,3888.0,4.0
proxy|merge_short_tail|1500|floor50|none|original_section,Text_len,median,3967.0,3954.0,13.0
proxy|merge_short_tail|1500|floor50|none|original_section,Text_len,p75,3990.0,3985.0,5.0
proxy|merge_short_tail|1500|floor50|none|original_section,Summary_len,mean,127.34203980099502,132.678,-5.3359601990049725
proxy|merge_short_tail|1500|floor50|none|original_section,Summary_len,std,44.31868260355308,39.683,4.635682603553079
proxy|merge_short_tail|1500|floor50|none|original_section,Summary_len,p25,103.0,105.0,-2.0
proxy|merge_short_tail|1500|floor50|none|original_section,Summary_len,median,121.0,130.0,-9.0
proxy|merge_short_tail|1500|floor50|none|original_section,Summary_len,p75,143.0,158.0,-15.0
