chunk_n,firm_n,loss_all,chunk_Chunk_num,chunk_Text_len,chunk_Summary_len,chunk_Redundancy_chunk,firm_lnN_tech,firm_Redundancy,Chunk_num_mean,Chunk_num_std,Chunk_num_p25,Chunk_num_median,Chunk_num_p75,Chunk_num_min,Chunk_num_max,Text_len_mean,Text_len_std,Text_len_p25,Text_len_median,Text_len_p75,Text_len_min,Text_len_max,Summary_len_mean,Summary_len_std,Summary_len_p25,Summary_len_median,Summary_len_p75,Summary_len_min,Summary_len_max,Redundancy_chunk_mean,Redundancy_chunk_std,Redundancy_chunk_p25,Redundancy_chunk_median,Redundancy_chunk_p75,Redundancy_chunk_min,Redundancy_chunk_max,lnN_tech_mean,lnN_tech_std,lnN_tech_p25,lnN_tech_median,lnN_tech_p75,lnN_tech_min,lnN_tech_max,Redundancy_mean,Redundancy_std,Redundancy_p25,Redundancy_median,Redundancy_p75,Redundancy_min,Redundancy_max,key,unit,process,threshold,summary_floor,red_winsor,firm_len_mode
794,50,0.06043254888569554,0.04350595542721959,0.008777963373777387,0.07316075801025732,0.060934181894194396,0.11488056421741732,0.0613358703913072,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,128.94584382871537,46.06356526035653,103.0,121.0,144.0,50.0,500.0,33.62931846924585,11.067870060007916,26.939564564564566,32.11290322580645,37.67240332523818,7.984,79.92,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,30.215033226938154,2.9739550197422977,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,36.13526301141108,proxy|merge_short_tail|2000|floor50|none|processed_text_sum,proxy,merge_short_tail,2000,50,none,processed_text_sum
794,50,0.06045341875666001,0.04350595542721959,0.008777963373777387,0.07316075801025732,0.060934181894194396,0.11489115280394317,0.06145050103056813,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,128.94584382871537,46.06356526035653,103.0,121.0,144.0,50.0,500.0,33.62931846924585,11.067870060007916,26.939564564564566,32.11290322580645,37.67240332523818,7.984,79.92,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.21785443221641,2.9745368053902985,28.24715394400885,30.731327696797614,32.12116665572242,22.35820895522388,36.14110770943501,proxy|merge_short_tail|2000|floor50|none|original_section,proxy,merge_short_tail,2000,50,none,original_section
794,50,0.06078404793121048,0.04350595542721959,0.008777963373777387,0.07316075801025732,0.06304317616728403,0.11488056421741732,0.0613358703913072,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,128.94584382871537,46.06356526035653,103.0,121.0,144.0,50.0,500.0,33.59540962349093,10.931815824089082,26.939564564564566,32.11290322580645,37.67240332523818,7.984,75.95204705882338,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,30.215033226938154,2.9739550197422977,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,36.13526301141108,proxy|merge_short_tail|2000|floor50|0.99|processed_text_sum,proxy,merge_short_tail,2000,50,0.99,processed_text_sum
794,50,0.060804917802174945,0.04350595542721959,0.008777963373777387,0.07316075801025732,0.06304317616728403,0.11489115280394317,0.06145050103056813,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,128.94584382871537,46.06356526035653,103.0,121.0,144.0,50.0,500.0,33.59540962349093,10.931815824089082,26.939564564564566,32.11290322580645,37.67240332523818,7.984,75.95204705882338,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.21785443221641,2.9745368053902985,28.24715394400885,30.731327696797614,32.12116665572242,22.35820895522388,36.14110770943501,proxy|merge_short_tail|2000|floor50|0.99|original_section,proxy,merge_short_tail,2000,50,0.99,original_section
804,50,0.0609397477320812,0.056990060339389935,0.012749121145752579,0.05943673115622818,0.0661478276368275,0.11489115280394317,0.05542359331034581,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,3861.0037313432836,324.1853185803931,3891.75,3966.0,3989.0,1511.0,3999.0,125.5136815920398,41.41192471644379,102.75,120.0,142.0,50.0,500.0,33.6959513152625,11.053858382318992,27.18738077769626,32.457150473144075,37.711383268924756,7.984,79.92,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.73079825764081,2.7357018882072803,29.056796173942164,31.031185516916366,32.21711076387844,24.98867924528302,37.02737382378101,proxy|drop_any_short|1500|floor50|none|original_section,proxy,drop_any_short,1500,50,none,original_section
804,50,0.0609397477320812,0.056990060339389935,0.012749121145752579,0.05943673115622818,0.0661478276368275,0.11489115280394317,0.05542359331034581,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,3861.0037313432836,324.1853185803931,3891.75,3966.0,3989.0,1511.0,3999.0,125.5136815920398,41.41192471644379,102.75,120.0,142.0,50.0,500.0,33.6959513152625,11.053858382318992,27.18738077769626,32.457150473144075,37.711383268924756,7.984,79.92,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.73079825764081,2.7357018882072803,29.056796173942164,31.031185516916366,32.21711076387844,24.98867924528302,37.02737382378101,proxy|drop_short_tail|1500|floor50|none|original_section,proxy,drop_short_tail,1500,50,none,original_section
804,50,0.06096123163823906,0.056990060339389935,0.006590211969955515,0.06805006270541832,0.05792062020594604,0.11488056421741732,0.0613358703913072,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,3877.7375621890546,352.31187295163966,3892.0,3967.0,3990.0,1511.0,5363.0,127.34203980099502,44.31868260355308,103.0,121.0,143.0,50.0,500.0,33.51756606621987,11.121399689608955,26.769449806949808,32.11290322580645,37.67067532224921,7.984,79.92,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,30.215033226938154,2.9739550197422977,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,36.13526301141108,proxy|merge_short_tail|1500|floor50|none|processed_text_sum,proxy,merge_short_tail,1500,50,none,processed_text_sum
804,50,0.060982101509203517,0.056990060339389935,0.006590211969955515,0.06805006270541832,0.05792062020594604,0.11489115280394317,0.06145050103056813,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,3877.7375621890546,352.31187295163966,3892.0,3967.0,3990.0,1511.0,5363.0,127.34203980099502,44.31868260355308,103.0,121.0,143.0,50.0,500.0,33.51756606621987,11.121399689608955,26.769449806949808,32.11290322580645,37.67067532224921,7.984,79.92,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.21785443221641,2.9745368053902985,28.24715394400885,30.731327696797614,32.12116665572242,22.35820895522388,36.14110770943501,proxy|merge_short_tail|1500|floor50|none|original_section,proxy,merge_short_tail,1500,50,none,original_section
804,50,0.06130260929341376,0.056990060339389935,0.012749121145752579,0.05943673115622818,0.06832499700482289,0.11489115280394317,0.05542359331034581,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,3861.0037313432836,324.1853185803931,3891.75,3966.0,3989.0,1511.0,3999.0,125.5136815920398,41.41192471644379,102.75,120.0,142.0,50.0,500.0,33.66087243202423,10.913379131221191,27.18738077769626,32.457150473144075,37.711383268924756,7.984,75.79338882722901,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.73079825764081,2.7357018882072803,29.056796173942164,31.031185516916366,32.21711076387844,24.98867924528302,37.02737382378101,proxy|drop_any_short|1500|floor50|0.99|original_section,proxy,drop_any_short,1500,50,0.99,original_section
804,50,0.06130260929341376,0.056990060339389935,0.012749121145752579,0.05943673115622818,0.06832499700482289,0.11489115280394317,0.05542359331034581,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,3861.0037313432836,324.1853185803931,3891.75,3966.0,3989.0,1511.0,3999.0,125.5136815920398,41.41192471644379,102.75,120.0,142.0,50.0,500.0,33.66087243202423,10.913379131221191,27.18738077769626,32.457150473144075,37.711383268924756,7.984,75.79338882722901,10.927058231808044,0.5451209233575225,10.76794748729387,11.002859972278742,11.187608205278961,8.798152718107191,11.83570437445944,30.73079825764081,2.7357018882072803,29.056796173942164,31.031185516916366,32.21711076387844,24.98867924528302,37.02737382378101,proxy|drop_short_tail|1500|floor50|0.99|original_section,proxy,drop_short_tail,1500,50,0.99,original_section
