code,sec_name,first_trade_date,listing_year,FInvention,BHAR,FSales_Growth
688055,龙腾光电,2020-08-17,2020,5.049856007249537,-0.1971484856749752,0.3081267534214826
688229,博睿数据,2020-08-17,2020,0.6931471805599453,-0.4084564158261828,-0.0412893189254311
688335,复洁环保,2020-08-17,2020,0.0,-0.410365293139357,-0.1669501960452122
688519,南亚新材,2020-08-18,2020,2.1972245773362196,-0.1242182608558526,0.983852762388986
688521,芯原股份,2020-08-18,2020,3.332204510175204,-0.3757923540522123,0.4204058127965931
688379,华光新材,2020-08-19,2020,1.6094379124341005,-0.4378795113565467,0.4075177882307557
688393,安必平,2020-08-20,2020,0.0,-0.4238369121335456,0.1692864317663066
688596,正帆科技,2020-08-20,2020,0.0,-0.2097926578899411,0.6562565132773179
688356,键凯科技,2020-08-26,2020,2.5649493574615367,0.7971940489232778,0.8818220768803406
688017,绿的谐波,2020-08-28,2020,1.3862943611198906,1.8113363493573809,1.0476979329903622
688215,瑞晟智能,2020-08-28,2020,2.1972245773362196,-0.529203042471983,0.4979142123900196
688289,圣湘生物,2020-08-28,2020,1.6094379124341005,-0.4097521372679014,-0.0521575728690357
688408,中信博,2020-08-28,2020,2.4849066497880004,1.3414950640257004,-0.227975715280321
688569,铁科轨道,2020-08-31,2020,2.0794415416798357,-0.4305552516496408,0.0986437946540737
688056,莱伯泰科,2020-09-02,2020,0.6931471805599453,0.1782260520872349,0.0580974939824462
688513,苑东生物,2020-09-02,2020,2.0794415416798357,-0.3668119234961856,0.109572719092522
688550,瑞联新材,2020-09-02,2020,2.8903717578961645,-0.1381153051771488,0.4534700874352661
688378,奥来德,2020-09-03,2020,2.772588722239781,-0.2476071393786871,0.4317292598450133
688390,固德威,2020-09-04,2020,2.6390573296152584,1.4831842568810414,0.6853191264230634
688095,福昕软件,2020-09-08,2020,1.0986122886681098,-0.4442003236436029,0.1547518920015702
