metric,glm_mean,codex_mean,paper_mean,glm_median,codex_median
Summary_len_proxy,120.95483870967742,130.56774193548387,132.678,118.0,130.0
Redundancy_chunk_proxy,32.98163166891037,30.01075816080929,32.176,32.31967213114754,
Relevant_score,2.0480479944093535,2.2553177619330476,,1.761904761904762,2.2917130144605116
