sec_code,sec_name,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4
688349,三一重能,35,129834,3546,4147,2.391803643381553,75.14540291872173,69.25377054583231,2022-06-17,35,129855,11.774173722317984,36.61421319796954,31.30793344586448
688343,云天励飞,25,96271,2646,2973,2.468895510600814,61.23224048083278,52.86216665378755,2023-03-30,25,96284,11.475057436526333,36.383597883597886,32.381769256643125
688105,诺唯赞,18,66099,1823,2087,2.0602723704921404,42.700801803070334,37.13364066484917,2021-11-09,18,66108,11.099045047260717,36.25836533187054,31.671777671298514
688293,奥浦迈,11,42857,1252,1425,1.7423889276343594,38.22363114177141,33.57023439330712,2022-08-30,11,42861,10.665717600533268,34.230830670926515,30.075087719298246
688070,纵横股份,20,78149,2297,2576,1.9580383236834848,35.41515741494843,31.492201562675753,2021-02-04,20,78154,11.266436518161028,34.02220287331302,30.337344720496894
688685,迈信林,12,44855,1327,1519,2.083325321643619,35.95001605220251,31.354943339516907,2021-05-07,12,44859,10.711279516251953,33.80180859080633,29.529295589203425
688336,三生国健,36,138081,4111,4939,1.769163058799478,37.20188227697794,31.50587834185021,2020-07-17,36,138096,11.83570437445944,33.588178058866454,27.9572788013768
688720,艾森股份,13,50266,1531,1864,1.9496322099920116,34.350596451128844,28.456824361196762,2023-12-01,13,50272,10.825203541055348,32.83213585891574,26.966738197424892
688433,华曙高科,12,45357,1383,1569,2.1980742960376127,33.21709843619002,29.435750655515978,2023-04-11,12,45362,10.722430029140382,32.79609544468546,28.908221797323137
688469,中芯集成,11,40753,1250,1453,2.1261891695677773,35.11522579463813,30.423512546820618,2023-05-05,11,40759,10.615431953178978,32.6024,28.0474879559532
688133,泰坦科技,14,51860,1602,1738,1.8969086918872393,34.642565203893255,31.615648823844726,2020-10-26,14,51868,10.856457308668775,32.37203495630462,29.838895281933258
688099,晶晨股份,10,37830,1172,1324,1.7866387056614759,33.58482393204582,29.76400331509479,2019-08-02,10,37833,10.540937016623984,32.27815699658703,28.57250755287009
688150,莱特光电,16,62027,1922,2234,2.2111177544933303,33.77267455853144,29.33523068674012,2022-03-14,16,62032,11.03540565991071,32.272112382934445,27.764995523724263
688073,毕得医药,18,68729,2171,2608,1.9171158685344065,32.55509331556664,27.017778513834976,2022-09-29,18,68735,11.138013809905521,31.65776140027637,26.353144171779142
688234,天岳先进,9,34804,1100,1329,2.0456697126051964,32.360101427946205,26.78529748088131,2022-01-07,9,34806,10.45754506469412,31.64,26.18811136192626
688786,悦安新材,15,56794,1799,2211,1.9662946782290405,33.896302543893896,28.1087335203264,2021-08-20,15,56799,10.947273998920458,31.56976097832129,25.687019448213476
688081,兴图新科,18,70886,2246,2581,2.0738484146656444,34.043729376206976,29.059561088804532,2019-12-30,18,70893,11.168926977039543,31.56099732858415,27.464548624564124
688288,鸿泉物联,20,75718,2411,2760,1.9583056983096712,31.758006110786603,27.763361972122368,2019-10-31,20,75723,11.234837224189768,31.405226047283286,27.434057971014493
688098,申联生物,14,52823,1689,2071,2.099637483825272,32.339158480791845,26.539091041182907,2019-10-22,14,52829,10.874815561340181,31.274718768502073,25.506035731530663
688375,国博电子,12,46574,1492,1687,1.8248860187588403,32.86120771169495,29.071325104072358,2022-07-15,12,46577,10.748862136040046,31.215817694369974,27.607587433313576
688216,气派科技,19,72672,2330,2704,2.2614322073575046,34.01640835312061,29.205523874466632,2021-06-17,19,72681,11.193835281358767,31.18969957081545,26.875739644970412
688799,华纳药厂,31,118409,3805,4769,1.8792588471153464,34.96189732828513,28.545431023968835,2021-07-07,31,118421,11.68200135056962,31.119316688567675,24.828894946529672
688157,松井股份,18,69661,2249,2619,2.0573033753040426,32.88773481664556,28.65322352270103,2020-06-02,18,69664,11.151438964034273,30.97421076033793,26.59831996945399
688621,阳光诺和,14,51664,1678,1924,1.6005447609151187,31.363056932965645,27.33889131642619,2021-06-16,14,51669,10.852613267503855,30.789034564958282,26.85239085239085
688301,奕瑞科技,12,45330,1475,1698,2.1936179915514593,32.47303850539613,28.755314734860434,2020-09-11,12,45333,10.72179052308187,30.73220338983051,26.69611307420495
688218,江苏北人,17,65846,2143,2362,2.12100670246215,31.44334704298279,28.71836135182734,2019-12-03,17,65851,11.095149893084974,30.72608492767149,27.87722269263336
688719,爱科赛博,16,61177,2001,2160,1.90088371632796,31.875075893514413,29.721084814778163,2023-09-22,16,61181,11.021591962782166,30.573213393303348,28.322685185185186
688159,有方科技,24,90277,2962,3316,2.29967568325466,31.396646031415386,28.220391315602445,2020-01-20,24,90283,11.410704460330631,30.478392977717757,27.224668275030158
688667,菱电电控,16,61271,2011,2298,2.0559191237220573,31.166641209367626,27.339158932355772,2021-03-05,16,61276,11.023143528132588,30.467926404773745,26.662750217580506
688036,传音控股,24,89683,2953,3357,2.3328998856792635,32.92555579723406,28.983036177801964,2019-09-25,24,89692,11.404136857893421,30.37013206908229,26.715221924337207
688221,前沿生物,20,76846,2540,3005,1.5511215158795804,32.296104986284426,27.48043332416977,2020-10-22,20,76853,11.249649785290046,30.254330708661417,25.572712146422628
688038,中科通达,16,61022,2043,2227,2.0379913678723685,31.0824180137466,28.370466836332252,2021-07-07,16,61026,11.019055281853651,29.868820362212432,27.400987876066456
688472,阿特斯,14,53999,1835,2133,1.6402099728780402,32.479255798587005,28.190828457142494,2023-06-06,14,54002,10.896776361897594,29.42724795640327,25.315986872948898
688313,仕佳光子,16,62999,2158,2588,2.298276956391876,32.555129038593016,27.321713697167286,2020-08-06,16,63006,11.050985238934048,29.193234476367007,24.34273570324575
688486,龙迅股份,18,65780,2259,2531,2.3998440196468867,40.676483373885034,37.34736751101974,2023-02-14,18,65785,11.094147127799939,29.119079238601152,25.989727380482023
688128,中国电器,34,129845,4525,5026,1.9830452917468973,33.596413643639636,30.470150754378924,2019-10-31,34,129860,11.774212226062478,28.695027624309393,25.834659769200158
688311,盟升电子,17,63238,2232,2550,2.2350519198133423,29.65849450960593,25.827859595489056,2020-07-28,17,63244,11.054755540430035,28.33243727598566,24.79921568627451
688206,概伦电子,9,33548,1189,1391,1.853403441465574,28.898126959066726,25.050916260383342,2021-12-22,9,33551,10.420821948214945,28.215306980656013,24.117900790797986
688118,普元信息,16,59073,2129,2209,2.3225089482649968,28.456372372983292,27.382602230109118,2019-11-28,16,59081,10.98666466270383,27.746829497416627,26.741964689904933
688283,坤恒顺维,13,50746,1837,2104,2.245004506961463,30.33379756413706,26.699661427516823,2022-02-10,13,50750,10.834666896904034,27.624387588459445,24.118821292775664
688693,锴威特,13,50351,1854,2275,1.9093254473217252,28.63802170333018,23.71479366721885,2023-08-14,13,50357,10.82689291529569,27.158036677454152,22.13230769230769
688078,龙软科技,22,84630,3122,3335,2.197006629325792,29.530651141741966,27.321169932779846,2019-12-24,22,84644,11.346209504954661,27.10762331838565,25.37631184407796
688678,福立旺,6,21320,794,937,2.1978778070367935,27.4188552368379,23.584991137620793,2020-12-17,6,21322,9.96749468251042,26.851385390428213,22.753468516542156
688548,广钢气体,9,34192,1280,1547,1.9701363998407007,27.505895803337733,23.180288753190865,2023-08-10,9,34193,10.439776223738649,26.7125,22.10213316095669
688123,聚辰股份,19,72690,2732,3049,1.9892471420357951,32.57961288746578,29.453629310349744,2019-12-18,19,72696,11.194041641375183,26.60688140556369,23.84060347654969
688172,燕东微,13,50643,1959,2293,1.9962559248070129,28.380244026993545,24.575209335737455,2022-12-13,13,50646,10.832615533211776,25.85145482388974,22.08591365023986
