metric,glm_mean,codex_mean,paper_mean,glm_median,codex_median
Summary_len_proxy,124.32521315468941,130.6760048721072,132.678,120.0,131.0
Redundancy_chunk_proxy,35.73109549916916,30.837271599233507,32.176,31.992,
Relevant_score,2.074484975829873,2.326939897311813,,1.803225806451613,2.3626373626373627
