sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy
688685,迈信林,1209935660,迈信林首次公开发行股票并在科创板上市招股说明书,2021-05-07,final_prospectus,ok,69770,12,12,12,69770,2647,44855,1327,666,64,167,0.2477435700178426,-8.583333333333334,2.083325321643619,129,162,109,99,138,29,True,token_proxy,33.80180859080633,33.80180859080633
688621,阳光诺和,1210239031,阳光诺和首次公开发行股票并在科创板上市招股说明书,2021-06-16,final_prospectus,ok,83713,14,14,14,83713,3350,51664,1678,720,72,100,0.16876623409220318,-2.0,1.6005447609151187,214,212,108,86,80,20,True,token_proxy,30.789034564958282,30.789034564958282
688786,悦安新材,1210794328,悦安新材首次公开发行股票并在科创板上市招股说明书,2021-08-20,final_prospectus,ok,83723,15,15,15,83723,3588,56794,1799,852,74,138,0.19553023690087745,-4.266666666666667,1.9662946782290405,194,206,134,132,99,39,True,token_proxy,31.56976097832129,31.56976097832129
688038,中科通达,1210429108,中科通达首次公开发行股票并在科创板上市招股说明书,2021-07-07,final_prospectus,ok,98758,16,16,16,98758,4076,61022,2043,954,83,277,0.26481855043888197,-12.125,2.0379913678723685,210,195,156,116,236,41,True,token_proxy,29.868820362212432,29.868820362212432
688667,菱电电控,1209338347,菱电电控首次公开发行股票并在科创板上市招股说明书,2021-03-05,final_prospectus,ok,95076,16,16,16,95076,4016,61271,2011,865,87,185,0.24937008544521305,-6.125,2.0559191237220573,173,233,141,133,134,51,True,token_proxy,30.467926404773745,30.467926404773745
688105,诺唯赞,1211530535,诺唯赞首次公开发行股票并在科创板上市招股说明书,2021-11-09,final_prospectus,ok,101219,18,18,18,101219,3636,66099,1823,983,82,239,0.2680684686626961,-8.722222222222221,2.0602723704921404,207,219,131,187,216,23,True,token_proxy,36.25836533187054,36.25836533187054
688216,气派科技,1210253691,气派科技首次公开发行股票并在科创板上市招股说明书,2021-06-17,final_prospectus,ok,108284,19,19,19,108284,4650,72672,2330,1065,99,334,0.31526891596225104,-12.368421052631579,2.2614322073575046,204,229,138,160,276,58,True,token_proxy,31.18969957081545,31.18969957081545
688070,纵横股份,1209239096,纵横股份首次公开发行股票并在科创板上市招股说明书,2021-02-04,final_prospectus,ok,124251,20,20,20,124251,4583,78149,2297,1177,106,162,0.1747808105872622,-2.8,1.9580383236834848,221,298,224,272,122,40,True,token_proxy,34.02220287331302,34.02220287331302
688799,华纳药厂,1210429118,华纳药厂首次公开发行股票并在科创板上市招股说明书,2021-07-07,final_prospectus,ok,169731,31,31,31,169731,7592,118409,3805,1781,133,241,0.15408472347945332,-3.4838709677419355,1.8792588471153464,325,453,255,243,187,54,True,token_proxy,31.119316688567675,31.119316688567675
688376,美埃科技,1215099200,美埃科技首次公开发行股票并在科创板上市招股说明书,2022-11-14,final_prospectus,ok,11003,2,2,2,11003,528,6622,265,122,13,17,0.13844086021505375,-2.0,1.8013440860215053,25,30,30,20,14,3,True,token_proxy,24.98867924528302,24.98867924528302
688234,天岳先进,1212110958,天岳先进首次公开发行股票并在科创板上市招股说明书,2022-01-07,final_prospectus,ok,52596,9,9,9,52596,2196,34804,1100,464,50,104,0.21234613488197718,-6.0,2.0456697126051964,87,111,86,76,59,45,True,token_proxy,31.64,31.64
688293,奥浦迈,1214449566,奥浦迈首次公开发行股票并在科创板上市招股说明书,2022-08-30,final_prospectus,ok,66142,11,11,11,66142,2497,42857,1252,681,52,145,0.19673949712116637,-8.454545454545455,1.7423889276343594,181,172,102,81,127,18,True,token_proxy,34.230830670926515,34.230830670926515
688375,国博电子,1214044112,国博电子首次公开发行股票并在科创板上市招股说明书,2022-07-15,final_prospectus,ok,72131,12,12,12,72131,2980,46574,1492,684,61,134,0.19627206934052502,-6.083333333333333,1.8248860187588403,199,141,106,104,93,41,True,token_proxy,31.215817694369974,31.215817694369974
688172,燕东微,1215333346,燕东微首次公开发行股票并在科创板上市招股说明书,2022-12-13,final_prospectus,ok,76063,13,13,13,76063,3908,50643,1959,690,72,138,0.2325819801101726,-5.076923076923077,1.9962559248070129,166,166,103,117,103,35,True,token_proxy,25.85145482388974,25.85145482388974
688283,坤恒顺维,1212332787,坤恒顺维首次公开发行股票并在科创板上市招股说明书,2022-02-10,final_prospectus,ok,78056,13,13,13,78056,3667,50746,1837,664,72,132,0.28857113956984126,-4.615384615384615,2.245004506961463,118,169,131,114,99,33,True,token_proxy,27.624387588459445,27.624387588459445
688392,骄成超声,1214636269,骄成超声首次公开发行股票并在科创板上市招股说明书,2022-09-21,final_prospectus,ok,91924,15,15,15,91924,4404,56665,2206,781,86,149,0.20473995259226757,-4.2,2.099291399454139,128,194,160,150,110,39,True,token_proxy,25.686763372620128,25.686763372620128
688150,莱特光电,1212557851,莱特光电首次公开发行股票并在科创板上市招股说明书,2022-03-14,final_prospectus,ok,94009,16,16,16,94009,3838,62027,1922,893,86,237,0.279065516803132,-9.4375,2.2111177544933307,163,196,148,149,168,69,True,token_proxy,32.272112382934445,32.272112382934445
688073,毕得医药,1214704181,毕得医药首次公开发行股票并在科创板上市招股说明书,2022-09-29,final_prospectus,ok,108764,18,18,18,108764,4332,68729,2171,999,96,167,0.17489902868632504,-3.9444444444444446,1.9171158685344065,189,286,200,157,115,52,True,token_proxy,31.65776140027637,31.65776140027637
688349,三一重能,1213733236,三一重能首次公开发行股票并在科创板上市招股说明书,2022-06-17,final_prospectus,ok,181382,35,35,35,181382,7073,129834,3546,2412,133,1217,0.40790482915368326,-30.97142857142857,2.391803643381553,431,305,192,146,1187,30,True,token_proxy,36.61421319796954,36.61421319796954
688450,光格科技,1217323906,光格科技首次公开发行股票并在科创板上市招股说明书,2023-07-19,final_prospectus,ok,15287,3,3,3,15287,802,8987,402,152,17,22,0.15735294117647058,-1.6666666666666667,1.8936274509803923,26,38,37,29,18,4,True,token_proxy,22.355721393034827,22.355721393034827
688548,广钢气体,1217501793,广钢气体首次公开发行股票并在科创板上市招股说明书,2023-08-10,final_prospectus,ok,53128,9,9,9,53128,2557,34192,1280,516,55,96,0.18126244524093985,-4.555555555555555,1.9701363998407007,94,129,105,92,68,28,True,token_proxy,26.7125,26.7125
688469,中芯集成,1216748225,中芯集成首次公开发行股票并在科创板上市招股说明书,2023-05-05,final_prospectus,ok,62414,11,11,11,62414,2496,40753,1250,678,51,261,0.29308313754408827,-19.09090909090909,2.1261891695677773,107,142,91,77,243,18,True,token_proxy,32.6024,32.6024
688433,华曙高科,1216371320,华曙高科首次公开发行股票并在科创板上市招股说明书,2023-04-11,final_prospectus,ok,69366,12,12,12,69366,2758,45357,1383,679,66,164,0.27720957872515156,-8.166666666666666,2.1980742960376127,120,176,118,101,104,60,True,token_proxy,32.79609544468546,32.79609544468546
688720,艾森股份,1218484952,艾森股份首次公开发行股票并在科创板上市招股说明书,2023-12-01,final_prospectus,ok,74471,13,13,13,74471,3056,50266,1531,701,71,127,0.21924535807910497,-4.3076923076923075,1.9496322099920116,160,183,128,103,92,35,True,token_proxy,32.83213585891574,32.83213585891574
688693,锴威特,1217524556,锴威特首次公开发行股票并在科创板上市招股说明书,2023-08-14,final_prospectus,ok,75503,13,13,13,75503,3702,50351,1854,698,71,122,0.20146797876326414,-3.923076923076923,1.9093254473217252,148,185,137,106,95,27,True,token_proxy,27.158036677454152,27.158036677454152
688472,阿特斯,1216994275,阿特斯首次公开发行股票并在科创板上市招股说明书,2023-06-06,final_prospectus,ok,83456,14,14,14,83456,3664,53999,1835,738,77,94,0.17678679894897026,-1.2142857142857142,1.6402099728780402,236,203,118,87,73,21,True,token_proxy,29.42724795640327,29.42724795640327
688719,爱科赛博,1217918490,爱科赛博首次公开发行股票并在科创板上市招股说明书,2023-09-22,final_prospectus,ok,97903,16,16,16,97903,3992,61177,2001,892,88,149,0.19485852152008992,-3.8125,1.90088371632796,196,243,168,136,102,47,True,token_proxy,30.573213393303348,30.573213393303348
688486,龙迅股份,1215857090,龙迅股份首次公开发行股票并在科创板上市招股说明书,2023-02-14,final_prospectus,ok,100604,18,18,18,100604,4510,65780,2259,1086,76,543,0.42463742864728526,-25.944444444444443,2.3998440196468867,216,134,104,89,494,49,True,token_proxy,29.119079238601152,29.119079238601152
688343,云天励飞,1216260511,云天励飞首次公开发行股票并在科创板上市招股说明书,2023-03-30,final_prospectus,ok,134608,25,25,25,134608,5276,96271,2646,1884,92,968,0.4674009851863776,-35.04,2.468895510600814,427,238,145,106,942,26,True,token_proxy,36.383597883597886,36.383597883597886
