sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,pdf_url,download_status,pdf_file,txt_file,section_status,section_file,section_start_char,section_end_char,full_text_chars,tech_text_chars,tech_text_compact_chars,chunk_count,source_run_name,section_extraction_method,ocr_pdf_start_page,ocr_pdf_end_page,ocr_dpi,source_chunk_count,token_mode,max_units,tech_text_token_proxy,chunk_count_token_proxy,source_section_file,normalization_mode,tokenizer,max_tokens,tech_text_glm4_tokens,lnN_tech_glm4,year
688678,福立旺,1208919045,首次公开发行股票并在科创板上市招股说明书,2020-12-17,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-12-17/1208919045.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/raw_pdf/2020-12-17_688678_福立旺_1208919045_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/text/2020-12-17_688678_福立旺_1208919045_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688678_1208919045_business_technology.txt,68384.0,107277.0,511277,36582,34181,6,star_batch004_20260701,,,,,10.0,glm4_dewrap_join,4000,21322,5,results/star_token_proxy_250_late50_20260702/business_technology_text/688678_1208919045_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,21322,9.96749468251042,2020
688301,奕瑞科技,1208424724,首次公开发行股票并在科创板上市招股说明书,2020-09-11,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-09-11/1208424724.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/raw_pdf/2020-09-11_688301_奕瑞科技_1208424724_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/text/2020-09-11_688301_奕瑞科技_1208424724_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688301_1208424724_business_technology.txt,113504.0,199486.0,637469,78902,72790,12,star_token_proxy_150_20260630,,,,,10.0,glm4_dewrap_join,4000,45333,10,results/star_token_proxy_250_late50_20260702/business_technology_text/688301_1208424724_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,45333,10.72179052308187,2020
688133,泰坦科技,1208611098,首次公开发行股票并在科创板上市招股说明书,2020-10-26,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-10-26/1208611098.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/raw_pdf/2020-10-26_688133_泰坦科技_1208611098_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/text/2020-10-26_688133_泰坦科技_1208611098_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688133_1208611098_business_technology.txt,88456.0,185580.0,595409,88536,81804,14,star_batch004_20260701,,,,,26.0,glm4_dewrap_join,4000,51868,11,results/star_token_proxy_250_late50_20260702/business_technology_text/688133_1208611098_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,51868,10.856457308668777,2020
688595,芯海科技,1208465054,首次公开发行股票并在科创板上市招股说明书,2020-09-22,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-09-22/1208465054.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/raw_pdf/2020-09-22_688595_芯海科技_1208465054_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/text/2020-09-22_688595_芯海科技_1208465054_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688595_1208465054_business_technology.txt,94889.0,198007.0,736307,93244,83942,16,star_batch004_20260701,,,,,28.0,glm4_dewrap_join,4000,57955,12,results/star_token_proxy_250_late50_20260702/business_technology_text/688595_1208465054_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,57955,10.967422126322845,2020
688313,仕佳光子,1208130929,首次公开发行股票并在科创板上市招股说明书,2020-08-06,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-08-06/1208130929.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/raw_pdf/2020-08-06_688313_仕佳光子_1208130929_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/text/2020-08-06_688313_仕佳光子_1208130929_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688313_1208130929_business_technology.txt,107587.0,217664.0,685842,99865,91227,16,star_token_proxy_150_20260630,,,,,12.0,glm4_dewrap_join,4000,63006,12,results/star_token_proxy_250_late50_20260702/business_technology_text/688313_1208130929_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,63006,11.050985238934048,2020
688311,盟升电子,1208080135,首次公开发行股票并在科创板上市招股说明书,2020-07-28,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-07-28/1208080135.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/raw_pdf/2020-07-28_688311_盟升电子_1208080135_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/text/2020-07-28_688311_盟升电子_1208080135_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688311_1208080135_business_technology.txt,102203.0,219504.0,690372,107496,100214,17,star_token_proxy_150_20260630,,,,,14.0,glm4_dewrap_join,4000,63244,14,results/star_token_proxy_250_late50_20260702/business_technology_text/688311_1208080135_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,63244,11.054755540430037,2020
688157,松井股份,1207885373,首次公开发行股票并在科创板上市招股说明书,2020-06-02,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-02/1207885373.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-02_688157_松井股份_1207885373_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-02_688157_松井股份_1207885373_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688157_1207885373_business_technology.txt,91006.0,216724.0,767389,111468,102540,18,star_token_proxy_150_20260630,pdftotext_regex,,,,14.0,glm4_dewrap_join,4000,69664,14,results/star_token_proxy_250_late50_20260702/business_technology_text/688157_1207885373_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,69664,11.151438964034272,2020
688221,前沿生物,1208597778,首次公开发行股票并在科创板上市招股说明书,2020-10-22,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-10-22/1208597778.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/raw_pdf/2020-10-22_688221_前沿生物_1208597778_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch004_20260701/text/2020-10-22_688221_前沿生物_1208597778_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688221_1208597778_business_technology.txt,144277.0,284223.0,771451,128101,117790,20,star_batch004_20260701,,,,,37.0,glm4_dewrap_join,4000,76853,16,results/star_token_proxy_250_late50_20260702/business_technology_text/688221_1208597778_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,76853,11.249649785290046,2020
688159,有方科技,1207265383,首次公开发行股票并在科创板上市招股说明书,2020-01-20,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-01-20/1207265383.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-01-20_688159_有方科技_1207265383_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-01-20_688159_有方科技_1207265383_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688159_1207265383_business_technology.txt,123681.0,290990.0,797137,152541,139941,24,star_token_proxy_150_20260630,pdftotext_regex,,,,19.0,glm4_dewrap_join,4000,90283,19,results/star_token_proxy_250_late50_20260702/business_technology_text/688159_1207265383_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,90283,11.410704460330631,2020
688336,三生国健,1208040061,首次公开发行股票并在科创板上市招股说明书,2020-07-17,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-07-17/1208040061.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/raw_pdf/2020-07-17_688336_三生国健_1208040061_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch003_20260630/text/2020-07-17_688336_三生国健_1208040061_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688336_1208040061_business_technology.txt,105026.0,351829.0,930539,227280,208165,36,star_token_proxy_150_20260630,,,,,28.0,glm4_dewrap_join,4000,138096,28,results/star_token_proxy_250_late50_20260702/business_technology_text/688336_1208040061_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,138096,11.83570437445944,2020
