outcome,y_variant,dep_col,step_order,step,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,paper_coef,paper_t,paper_N,formula,error
BHAR,winsor,BHAR,1,01_x_only,471,-0.010299772738827394,0.00890634941699053,-1.1564528019952427,0.2474959944827334,0.0005277568911274955,-0.0188,-2.14,471,BHAR ~ Redundancy,
BHAR,winsor,BHAR,2,02_plus_lnn,471,-0.006943747591959634,0.00873398286285601,-0.7950264731443532,0.42659810293831313,0.009112782499995697,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech,
BHAR,winsor,BHAR,3,03_plus_year_industry_fe,471,-0.009742879558433238,0.009020599235615408,-1.0800701044301027,0.2801109633660538,0.028927988762275425,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,4,04_plus_fin_controls,471,-0.00971675412436125,0.00910021715557445,-1.0677496985233075,0.2856334336924854,0.022400965714270638,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,5,05_plus_issue_underwriter_age,471,-0.010500829786514598,0.009171564917943497,-1.1449332671647443,0.25223680200494425,0.01934351127290812,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,6,06_plus_scope_segments_paper_exact,471,-0.012021547192721558,0.009500386375175899,-1.2653745561478789,0.20573709166771936,0.027733617793601395,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,7,07_plus_rd_staff_extra_not_main,471,-0.012331003177638529,0.009501367638663709,-1.2978134987073067,0.19435142993871313,0.025970917135764715,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,1,01_x_only,471,-0.00953301104875015,0.00901796215686356,-1.0571136674702708,0.29045971428202366,7.706336327850671e-06,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy,
BHAR,raw,excl_first_BHAR_ew,2,02_plus_lnn,471,-0.0057939978111579155,0.008949606355761211,-0.647402531556943,0.5173714579228903,0.010367799424176982,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech,
BHAR,raw,excl_first_BHAR_ew,3,03_plus_year_industry_fe,471,-0.0085178316995608,0.009314542363776228,-0.9144659358345081,0.360472069184009,0.027706291235532032,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,4,04_plus_fin_controls,471,-0.008388250526965898,0.00944654748009918,-0.8879699747063388,0.37455690244332385,0.021142212124761972,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + C(listing_year_fe) + C(industry_fe),
