sample,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter_scope,FInvention,Redundancy,460,-0.03764507747420922,0.027100677001193986,-1.3890825484747364,0.16480764983070084,0.3289852230277218,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter,BHAR,Redundancy,470,0.002664248426259334,0.011897806320611744,0.22392770183557228,0.8228135600655315,-0.00449631972949649,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter_scope,BHAR,Redundancy,470,0.0027636457292664496,0.012017837085262488,0.22996198980393212,0.8181213059405006,0.004754663741239229,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter,FSales_Growth,Redundancy,467,0.017326827872308274,0.04295927958223433,0.403331434810041,0.686704419550076,0.16780581887508716,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter_scope,FSales_Growth,Redundancy,467,0.017440184891291243,0.04289662005646676,0.4065631480600089,0.6843288682338671,0.1668464292351045,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_old,FInvention,Redundancy,531,-0.04476678113471652,0.02358739549408838,-1.8979111596249045,0.057707786045803885,0.3333540982689017,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_old + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_old,BHAR,Redundancy,541,0.004669217232076936,0.010623028979483593,0.4395372770887344,0.6602722776422085,-0.002832950983648219,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_old + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_old,FSales_Growth,Redundancy,538,0.022555805986482914,0.0365126043620157,0.6177539614223703,0.5367375355126243,0.2051228717449718,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_old + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_pool_count,FInvention,Redundancy,527,-0.04499444233570244,0.023652172224119722,-1.902338690474212,0.05712689061952275,0.33524504805234456,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_pool_count + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_pool_count,BHAR,Redundancy,537,0.004075680807812129,0.01069941088476329,0.38092572121107937,0.7032583660625258,-0.0016247321177502716,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_pool_count + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_pool_count,FSales_Growth,Redundancy,534,0.0190741587892733,0.03646925369367627,0.5230202665918754,0.6009601498931119,0.20541621514943753,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_pool_count + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_pool_grsprc,FInvention,Redundancy,527,-0.04482781573112128,0.023748748944552502,-1.8875864086897052,0.05908149610770796,0.3343094954705008,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_pool_grsprc + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_pool_grsprc,BHAR,Redundancy,537,0.004137651117300493,0.010581076295991572,0.39104255574340385,0.6957657803327563,-0.0013567202463047323,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_pool_grsprc + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_pool_grsprc,FSales_Growth,Redundancy,534,0.01922336398755961,0.036445099922376746,0.5274608665774779,0.5978735851921011,0.20501930258838041,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_pool_grsprc + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_annual_count,FInvention,Redundancy,527,-0.04471464369244214,0.023772821719321477,-1.8809144417256993,0.05998355836399446,0.33411904755168564,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_annual_count + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_annual_count,BHAR,Redundancy,537,0.004248369526403246,0.010681871527816102,0.3977177141047137,0.6908382783487639,-0.004772371988374324,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_annual_count + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_annual_count,FSales_Growth,Redundancy,534,0.019387755154514002,0.03649827823817188,0.5311964314589841,0.5952826656022956,0.2055150596149904,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_annual_count + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_annual_grsprc,FInvention,Redundancy,527,-0.044668630470009595,0.023685616695899397,-1.8858968733435135,0.05930885294845441,0.33516846139997714,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_annual_grsprc + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_annual_grsprc,BHAR,Redundancy,537,0.00445318320520516,0.010640505435927558,0.4185123753773042,0.6755725403584731,-0.002404656228658597,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_annual_grsprc + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,underwriter_variant_with_scope::Underwriter_sponsfm_annual_grsprc,FSales_Growth,Redundancy,534,0.0191825111036102,0.03642718584498229,0.5265987656922588,0.5984722493152064,0.20490049456074289,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_sponsfm_annual_grsprc + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
