sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688013,天臣医疗,17,66732.0,2201.0,0,2.136514280544027,11.108439876975565,30.318945933666516
688057,金达莱,28,108549.0,3578.0,0,2.1247891769409972,11.594956962919463,30.337898267188372
688059,华锐精密,11,42706.0,1349.0,0,1.7387069797728107,10.66209470456786,31.657524091919942
688063,派能科技,15,57212.0,1937.0,0,2.1425659925567233,10.95451894557479,29.536396489416624
688076,诺泰生物,26,102800.0,3273.0,0,1.7855927118718602,11.540540632003202,31.40849373663306
688079,美迪凯,12,46106.0,1709.0,0,2.1101370952857263,10.738698372359542,26.978349912229373
688083,中望软件,21,80901.0,2406.0,1,1.9867291787853563,11.300981463909618,33.62468827930174
688092,爱科科技,16,63026.0,1920.0,0,2.3819006149530892,11.051302618649801,32.82604166666667
688093,世华科技,16,63993.0,2046.0,0,2.139869945279244,11.066528981359927,31.277126099706745
688097,博众精工,19,76433.0,2401.0,0,2.0267333838516732,11.244169819069379,31.833819241982507
688109,品茗股份,15,58262.0,1759.0,1,1.773132240448623,10.972705358794784,33.12222853894258
688113,联测科技,15,57477.0,2148.0,0,2.2013377162358485,10.959140146764103,26.758379888268156
688127,蓝特光学,14,53417.0,1716.0,0,1.9083863495342521,10.885884326344947,31.12878787878788
688129,东来技术,14,55446.0,1861.0,0,2.097102083148645,10.923164853116095,29.793659322944652
688135,利扬芯片,12,48241.0,1685.0,0,1.8665734888052128,10.78396456087112,28.62967359050445
688136,科兴制药,18,68097.0,2017.0,0,2.035111653186218,11.128688438303811,33.76152702032722
688156,路德环境,17,64978.0,2167.0,0,2.383607605302029,11.081804030048279,29.985233041070604
688160,步科股份,12,45475.0,1442.0,0,1.7110536720162388,10.724918003386323,31.53606102635229
688179,阿拉丁,19,75995.0,2429.0,1,2.135325951256099,11.238422827630561,31.286537669822973
688183,生益电子,23,90286.0,2893.0,0,2.2995880168686047,11.410737688625636,31.20843415139993
688191,智洋创新,18,67656.0,2126.0,0,2.723664508309161,11.122191321462058,31.823142050799625
688195,腾景科技,13,50980.0,1674.0,0,1.9864708517815728,10.839188677930107,30.45400238948626
688201,信安世纪,16,61578.0,1853.0,0,2.7420905968285,11.02805994287377,33.231516459794925
688217,睿昂基因,15,59619.0,1745.0,0,1.5690843816618643,10.995729594196394,34.16561604584527
688219,会通股份,13,50498.0,1808.0,0,1.8865997841311664,10.829689010518798,27.930309734513273
688260,昀冢科技,17,64755.0,2179.0,0,2.041689528111801,11.078366196657688,29.71776044056907
688308,欧科亿,13,51879.0,1689.0,1,1.8726271278035291,10.856669362994031,30.715808170515096
688314,康拓医疗,11,45003.0,1603.0,0,2.1646931351877843,10.714484433197,28.074235807860262
688316,青云科技,19,75099.0,2151.0,2,1.8421542099079293,11.226562522084345,34.91352859135286
688317,之江生物,26,100907.0,3038.0,0,1.62912828098914,11.521954579554748,33.214944042132984
688323,瑞华泰,9,36121.0,1395.0,0,2.091732873248004,10.494629692640487,25.893189964157706
688328,深科达,15,59532.0,1901.0,0,2.2239699913841897,10.99426926208905,31.316149395055234
688329,艾隆科技,9,33694.0,1155.0,0,1.449131547361259,10.425075058946149,29.172294372294374
688330,宏力达,18,69208.0,2113.0,1,1.955546143647438,11.14487174186021,32.75343114055845
688350,富淼科技,17,64830.0,3485.0,0,1.8566262663348205,11.07952373816904,18.6025824964132
688355,明志科技,17,68013.0,2146.0,0,2.437119984351357,11.127454142356939,31.69291705498602
688359,三孚新科,14,55970.0,1901.0,0,2.4404831013503516,10.932571111885405,29.442398737506576
688383,新益昌,15,56674.0,1933.0,0,2.1005732185347257,10.945070830756015,29.31919296430419
688386,泛亚微透,15,58122.0,1802.0,0,2.3119975275701727,10.97029952865444,32.25416204217536
688395,正弦电气,10,38993.0,1187.0,0,1.8784646901647817,10.571137421822545,32.850042122999156
688456,有研粉材,15,57539.0,1736.0,0,1.8677719953387362,10.96021825774006,33.14458525345622
688468,科美诊断,17,64071.0,2081.0,2,2.147272567041793,11.067747122440093,30.788563190773665
688510,航亚科技,14,54402.0,1755.0,0,2.4765122831006443,10.90415619687411,30.9982905982906
688526,科前生物,23,91267.0,2822.0,0,2.1209815321207266,11.421544555462656,32.34124734231042
688529,豪森股份,19,73051.0,2253.0,0,2.030945734511849,11.198913106339084,32.42387927208167
688533,上声电子,12,45072.0,1409.0,1,2.291916993798714,10.716016490116154,31.988644428672817
688536,思瑞浦,9,35871.0,1216.0,0,1.9774638443993284,10.48768444858769,29.49917763157895
688551,科威尔,16,63258.0,2103.0,0,2.1285628131274863,11.054976880805004,30.079885877318116
688557,兰剑智能,19,72675.0,2137.0,0,2.200152523238374,11.193752725427077,34.007955077211044
688559,海目星,18,68180.0,2171.0,0,2.5184161239167113,11.129906545691894,31.404882542607094
688560,明冠新材,13,50493.0,1635.0,0,1.9731502112838517,10.829589991794276,30.88256880733945
688565,力源科技,13,51715.0,1725.0,0,1.924163902274547,10.853503153811904,29.979710144927537
688571,杭华股份,15,59019.0,1897.0,0,2.470435512893068,10.985614704944375,31.11175540326832
688575,亚辉龙,26,97319.0,2980.0,2,2.047425973197673,11.485749521464477,32.65738255033557
688577,浙海德曼,15,60667.0,1926.0,0,2.1102000458923262,11.013155171881223,31.49896157840083
688578,艾力斯,19,74571.0,2238.0,0,1.9052003897944199,11.219506970666512,33.320375335120644
688585,上纬新材,19,75201.0,2649.0,0,1.864095629012957,11.227919807721856,28.388448471121176
688590,新致软件,12,45524.0,1536.0,0,1.738800692595759,10.725994938401781,29.638020833333332
688606,奥泰生物,17,67984.0,2258.0,0,2.132098497946865,11.127027662354593,30.108060230292296
688607,康众医疗,14,56730.0,1915.0,0,1.9644529214655653,10.946058450320614,29.62402088772846
688608,恒玄科技,10,37323.0,1296.0,0,2.1173507886255383,10.527365037582602,28.79861111111111
688609,九联科技,28,108023.0,3499.0,0,2.063318026130306,11.590099446395927,30.872535010002856
688611,杭州柯林,12,45545.0,1388.0,0,2.129247533380598,10.72645612717891,32.81340057636888
688613,奥精医疗,16,61488.0,1915.0,0,1.7007570430996524,11.026597312804626,32.108616187989554
688616,西力科技,14,54162.0,1616.0,0,2.0389605503441137,10.89973483452621,33.51608910891089
688617,惠泰医疗,24,92315.0,2883.0,1,1.6191378703180876,11.432961920829843,32.02046479361776
688618,三旺通信,15,58303.0,1848.0,0,2.058522659741091,10.973408828990653,31.549242424242426
688619,罗普特,22,85284.0,3489.0,0,2.384046646534705,11.353742142614896,24.443680137575235
688626,翔宇医疗,20,78095.0,2505.0,0,2.18482126662515,11.265681313291823,31.17564870259481
688628,优利德,26,104663.0,3827.0,0,2.2006542050112676,11.558500943761517,27.34857590802195
688630,芯碁微装,13,51686.0,1915.0,0,2.206415642958922,10.852942230788715,26.990078328981724
688633,星球石墨,11,41495.0,1351.0,0,1.8585287173996852,10.633328217032549,30.714285714285715
688636,智明达,20,77638.0,2242.0,0,1.9680731253074706,11.259812277033586,34.62890276538805
688639,华恒生物,13,51084.0,1686.0,0,1.8699625638255557,10.841226615616153,30.298932384341636
688655,迅捷兴,17,65133.0,2031.0,1,2.467201612933662,11.084186612202346,32.06942392909897
688656,浩欧博,15,56562.0,1670.0,1,2.074667128007877,10.943092660624206,33.86946107784431
688658,悦康药业,20,78874.0,2459.0,0,2.1716860382901673,11.275606921474713,32.07564050427003
688659,元琛科技,15,58811.0,1772.0,0,2.0868943342921074,10.982084191220336,33.18905191873589
688660,电气风电,20,80215.0,2746.0,0,2.030713148898767,11.292465808785176,29.211580480699197
688661,和林微纳,13,50397.0,1525.0,0,2.1127525990827265,10.827686928478323,33.0472131147541
688662,富信科技,18,68972.0,2680.0,0,2.2363844533065755,11.141455904120022,25.735820895522387
688663,新风光,13,50330.0,1701.0,0,2.6687468198089754,10.826356599770406,29.588477366255145
688665,四方光电,20,75014.0,2674.0,0,2.180334590218745,11.22543004176506,28.053103964098728
688668,鼎通科技,11,43579.0,1605.0,0,2.026131350275921,10.682330661929695,27.15202492211838
688669,聚石化学,16,60633.0,1814.0,0,2.122983870967742,11.012594578296879,33.42502756339581
688676,金盘科技,19,74715.0,2595.0,0,2.25011086824845,11.221436154175494,28.791907514450866
688677,海泰新光,14,53443.0,1674.0,0,1.7826774912870036,10.886370944359415,31.925328554360814
688679,通源环境,11,41614.0,1244.0,0,1.9472971255350588,10.636191928094528,33.451768488745984
688680,海优新材,12,45606.0,1339.0,0,1.943822182397451,10.727794565794095,34.05974607916355
688682,霍莱沃,11,43902.0,1322.0,0,1.9244858201780113,10.689715156112085,33.20877458396369
688683,莱尔科技,16,62313.0,1795.0,0,2.1973584976105136,11.039925350744218,34.71476323119777
688686,奥普特,13,51153.0,1988.0,1,2.357001602372716,10.842576420686262,25.730885311871226
688687,凯因科技,19,75390.0,2357.0,0,1.9090559324786893,11.230429919205747,31.98557488332626
688689,银河微电,18,68391.0,2006.0,2,2.575225318576799,11.132996516006004,34.09322033898305
688696,极米科技,21,81182.0,2664.0,1,2.4184246863439496,11.304448826699415,30.473723723723722
688698,伟创电气,16,59609.0,2164.0,0,2.169936803429986,10.995561848364485,27.545748613678374
688699,明微电子,13,51549.0,1673.0,0,2.032230268028591,10.850288090614855,30.81231320980275
688777,中控技术,14,54352.0,1864.0,0,1.8749322989525943,10.903236690400366,29.158798283261802
688788,科思科技,16,64473.0,2178.0,0,2.0269675616606233,11.074001810493316,29.601928374655646
688819,天能股份,11,42489.0,1470.0,0,1.7706535777758707,10.657000497882507,28.90408163265306
