model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula
simple,FInvention,Redundancy,531,0.0068743065952459785,0.010276938081167362,0.6689061022799432,0.5035553773132498,-0.0010525820098321592,FInvention ~ Redundancy
fe_text,FInvention,Redundancy,531,0.007757860129605794,0.011564765325659964,0.6708186384372722,0.5023360723940076,0.10800130793774787,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,FInvention,Redundancy,531,0.00225686158598564,0.009493962892237171,0.23771544207645726,0.8121018059028249,0.32855481008157195,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
simple,BHAR,Redundancy,541,-0.004605135961693009,0.004743503772719209,-0.970830040903102,0.3316329203969143,0.00035888748732970654,BHAR ~ Redundancy
fe_text,BHAR,Redundancy,541,-0.0013332166532754458,0.005264742600408284,-0.2532349165887149,0.8000866861013645,-0.008635333208003804,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,BHAR,Redundancy,541,-0.001756759518834662,0.005286841913528645,-0.33228902009330785,0.7396710300287701,-0.018093188447025677,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
simple,FSales_Growth,Redundancy,538,0.015432462557972197,0.012101155041997087,1.2752883922579126,0.20220718474945754,0.00024657337750377817,FSales_Growth ~ Redundancy
fe_text,FSales_Growth,Redundancy,538,0.009445073491255904,0.01314419432231087,0.7185737870006911,0.4724035692145401,0.125865220212097,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,FSales_Growth,Redundancy,538,0.0011261889062857394,0.01343195685233104,0.08384399374319727,0.9331804691917428,0.20325575575096688,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
pricing_rd_asset_controls_fe,Price_Issue_pb_indadj,RD_Low_x_Redundancy_High,541,0.011626313672267491,0.07145135988456214,0.16271647860938032,0.8707416718553345,0.15872920607749164,Price_Issue_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
pricing_rd_asset_controls_fe,Price_Day5_pb_indadj,RD_Low_x_Redundancy_High,541,-0.08908392725312157,0.14876896910387635,-0.5988071826384685,0.549301472032478,0.07543624270941662,Price_Day5_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
