label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model
688004_chunks_0001_0001,5051,219,5270,stop,THUDM/GLM-4-32B-0414
688004_chunks_0002_0002,5062,185,5247,stop,THUDM/GLM-4-32B-0414
688004_chunks_0003_0003,4860,202,5062,stop,THUDM/GLM-4-32B-0414
688004_chunks_0004_0004,5041,167,5208,stop,THUDM/GLM-4-32B-0414
688004_chunks_0005_0005,5054,191,5245,stop,THUDM/GLM-4-32B-0414
688004_chunks_0006_0006,5031,237,5268,stop,THUDM/GLM-4-32B-0414
688004_chunks_0007_0007,4994,244,5238,stop,THUDM/GLM-4-32B-0414
688004_chunks_0008_0008,5021,192,5213,stop,THUDM/GLM-4-32B-0414
688004_chunks_0009_0009,4807,194,5001,stop,THUDM/GLM-4-32B-0414
688004_chunks_0010_0010,5045,224,5269,stop,THUDM/GLM-4-32B-0414
688004_chunks_0011_0011,4955,200,5155,stop,THUDM/GLM-4-32B-0414
688004_chunks_0012_0012,4769,220,4989,stop,THUDM/GLM-4-32B-0414
688004_chunks_0013_0013,4654,508,5162,stop,THUDM/GLM-4-32B-0414
688004_chunks_0014_0014,4729,152,4881,stop,THUDM/GLM-4-32B-0414
688004_chunks_0015_0015,5014,226,5240,stop,THUDM/GLM-4-32B-0414
688004_chunks_0016_0016,5055,237,5292,stop,THUDM/GLM-4-32B-0414
688004_chunks_0017_0017,4983,200,5183,stop,THUDM/GLM-4-32B-0414
688004_chunks_0018_0018,3769,248,4017,stop,THUDM/GLM-4-32B-0414
688027_chunks_0001_0001,5053,209,5262,stop,THUDM/GLM-4-32B-0414
688027_chunks_0002_0002,4992,270,5262,stop,THUDM/GLM-4-32B-0414
688027_chunks_0003_0003,5017,180,5197,stop,THUDM/GLM-4-32B-0414
688027_chunks_0004_0004,4981,241,5222,stop,THUDM/GLM-4-32B-0414
688027_chunks_0005_0005,5057,274,5331,stop,THUDM/GLM-4-32B-0414
688027_chunks_0006_0006,5038,199,5237,stop,THUDM/GLM-4-32B-0414
688027_chunks_0007_0007,5054,236,5290,stop,THUDM/GLM-4-32B-0414
688027_chunks_0008_0008,5036,202,5238,stop,THUDM/GLM-4-32B-0414
688027_chunks_0009_0009,5059,286,5345,stop,THUDM/GLM-4-32B-0414
688027_chunks_0010_0010,5020,227,5247,stop,THUDM/GLM-4-32B-0414
688027_chunks_0011_0011,5056,168,5224,stop,THUDM/GLM-4-32B-0414
688027_chunks_0012_0012,5061,241,5302,stop,THUDM/GLM-4-32B-0414
688027_chunks_0013_0013,5047,248,5295,stop,THUDM/GLM-4-32B-0414
688027_chunks_0014_0014,5055,213,5268,stop,THUDM/GLM-4-32B-0414
688027_chunks_0015_0015,5064,214,5278,stop,THUDM/GLM-4-32B-0414
688027_chunks_0016_0016,4831,203,5034,stop,THUDM/GLM-4-32B-0414
688027_chunks_0017_0017,5046,161,5207,stop,THUDM/GLM-4-32B-0414
688027_chunks_0018_0018,5063,230,5293,stop,THUDM/GLM-4-32B-0414
688027_chunks_0019_0019,4959,197,5156,stop,THUDM/GLM-4-32B-0414
688027_chunks_0020_0020,3901,237,4138,stop,THUDM/GLM-4-32B-0414
688060_chunks_0001_0001,5040,236,5276,stop,THUDM/GLM-4-32B-0414
