code,sec_code,sec_name,first_trade_date,listing_year,chunk_count,FInvention,BHAR,FSales_Growth
688538,688538,和辉光电,2021-05-28,2021,19,4.3694478524670215,-0.2717968641456765,0.0423660927753965
688117,688117,圣诺生物,2021-06-03,2021,20,0.0,-0.4562442401917379,0.0237680332737688
688625,688625,呈和科技,2021-06-07,2021,13,2.6390573296152584,0.2220608452386617,0.2059763419154307
688131,688131,皓元医药,2021-06-08,2021,25,2.1972245773362196,-0.205585850394917,0.4011743312511695
688319,688319,欧林生物,2021-06-08,2021,20,1.3862943611198906,-0.4355823609190203,0.1238405890147287
688269,688269,凯立新材,2021-06-09,2021,18,3.332204510175204,0.4952926664111127,0.1842746609088272
688345,688345,博力威,2021-06-11,2021,17,1.791759469228055,-0.1701453083301296,0.0379150320481592
688700,688700,东威科技,2021-06-15,2021,10,0.6931471805599453,1.1129069618370302,0.2573836752536722
688067,688067,爱威科技,2021-06-16,2021,17,2.302585092994046,-0.4028624275197597,-0.0659549209451097
688681,688681,科汇股份,2021-06-16,2021,15,2.0794415416798357,-0.3999839389475287,-0.1604895546615413
688597,688597,煜邦电力,2021-06-17,2021,19,0.6931471805599453,0.181985908833698,0.5909849145186397
688517,688517,金冠电气,2021-06-18,2021,17,0.0,-0.1547209845823909,0.1398583039633998
688425,688425,铁建重工,2021-06-22,2021,26,5.41610040220442,-0.3797704789505046,0.0613894619527343
688690,688690,纳微科技,2021-06-23,2021,11,3.091042453358316,-0.1948866385853906,0.5813739706156094
688276,688276,百克生物,2021-06-25,2021,14,1.9459101490553132,-0.3683488208335018,-0.1086336483433489
688367,688367,工大高科,2021-06-28,2021,16,2.772588722239781,-0.046912811917165,0.2040375595048752
688601,688601,力芯微,2021-06-28,2021,9,2.4849066497880004,0.0048264748480383,-0.0078176233351357
688161,688161,威高骨科,2021-06-30,2021,22,1.9459101490553132,-0.3871010025151465,-0.1418267323863334
