sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy,source_shard
688559,海目星,1208358657,首次公开发行股票并在科创板上市招股说明书,2020-09-01,final_prospectus,ok,102803,18,18,18,102803,4329,68180,2171,1344,87,732,0.4041341307530579,-35.833333333333336,2.5184161239167113,131,202,156,123,695,37,True,token_proxy,31.404882542607098,31.404882542607098,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688551,科威尔,1208379307,首次公开发行股票并在科创板上市招股说明书,2020-09-03,final_prospectus,ok,101453,16,16,16,101453,4195,63258,2103,895,88,181,0.2730086492113744,-5.8125,2.1285628131274863,183,240,157,134,136,45,True,token_proxy,30.079885877318116,30.079885877318116,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688577,浙海德曼,1208419956,首次公开发行股票并在科创板上市招股说明书,2020-09-10,final_prospectus,ok,93871,16,16,16,93871,3847,60667,1926,833,88,179,0.2734835018831125,-5.6875,2.0844137335002464,196,197,138,123,144,35,True,token_proxy,31.49896157840083,31.49896157840083,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688127,蓝特光学,1208445117,首次公开发行股票并在科创板上市招股说明书,2020-09-16,final_prospectus,ok,84148,14,14,14,84148,3425,53417,1716,795,81,148,0.1880855849322796,-4.785714285714286,1.908386349534252,163,211,142,131,111,37,True,token_proxy,31.12878787878788,31.12878787878788,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688536,思瑞浦,1208436947,首次公开发行股票并在科创板上市招股说明书,2020-09-15,final_prospectus,ok,57098,10,10,10,57098,2428,35871,1216,512,54,97,0.2364603437184082,-4.3,1.9457780660200017,126,138,82,69,68,29,True,token_proxy,29.49917763157895,29.49917763157895,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688156,路德环境,1208445081,首次公开发行股票并在科创板上市招股说明书,2020-09-16,final_prospectus,ok,97573,17,17,17,97573,4325,64978,2167,871,94,222,0.3398662874166221,-7.529411764705882,2.383607605302029,175,192,150,132,152,70,True,token_proxy,29.985233041070604,29.985233041070604,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688526,科前生物,1208450303,首次公开发行股票并在科创板上市招股说明书,2020-09-17,final_prospectus,ok,132364,24,24,24,132364,5634,91267,2822,1406,120,287,0.2414844094164156,-6.958333333333333,2.1492221120414707,224,331,208,207,224,63,True,token_proxy,32.34124734231042,32.34124734231042,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688013,天臣医疗,1208474196,首次公开发行股票并在科创板上市招股说明书,2020-09-23,final_prospectus,ok,109385,18,18,18,109385,4390,66732,2201,1263,81,600,0.3097626530846769,-28.833333333333332,2.0858843108012937,198,233,134,98,576,24,True,token_proxy,30.318945933666516,30.318945933666516,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688585,上纬新材,1208474233,首次公开发行股票并在科创板上市招股说明书,2020-09-23,final_prospectus,ok,115869,20,20,20,115869,5290,75201,2649,1129,100,239,0.1809435695744365,-6.95,1.7913320240328972,212,318,206,154,201,38,True,token_proxy,28.388448471121176,28.388448471121176,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688093,世华科技,1208486409,首次公开发行股票并在科创板上市招股说明书,2020-09-24,final_prospectus,ok,104852,17,17,17,104852,4085,63993,2046,893,92,202,0.2494348557336364,-6.470588235294118,2.080881055764548,145,241,165,140,164,38,True,token_proxy,31.277126099706745,31.277126099706745,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688330,宏力达,1208514506,首次公开发行股票并在科创板上市招股说明书,2020-09-30,final_prospectus,ok,104676,18,18,18,104676,4151,69208,2082,1039,91,242,0.2242954046897426,-8.38888888888889,1.955546143647438,205,258,188,146,206,36,True,token_proxy,33.24111431316042,33.24111431316042,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688386,泛亚微透,1208539239,首次公开发行股票并在科创板上市招股说明书,2020-10-13,final_prospectus,ok,84158,16,16,16,84158,3600,58122,1802,994,80,412,0.3186285644323899,-20.75,2.303637891605498,132,180,143,127,389,23,True,token_proxy,32.25416204217536,32.25416204217536,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688788,科思科技,1208563318,首次公开发行股票并在科创板上市招股说明书,2020-10-15,final_prospectus,ok,105287,17,17,17,105287,4348,64473,2178,965,93,184,0.1943681592253534,-5.352941176470588,2.0040226910867496,182,245,183,171,122,62,True,token_proxy,29.60192837465565,29.60192837465565,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688129,东来技术,1208580816,首次公开发行股票并在科创板上市招股说明书,2020-10-19,final_prospectus,ok,83727,15,15,15,83727,3716,55446,1861,754,76,188,0.3178326900101094,-7.466666666666667,2.1108657026141833,208,163,104,91,156,32,True,token_proxy,29.793659322944652,29.793659322944652,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688179,阿拉丁,1208585708,首次公开发行股票并在科创板上市招股说明书,2020-10-20,final_prospectus,ok,121486,20,20,20,121486,4839,75995,2425,1036,104,274,0.3122809044712548,-8.5,2.1735171366864914,215,264,153,130,196,78,True,token_proxy,31.338144329896902,31.338144329896902,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
