code,segment_target_year,NumIndSeg_count,NumIndSeg_count_main,NumIndSeg_count_operating,NumIndSeg_source,NumIndSeg,NumIndSeg_ln_count,NumProdSeg_count,NumProdSeg_count_main,NumProdSeg_count_operating,NumProdSeg_source,NumProdSeg,NumProdSeg_ln_count
688321,2019,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0
688357,2019,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688358,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688363,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688366,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688368,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688369,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688389,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055
688399,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688004,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688013,2020,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688017,2020,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
