Symbol,EndDate,Source,StateTypeCode,RDPerson,RDPersonRatio,RDSpendSum,RDSpendSumRatio,RDExpenses,RDInvest,RDInvestRatio,RDInvestNetprofitRatio,Currency,Explanation,code,rd_year,RD_Staff,rd_source_priority,rd_target_year
688102,2021-12-31,0.0,1.0,81.0,7.27,40714174.03,4.2,40714174.03,,0.0,,CNY,"报告期内,公司加大高强高导铜合金材料、液体火箭发动机燃烧室内衬、中高压电接触材料及制品、CT和DR球管零组件、新一代铜铁合金材料等方向的研发投入力度,保证公司在新材料、新技术、新产品、新应用领域的持续优势和创新活力。
项目名称;预计总投资规模;本期投入金额;累计投入金额:
高强高导耐高温铜合金开发;600.00;378.32;589.79。
高均匀性、高一致性铬锆铜产品工艺开发;527.00;43.38;43.38。
高纯度高均匀性铬锆铜材料及产业化制备技术开发;1,486.00;507.45;507.45。
新型耐高温铜合金开发;150.00;40.66;40.66。
大功率风力发电机组用铜排制造工艺开发研究;382.75;79.03;79.03。
铜镍硅合金铸锭制备;330.00;47.04;47.04。
盾构机主轴承用全铜保持架产品开发;1,619.00;33.92;33.92。
船舶用新型高强高耐蚀铜合金泵阀产品开发;812.00;29.10;29.10。
CuMn材料开发;320.00;96.74;288.53。
铜钛合金开发;200.00;94.14;145.82。
等离子放电烧结技术产业化生产应用;218.00;21.65;112.08。
高性能铜铬合金的超高温雾化制粉开发及应用;486.00;39.77;149.06。
电弧熔炼CuCr2",688102,2021,0.0727,1,2021
688103,2020-12-31,1.0,1.0,100.0,13.11,44872300.0,11.09,,,,,CNY,,688103,2020,0.1311,0,2020
688105,2020-12-31,1.0,1.0,,,125533400.0,8.02,125533400.0,,,,CNY,,688105,2020,,0,2020
688106,2019-12-31,1.0,1.0,166.0,13.05,39888300.0,3.44,,,,,CNY,,688106,2019,0.1305,0,2019
688107,2020-12-31,1.0,1.0,,,125536600.0,44.67,,,,,CNY,,688107,2020,,0,2020
688108,2018-12-31,1.0,1.0,56.0,12.15,130000600.0,34.17,66547800.0,63452800.0,,,CNY,,688108,2018,0.1215,0,2018
688109,2020-06-30,1.0,1.0,394.0,42.78,33997400.0,23.12,,,,,CNY,公司研发费用主要包括研发人员薪酬、材料费用、折旧费用和认证费用等。,688109,2020,0.4278,0,2020
688109,2020-12-31,0.0,1.0,438.0,40.9,80125810.71,21.09,80125810.71,,,,CNY,"本期研发费用较上年同期增加21.24%,主要系公司持续加大新产品、新技术的研发投入,研发人员数量增加以及折旧、摊销费用等费用增加所致。",688109,2020,0.409,1,2020
688110,2020-12-31,1.0,1.0,,,47541500.0,6.06,,,,,CNY,,688110,2020,,0,2020
688111,2018-12-31,1.0,1.0,1410.0,,427535800.0,37.85,427535800.0,0.0,,,CNY,,688111,2018,,0,2018
688112,2020-12-31,1.0,1.0,90.0,38.79,28869700.0,13.08,,,,,CNY,,688112,2020,0.38789999999999997,0,2020
688113,2020-12-31,1.0,1.0,56.0,20.0,23173000.0,6.46,,,,,CNY,,688113,2020,0.2,0,2020
688114,2021-12-31,1.0,1.0,710.0,34.63,608299200.0,15.48,,,,,CNY,,688114,2021,0.34630000000000005,0,2021
688115,2021-06-30,1.0,1.0,151.0,54.12,22377900.0,24.88,,,,,CNY,,688115,2021,0.5412,0,2021
688116,2018-12-31,1.0,1.0,40.0,,16402900.0,5.01,,,,,CNY,,688116,2018,,0,2018
688117,2020-12-31,1.0,1.0,113.0,19.12,22485100.0,5.94,18249100.0,4236000.0,,,CNY,,688117,2020,0.1912,0,2020
688118,2018-12-31,1.0,1.0,148.0,14.54,46352600.0,13.63,,,,,CNY,,688118,2018,0.1454,0,2018
688119,2021-12-31,1.0,1.0,277.0,8.9,124819900.0,4.7,124819900.0,0.0,,,CNY,,688119,2021,0.08900000000000001,0,2021
688120,2021-12-31,1.0,1.0,224.0,32.37,119309600.0,14.82,11407.16,523.8,,,CNY,,688120,2021,0.3237,0,2021
688121,2020-12-31,1.0,1.0,86.0,12.43,131564500.0,4.82,,,,,CNY,,688121,2020,0.1243,0,2020
688123,2018-12-31,1.0,1.0,64.0,,63411500.0,14.67,63411500.0,0.0,,,CNY,,688123,2018,,0,2018
688125,2021-06-30,1.0,1.0,166.0,16.12,23702900.0,10.0,,,,,CNY,,688125,2021,0.1612,0,2021
688126,2019-09-30,1.0,1.0,423.0,31.59,62707500.0,5.86,,,,,CNY,,688126,2019,0.3159,0,2019
688126,2019-12-31,0.0,1.0,419.0,30.47,84157319.26,5.64,84157319.26,0.0,0.0,,CNY,,688126,2019,0.30469999999999997,1,2019
688127,2019-12-31,1.0,1.0,87.0,13.9,24521400.0,7.34,,,,,CNY,,688127,2019,0.139,0,2019
688128,2018-12-31,1.0,1.0,300.0,15.79,199235800.0,7.67,,,,,CNY,,688128,2018,0.15789999999999998,0,2018
688129,2019-12-31,1.0,1.0,90.0,11.81,26975300.0,5.77,,,,,CNY,,688129,2019,0.11810000000000001,0,2019
688130,2021-12-31,1.0,1.0,70.0,64.22,31326700.0,18.06,,,,,CNY,,688130,2021,0.6422,0,2021
688131,2020-12-31,1.0,1.0,147.0,16.76,64798300.0,10.2,,,,,CNY,,688131,2020,0.16760000000000003,0,2020
688132,2021-12-31,1.0,1.0,140.0,39.11,51732300.0,16.78,,,,,CNY,,688132,2021,0.3911,0,2021
688133,2019-12-31,1.0,1.0,171.0,30.11,36483300.0,3.19,,,,,CNY,,688133,2019,0.3011,0,2019
688135,2019-12-31,1.0,1.0,,,21991300.0,9.48,,,,,CNY,,688135,2019,,0,2019
688136,2019-12-31,1.0,1.0,,,46169700.0,3.88,,,,,CNY,,688136,2019,,0,2019
688137,2021-12-31,1.0,1.0,116.0,23.11,34095400.0,9.97,34095400.0,0.0,,,CNY,,688137,2021,0.2311,0,2021
688138,2018-12-31,1.0,1.0,,,16675700.0,4.09,,,,,CNY,,688138,2018,,0,2018
688139,2018-12-31,1.0,1.0,212.0,27.04,90353900.0,10.74,,,,,CNY,,688139,2018,0.2704,0,2018
688141,2021-12-31,1.0,1.0,,,198575600.0,19.07,,,,,CNY,,688141,2021,,0,2021
688143,2021-12-31,1.0,1.0,,14.86,18435300.0,7.04,,,,,CNY,,688143,2021,0.14859999999999998,0,2021
688146,2022-06-30,1.0,1.0,81.0,13.43,51107300.0,5.35,51107300.0,0.0,,,CNY,"报告期内,发行人不存在资本化的开发支出。",688146,2022,0.1343,0,2022
688147,2021-12-31,1.0,1.0,188.0,36.79,97040000.0,22.68,,,,,CNY,,688147,2021,0.3679,0,2021
688148,2020-12-31,1.0,1.0,90.0,12.16,44875700.0,4.52,,,,,CNY,公司研发投入主要包括研发材料费用、研发人员薪酬、研发设备购置、折旧  等。,688148,2020,0.1216,0,2020
688150,2021-06-30,1.0,1.0,80.0,26.06,14285500.0,8.76,,,,,CNY,,688150,2021,0.2606,0,2021
688150,2021-12-31,0.0,1.0,88.0,27.24,36674189.36,10.89,36674189.36,,,,CNY,"项目名称;预计总投资规模;本期投入金额;累计投入金额:高效率ETL/HBL材料开发 ;6,300,000 ; 162,315.77 ;6,450,391.40 。高效率HTL材料研究开发 ;9,000,000 ; 1,433,465.72 ; 6,216,603.45 。高效率Green Host材料开发 ;16,000,000  ;4,651,000.68  ;10,457,468.39 。高性能Red Host材料开发 ;8,000,000 ; 2,902,110.80 ; 2,902,110.80 。高性能高效率Red Prime 材料开发 ;32,000,000 ; 8,772,138.99 ; 19,265,584.82 。长寿命Blue  Prime/EBL材料制备 ;2,080,000;  227,983.77 ; 1,800,982.22 。OLED掺杂发光材料的开发 ;700,000 ; 35,025.64 ; 95,422.41 。高效率绿光材料的研究开发 ;1,300,000 ; 854,476.25 ; 1,236,935.39。靶点引导医药中间体的开发; 9,850,000 ; 770,621.60 ; 770,621.60。苯基吖啶类中间体的合成 ;1,300,000 ; 1,187,050.04 ; 1,187,050.04。吡啶硫醚类中间体的合成 ;",688150,2021,0.2724,1,2021
688151,2020-12-31,1.0,1.0,,,39620100.0,4.74,,,,,CNY,,688151,2020,,0,2020
688152,2021-12-31,1.0,1.0,217.0,42.8,,,60192800.0,,,,CNY,,688152,2021,0.428,0,2021
688153,2021-06-30,1.0,1.0,171.0,53.11,212130800.0,12.46,,,,,CNY,,688153,2021,0.5311,0,2021
688155,2019-12-31,1.0,1.0,280.0,43.82,47022300.0,12.88,,,,,CNY,,688155,2019,0.4382,0,2019
688156,2019-12-31,1.0,1.0,46.0,13.73,10952700.0,3.61,,,,,CNY,,688156,2019,0.1373,0,2019
688157,2019-12-31,1.0,1.0,110.0,29.97,44766100.0,9.84,,,,,CNY,,688157,2019,0.29969999999999997,0,2019
688158,2019-06-30,1.0,1.0,539.0,51.53,93595400.0,13.4,,,,,CNY,,688158,2019,0.5153,0,2019
688158,2019-12-31,0.0,1.0,526.0,50.63,188074109.1,12.41,188074109.1,0.0,0.0,,CNY,,688158,2019,0.5063,1,2019
688159,2019-06-30,1.0,1.0,248.0,54.51,25916200.0,7.62,25916200.0,,,,CNY,,688159,2019,0.5451,0,2019
688159,2019-12-31,0.0,1.0,321.0,58.47,62051573.51,7.93,62051573.51,0.0,0.0,,CNY,,688159,2019,0.5847,1,2019
688160,2019-12-31,1.0,1.0,149.0,29.98,39706200.0,11.5,,,,,CNY,,688160,2019,0.2998,0,2019
688161,2020-12-31,1.0,1.0,233.0,11.71,82463200.0,4.52,,,,,CNY,,688161,2020,0.11710000000000001,0,2020
688162,2020-12-31,1.0,1.0,452.0,25.9,135336700.0,9.06,,,,,CNY,,688162,2020,0.259,0,2020
688163,2021-06-30,1.0,1.0,40.0,14.44,10548700.0,11.0,,,,,CNY,,688163,2021,0.1444,0,2021
688163,2021-12-31,0.0,1.0,40.0,13.56,25763088.98,12.34,25763088.98,,,,CNY,注:上表研发人员包括承担在研项目免疫、工艺及质量研究工作的技术人员。,688163,2021,0.1356,1,2021
688165,2019-12-31,1.0,1.0,481.0,33.15,79712000.0,6.29,,,,,CNY,,688165,2019,0.33149999999999996,0,2019
688166,2018-12-31,1.0,1.0,207.0,,96115000.0,23.59,,,,,CNY,,688166,2018,,0,2018
688167,2020-12-31,1.0,1.0,,,69897100.0,19.42,,,,,CNY,,688167,2020,,0,2020
688168,2018-12-31,1.0,1.0,87.0,47.28,26553700.0,13.59,,,,,CNY,,688168,2018,0.4728,0,2018
688169,2019-06-30,1.0,1.0,246.0,50.2,80756000.0,3.8,,,,,CNY,,688169,2019,0.502,0,2019
688169,2019-12-31,0.0,1.0,273.0,50.93,192795938.0,4.59,192795938.0,0.0,0.0,,CNY,,688169,2019,0.5093,1,2019
688170,2021-12-31,1.0,1.0,149.0,22.54,58932700.0,10.73,58932700.0,0.0,,,CNY,,688170,2021,0.2254,0,2021
688171,2021-06-30,1.0,1.0,39.0,30.0,6052300.0,11.75,,,,,CNY,,688171,2021,0.3,0,2021
688171,2021-12-31,0.0,1.0,40.0,31.75,21215570.04,11.95,21215570.04,,,,CNY,"研发投入总额较上年发生重大变化的原因:2021年公司为拓展公司产品线,加大信息安全云平台类产品的研发投入,并积极与合作方进行共同开发信息安全云平台产品,致公司研发投入较2020年大幅增加。项目名称;预计总投资规模;本期投入金额;累计投入金额:基于5G的配网安全防护设备;7,500,000;5,813,098.24;14,815,954.98。数据智能融合平台;4,000,000;7,873,148.43;10,205,316.78。基于边缘计算的智能融合终端;6,500,000;694,209.55;3,575,815.12。工业规约防篡改认;2,000,000;662,104.91;1,335,510.35。工业安全智能锁;3,800,000;290,501.62;3,111,967.42。实战型网络安全攻防演练平台升级;4,200,000;535,013.02;2,121,897.76。便携式运维安全装置研发与应用;2,000,000;2,112,086.92;2,157,813.97。蓝牙智能锁;2,420,000;2,352,937.13;2,352,937.13。生物识别登陆验证系统;200,000;668,896.67;668,896.67。",688171,2021,0.3175,1,2021
688172,2021-12-31,1.0,1.0,,23.21,162390500.0,7.98,,,,,CNY,,688172,2021,0.2321,0,2021
688173,2021-06-30,1.0,1.0,95.0,59.01,69321400.0,31.72,,,,,CNY,,688173,2021,0.5901,0,2021
688173,2021-12-31,0.0,1.0,115.0,61.5,149732561.77,32.35,149732561.77,0.0,0.0,,CNY,"研发投入总额较上年发生重大变化的原因:
研发费用同比减少17.47%,主要系股份支付费用减少所致。
项目名称;预计总投资规模;本期投入金额;累计投入金额;
高性能低压DC/DC芯片研发项目;3,566.32;1,856.96;3,728.49。
车规级高性能高压DC/DC芯片研发项目;886.19;677.57;896.33。
微功耗高性能低压DC/DC芯片研发项目;713.05;312.94;911.06。
大功率多节电池开关充电产品研发项目;969.73;393.57;1,433.05。
微功率锂电池充电芯片研发项目;645.96;247.03;769.66。
微功率锂电池充电PMIC芯片研发项目;728.28;908.17;1,806.19。
大功率高压电荷泵;1,112.34;532.00;2,816.88。
大功率低压电荷泵充电芯片研发项目;435.80;334.19;2,164.25。
中功率低压电荷泵充电芯片研发项目;2,217.91;2,606.86;6,966.17。
大功率高压电荷泵充电芯片研发项目;940.58;679.96;1,032.47。
USB端口电源及信号线保护芯片研发项目;1,461.98;1,016.68;2,875.44。
USB端口电源保护芯片研发项目;543.98;172.15;693.33。
USB端口信号传",688173,2021,0.615,1,2021
688175,2021-06-30,1.0,1.0,309.0,50.0,34461800.0,17.42,,,,,CNY,,688175,2021,0.5,0,2021
688175,2021-12-31,0.0,1.0,316.0,50.89,79880091.37,16.13,79880091.37,0.0,0.0,,CNY,,688175,2021,0.5089,1,2021
688176,2021-06-30,1.0,1.0,91.0,71.65,98633100.0,,,,,,CNY,,688176,2021,0.7165,0,2021
688176,2021-12-31,0.0,1.0,104.0,69.33,190744102.4,,190744102.4,0.0,0.0,,CNY,"注:公司核心产品均处于在研状态,2021年的营业收入仅为海克威®(APL-1706)在海南博鳌乐城国际医疗旅游先行区作为临床急需进口药品申报并实现的收益。研发投入占营业收入比例不具有参考性。",688176,2021,0.6933,1,2021
688177,2019-06-30,1.0,1.0,220.0,50.46,351980900.0,,351980900.0,0.0,,,CNY,,688177,2019,0.5046,0,2019
688177,2019-12-31,0.0,1.0,243.0,33.94,636511058.15,,636511058.15,,0.0,,CNY,,688177,2019,0.3394,1,2019
688178,2019-06-30,1.0,1.0,60.0,10.31,12037800.0,3.36,,,,,CNY,,688178,2019,0.10310000000000001,0,2019
688178,2019-12-31,0.0,1.0,66.0,10.41,30681431.78,3.97,30681431.78,0.0,0.0,,CNY,,688178,2019,0.1041,1,2019
688179,2019-12-31,1.0,1.0,72.0,23.15,15720200.0,7.74,,,,,CNY,,688179,2019,0.23149999999999998,0,2019
688180,2019-12-31,1.0,1.0,415.0,29.2,946100000.0,122.06,,,,,CNY,,688180,2019,0.292,0,2019
688181,2019-06-30,1.0,1.0,63.0,20.72,10102200.0,4.92,,,,,CNY,,688181,2019,0.2072,0,2019
688181,2019-12-31,0.0,1.0,80.0,24.54,26675400.0,6.2,26675400.0,,,,CNY,"报告期内公司进一步加大研发投入,引进研发人员,致力于新材料领域的新产品、新技术开发,以致研发投入较上年同期增长47.38%。",688181,2019,0.24539999999999998,1,2019
688182,2020-12-31,1.0,1.0,,,41843300.0,4.02,,,,,CNY,,688182,2020,,0,2020
688183,2020-06-30,1.0,1.0,45.0,,87152100.0,4.65,,,,,CNY,,688183,2020,,0,2020
688183,2020-12-31,0.0,1.0,596.0,12.14,156199941.83,4.3,156199941.83,0.0,0.0,,CNY,,688183,2020,0.12140000000000001,1,2020
688184,2021-12-31,1.0,1.0,70.0,22.36,32070100.0,3.74,,,,,CNY,,688184,2021,0.2236,0,2021
688185,2019-12-31,1.0,1.0,133.0,31.0,157570500.0,,151745900.0,5824500.0,,,CNY,,688185,2019,0.31,0,2019
688186,2019-06-30,1.0,1.0,,,31842200.0,3.5300000000000002,31842200.0,0.0,,,CNY,,688186,2019,,0,2019
688186,2019-12-31,0.0,1.0,120.0,13.0,53789469.3,3.39,53789469.3,0.0,0.0,,CNY,,688186,2019,0.13,1,2019
688187,2020-12-31,1.0,1.0,2605.0,34.07,1853655200.0,11.56,,,,,CNY,,688187,2020,0.3407,0,2020
688188,2018-12-31,1.0,1.0,83.0,51.23,28135100.0,11.47,,,,,CNY,,688188,2018,0.5123,0,2018
688190,2020-12-31,1.0,1.0,,,41246100.0,5.77,,,,,CNY,,688190,2020,,0,2020
688191,2020-06-30,1.0,1.0,166.0,33.95,13907300.0,8.59,,,,,CNY,,688191,2020,0.3395,0,2020
688192,2020-12-31,1.0,1.0,120.0,80.0,439494800.0,1583.15,,,,,CNY,,688192,2020,0.8,0,2020
688193,2021-06-30,1.0,1.0,140.0,44.59,10738200.0,7.66,,,,,CNY,,688193,2021,0.4459,0,2021
688195,2020-06-30,1.0,1.0,91.0,10.98,,,7856600.0,,,,CNY,,688195,2020,0.10980000000000001,0,2020
688196,2018-12-31,1.0,1.0,81.0,,47673200.0,4.69,,,,,CNY,,688196,2018,,0,2018
688197,2021-06-30,1.0,1.0,122.0,85.92,65615100.0,937.36,,,,,CNY,,688197,2021,0.8592,0,2021
