Symbol,EndDate,Source,StateTypeCode,RDPerson,RDPersonRatio,RDSpendSum,RDSpendSumRatio,RDExpenses,RDInvest,RDInvestRatio,RDInvestNetprofitRatio,Currency,Explanation,code,rd_year,RD_Staff,rd_source_priority,rd_target_year
688004,2019-12-31,1.0,1.0,131.0,40.18,42181900.0,15.36,,,,,CNY,,688004,2019,0.4018,0,2019
688013,2019-12-31,1.0,1.0,30.0,16.85,14103900.0,8.16,,,,,CNY,,688013,2019,0.1685,0,2019
688017,2019-12-31,1.0,1.0,89.0,15.61,24235300.0,13.04,,,,,CNY,,688017,2019,0.1561,0,2019
688021,2018-12-31,1.0,1.0,76.0,14.53,16176500.0,6.52,,,,,CNY,,688021,2018,0.14529999999999998,0,2018
688023,2018-12-31,1.0,1.0,454.0,34.08,151951900.0,24.25,,,,,CNY,,688023,2018,0.3408,0,2018
688025,2018-12-31,1.0,1.0,,,53388000.0,8.01,,,,,CNY,,688025,2018,,0,2018
688026,2019-06-30,1.0,1.0,55.0,10.38,4473400.0,4.74,,,,,CNY,,688026,2019,0.1038,0,2019
688026,2019-12-31,0.0,1.0,62.0,11.29,12562757.12,5.08,12562757.12,,,,CNY,,688026,2019,0.11289999999999999,1,2019
688027,2019-12-31,1.0,1.0,193.0,45.41,75939300.0,29.45,60708500.0,15230800.0,,,CNY,,688027,2019,0.45409999999999995,0,2019
688030,2018-12-31,1.0,1.0,358.0,,156461400.0,27.83,156461400.0,0.0,,,CNY,,688030,2018,,0,2018
688031,2021-12-31,1.0,1.0,271.0,26.46,140468000.0,42.46,,,,,CNY,,688031,2021,0.2646,0,2021
688032,2020-12-31,1.0,1.0,,,28874900.0,5.83,,,,,CNY,,688032,2020,,0,2020
688035,2021-12-31,1.0,1.0,81.0,14.24,30664200.0,5.25,,,,,CNY,,688035,2021,0.1424,0,2021
688036,2018-12-31,1.0,1.0,,,711791400.0,3.14,,,,,CNY,,688036,2018,,0,2018
688037,2018-12-31,1.0,1.0,,,34214500.0,16.29,,,,,CNY,,688037,2018,,0,2018
688038,2020-12-31,1.0,1.0,161.0,37.97,28757000.0,5.8,,,,,CNY,,688038,2020,0.3797,0,2020
688039,2018-12-31,1.0,1.0,128.0,65.64,36609900.0,17.99,,,,,CNY,,688039,2018,0.6564,0,2018
688041,2021-12-31,1.0,1.0,1031.0,90.2,1584938400.0,68.6,744669400.0,840269000.0,,,CNY,,688041,2021,0.902,0,2021
688045,2021-12-31,1.0,1.0,148.0,68.84,86745900.0,9.78,,,,,CNY,,688045,2021,0.6884,0,2021
688046,2021-06-30,1.0,1.0,117.0,13.96,23663200.0,13.26,23663200.0,,,,CNY,,688046,2021,0.1396,0,2021
688047,2021-12-31,1.0,1.0,539.0,65.57,321728600.0,26.78,,,,,CNY,,688047,2021,0.6557,0,2021
688048,2021-06-30,1.0,1.0,106.0,30.46,37511000.0,19.67,,,,,CNY,,688048,2021,0.3046,0,2021
688049,2020-12-31,1.0,1.0,,,116871400.0,28.48,,,,,CNY,,688049,2020,,0,2020
688050,2019-12-31,1.0,1.0,78.0,19.85,28661800.0,14.68,21676600.0,6985200.0,,,CNY,,688050,2019,0.1985,0,2019
688051,2019-09-30,1.0,1.0,209.0,24.13,31593600.0,10.62,31593600.0,,,,CNY,,688051,2019,0.2413,0,2019
688052,2021-06-30,1.0,1.0,127.0,41.37,38983700.0,11.44,,,,,CNY,,688052,2021,0.41369999999999996,0,2021
688053,2021-12-31,1.0,1.0,70.0,18.04,16361000.0,7.37,,,,,CNY,,688053,2021,0.1804,0,2021
688055,2019-12-31,1.0,1.0,458.0,13.21,261101200.0,6.78,,,,,CNY,,688055,2019,0.1321,0,2019
688056,2019-12-31,1.0,1.0,77.0,20.05,25851400.0,6.79,,,,,CNY,,688056,2019,0.2005,0,2019
688057,2019-12-31,1.0,1.0,,,53073300.0,6.82,49801500.0,3271700.0,,,CNY,,688057,2019,,0,2019
688058,2018-12-31,1.0,1.0,113.0,54.59,21995600.0,17.97,21995600.0,,,,CNY,,688058,2018,0.5459,0,2018
688059,2020-06-30,1.0,1.0,76.0,20.11,9394300.0,6.85,,,,,CNY,,688059,2020,0.2011,0,2020
688059,2020-12-31,0.0,1.0,77.0,19.49,19752428.62,6.33,19752428.62,,,,CNY,,688059,2020,0.1949,1,2020
688060,2019-12-31,1.0,1.0,48.0,35.04,16693100.0,6.65,,,,,CNY,,688060,2019,0.3504,0,2019
688061,2021-12-31,1.0,1.0,114.0,38.64,57546200.0,10.71,,,,,CNY,,688061,2021,0.3864,0,2021
688062,2021-06-30,1.0,1.0,429.0,75.0,261929800.0,3862.02,,,,,CNY,,688062,2021,0.75,0,2021
688062,2021-12-31,0.0,1.0,471.0,68.56,622514864.2,3836.47,622514864.2,,,,CNY,"公司持续投入大量资金用于在研品种的临床前研究及临床试验,报告期内,公司多项在研品种新推进至临床研究阶段导致公司研发费用金额较高。",688062,2021,0.6856,1,2021
688063,2019-12-31,1.0,1.0,135.0,24.41,60194000.0,7.34,,,,,CNY,,688063,2019,0.2441,0,2019
688065,2019-12-31,1.0,1.0,196.0,14.37,90159500.0,4.71,,,,,CNY,,688065,2019,0.1437,0,2019
688067,2020-12-31,1.0,1.0,123.0,25.79,22620600.0,12.55,,,,,CNY,,688067,2020,0.2579,0,2020
688068,2018-12-31,1.0,1.0,,,18383400.0,9.82,,,,,CNY,,688068,2018,,0,2018
688069,2019-12-31,1.0,1.0,37.0,12.42,13370400.0,4.5,,,,,CNY,,688069,2019,0.1242,0,2019
688070,2020-06-30,1.0,1.0,103.0,22.59,12971500.0,13.69,12971500.0,,,,CNY,,688070,2020,0.2259,0,2020
688070,2020-12-31,0.0,1.0,117.0,22.24,27894145.83,10.26,27894145.83,0.0,0.0,,CNY,,688070,2020,0.2224,1,2020
688071,2020-12-31,1.0,1.0,89.0,27.99,23394100.0,7.75,,,,,CNY,,688071,2020,0.2799,0,2020
688072,2021-09-30,1.0,1.0,189.0,44.06,129556300.0,34.65,,,,,CNY,,688072,2021,0.44060000000000005,0,2021
688073,2021-12-31,1.0,1.0,91.0,17.04,34883000.0,5.75,,,,,CNY,,688073,2021,0.1704,0,2021
688075,2020-12-31,1.0,1.0,,,58445500.0,4.87,58445500.0,0.0,,,CNY,,688075,2020,,0,2020
688076,2020-12-31,1.0,1.0,167.0,18.39,67088700.0,11.83,,,,,CNY,,688076,2020,0.1839,0,2020
688077,2019-12-31,1.0,1.0,87.0,9.1,31997200.0,5.07,,,,,CNY,,688077,2019,0.091,0,2019
688078,2018-12-31,1.0,1.0,,,11585100.0,9.23,,,,,CNY,,688078,2018,,0,2018
688079,2020-06-30,1.0,1.0,73.0,11.55,20234700.0,10.08,,,,,CNY,,688079,2020,0.1155,0,2020
688079,2020-12-31,0.0,1.0,79.0,11.7,42338712.02,10.02,42338712.02,0.0,0.0,,CNY,"公司注重研发投入,既有结合终端产品应用发展趋势的应用型研发,也有新技术、新工艺的前瞻性研发。本年度公司加强光学镀膜嫁接半导体技术、光学薄膜新技术、光学新材料应用技术等先进技术的开发,增加了技术团队及高精尖设备的投入。",688079,2020,0.11699999999999999,1,2020
688080,2019-06-30,1.0,1.0,128.0,45.71,12103363.33,9.77,,,,,CNY,,688080,2019,0.4571,0,2019
688080,2019-12-31,0.0,1.0,120.0,40.54,31213035.88,10.52,31213035.88,,,,CNY,,688080,2019,0.4054,1,2019
688081,2019-06-30,1.0,1.0,185.0,44.9,15128100.0,30.84,,,,,CNY,,688081,2019,0.449,0,2019
688081,2019-12-31,0.0,1.0,200.0,47.51,32613892.67,16.28,29462903.11,3150989.56,9.66,,CNY,"报告期内,公司研发投入为3,261.39万元,较2018年2,834.28万元增长15.07%。主要为2019年较2018年公司加大研发投入所致。",688081,2019,0.47509999999999997,1,2019
688082,2020-12-31,1.0,1.0,,42.07,140791100.0,13.97,,,,,CNY,,688082,2020,0.4207,0,2020
688083,2020-06-30,1.0,1.0,406.0,51.65,60377800.0,43.11,60377800.0,0.0,,,CNY,,688083,2020,0.5165,0,2020
688083,2020-12-31,0.0,1.0,458.0,50.05,151159710.16,33.14,151159710.16,,,,CNY,,688083,2020,0.5005,1,2020
688084,2021-12-31,1.0,1.0,,25.31,,,2224210.0,,,,CNY,,688084,2021,0.2531,0,2021
688085,2019-12-31,1.0,1.0,,,18449400.0,5.21,,,,,CNY,,688085,2019,,0,2019
688086,2019-06-30,1.0,1.0,65.0,31.55,16748400.0,10.75,,,,,CNY,,688086,2019,0.3155,0,2019
688086,2019-12-31,0.0,1.0,75.0,33.48,48989875.93,9.49,48989875.93,0.0,0.0,,CNY,,688086,2019,0.3348,1,2019
688087,2020-12-31,1.0,1.0,284.0,10.24,76667600.0,4.51,,,,,CNY,,688087,2020,0.1024,0,2020
688089,2018-12-31,1.0,1.0,,,16376000.0,5.72,,,,,CNY,,688089,2018,,0,2018
688090,2019-06-30,1.0,1.0,112.0,23.28,16390300.0,5.13,,,,,CNY,,688090,2019,0.2328,0,2019
688090,2019-12-31,0.0,1.0,119.0,24.19,31893860.42,4.36,31893860.42,,,,CNY,,688090,2019,0.2419,1,2019
688091,2020-12-31,1.0,1.0,35.0,44.3,17893100.0,,,,,,CNY,,688091,2020,0.44299999999999995,0,2020
688092,2020-06-30,1.0,1.0,97.0,30.84,9123100.0,10.75,,,,,CNY,,688092,2020,0.3084,0,2020
688092,2020-12-31,0.0,1.0,105.0,31.44,20047947.83,9.01,20047947.83,0.0,,,CNY,,688092,2020,0.3144,1,2020
688093,2019-12-31,1.0,1.0,46.0,17.9,16216300.0,6.73,,,,,CNY,,688093,2019,0.179,0,2019
688095,2019-12-31,1.0,1.0,214.0,47.56,56653200.0,15.36,,,,,CNY,,688095,2019,0.4756,0,2019
688096,2019-12-31,1.0,1.0,47.0,20.09,15206400.0,4.69,,,,,CNY,,688096,2019,0.2009,0,2019
688097,2020-09-30,1.0,1.0,1487.0,35.8,261671100.0,16.66,,,,,CNY,,688097,2020,0.358,0,2020
688098,2018-12-31,1.0,1.0,,,21287400.0,7.74,,,,,CNY,,688098,2018,,0,2018
688099,2018-12-31,1.0,1.0,619.0,81.13,376293100.0,15.88,,,,,CNY,"报告期内,公司研发费用主要由人工、折旧、测试费、专业服务费、专利费用等构成。",688099,2018,0.8112999999999999,0,2018
688100,2019-06-30,1.0,1.0,337.0,,44560800.0,7.26,,,,,CNY,,688100,2019,,0,2019
688100,2019-12-31,0.0,1.0,347.0,48.67,99126313.23,7.97,99126313.23,0.0,0.0,,CNY,,688100,2019,0.4867,1,2019
688101,2018-12-31,1.0,1.0,,,31844000.0,5.4,,,,,CNY,,688101,2018,,0,2018
688102,2021-06-30,1.0,1.0,72.0,6.9,16663100.0,3.67,,,,,CNY,,688102,2021,0.069,0,2021
