window,window_label,listing_year_min,listing_year_max,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula
W2_2019_2022,W2(19-22),2019,2022,pricing_rd_asset_controls_fe,Price_Day5_pb_indadj,RD_Low_x_Redundancy_High,474,-0.1526237846527741,0.15899198966836905,-0.9599463782491308,0.3370822028486157,0.06307734630923267,Price_Day5_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,simple,FInvention,Redundancy,531,0.006343363838606366,0.011473825025736411,0.5528552008051245,0.5803625659432943,-0.0013230356662410347,FInvention ~ Redundancy
W3_2019_2023,W3(19-23),2019,2023,fe_text,FInvention,Redundancy,531,0.007769240034296105,0.012790535229315851,0.6074210261732472,0.5435715381532572,0.10781309084168411,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,controls_fe,FInvention,Redundancy,531,0.0029294662298810954,0.010788285550999034,0.27154140628116913,0.7859746579164772,0.32858420450906145,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,simple,BHAR,Redundancy,541,-0.006862263481430747,0.004659744800765369,-1.4726693788689054,0.1408402072129462,0.002053758857235799,BHAR ~ Redundancy
W3_2019_2023,W3(19-23),2019,2023,fe_text,BHAR,Redundancy,541,-0.0035711665959185395,0.005171212342547858,-0.6905859514867697,0.4898257784559352,-0.007819857949205478,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,controls_fe,BHAR,Redundancy,541,-0.004084386952228539,0.00519036624641943,-0.786916906884201,0.4313305096844193,-0.017100479172750926,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,simple,FSales_Growth,Redundancy,538,0.023497238959979662,0.015512971039391777,1.514683351133293,0.12985261261566333,0.002011319788016941,FSales_Growth ~ Redundancy
W3_2019_2023,W3(19-23),2019,2023,fe_text,FSales_Growth,Redundancy,538,0.013317701534087217,0.016086462853398275,0.827882528027213,0.4077370306985263,0.12629950793143374,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,controls_fe,FSales_Growth,Redundancy,538,0.0016473371553139783,0.016398760902808455,0.10045497736550663,0.919983124826807,0.20326316837816216,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,pricing_rd_asset_controls_fe,Price_Issue_pb_indadj,RD_Low_x_Redundancy_High,541,-0.0074496176555225516,0.07163555565150527,-0.1039932975708832,0.9171746674952029,0.15875747329190393,Price_Issue_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W3_2019_2023,W3(19-23),2019,2023,pricing_rd_asset_controls_fe,Price_Day5_pb_indadj,RD_Low_x_Redundancy_High,541,-0.08743071862441687,0.14607983559159035,-0.5985132600289574,0.5494975138741711,0.07485863331269693,Price_Day5_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
