spec_label,spec_name,variable,N,mean,std,p25,median,p75
primary_best,proxy_tailmerge1500_floor50,Redundancy,188,30.648614256545855,2.5348953151677964,29.0721515802078,30.83863420031203,32.22414017117438
primary_best,proxy_tailmerge1500_floor50,lnN_tech,188,11.054263638168422,0.3524657910413598,10.857430248653369,11.067255114492573,11.279993524083753
primary_best,proxy_tailmerge1500_floor50,FInvention,188,2.125714717609286,1.2206398059204902,1.3862943611198906,2.0794415416798357,2.724184831386603
primary_best,proxy_tailmerge1500_floor50,BHAR,188,-0.02441655335040612,0.5830421809404457,-0.422439819918916,-0.2330064273386085,0.10484882967130577
primary_best,proxy_tailmerge1500_floor50,FSales_Growth,188,0.39005172314843634,0.7246874931714165,0.04664685200943977,0.266067040037022,0.47999483518685865
primary_best,proxy_tailmerge1500_floor50,lnN_tech,188,11.054263638168422,0.3524657910413598,10.857430248653369,11.067255114492573,11.279993524083753
primary_best,proxy_tailmerge1500_floor50,Size,188,20.70904867806896,1.0312636776233934,19.98272885785636,20.521539895328537,21.143390991310845
primary_best,proxy_tailmerge1500_floor50,Lev,188,0.3288422338941507,0.16830989948086936,0.18657039481318782,0.31291038602827337,0.4387683252566611
primary_best,proxy_tailmerge1500_floor50,ROA,188,0.10164217670393369,0.16291968315809258,0.06700712003233796,0.1052312665737894,0.1664795845952356
primary_best,proxy_tailmerge1500_floor50,Offerfee,188,18.268743033395673,0.4346971407707728,17.95876773700416,18.199691923491805,18.456175016704442
primary_best,proxy_tailmerge1500_floor50,Underwriter,188,0.5159574468085106,0.5010797307567574,0.0,1.0,1.0
primary_best,proxy_tailmerge1500_floor50,Age,188,2.571760321523245,0.3695038822219925,2.3345794166466987,2.596200247691957,2.835343813098891
glm100_legacy,proxy_tailmerge1700_floor50,Redundancy,188,30.648614256545855,2.5348953151677964,29.0721515802078,30.83863420031203,32.22414017117438
glm100_legacy,proxy_tailmerge1700_floor50,lnN_tech,188,11.054263638168422,0.3524657910413598,10.857430248653369,11.067255114492573,11.279993524083753
glm100_legacy,proxy_tailmerge1700_floor50,FInvention,188,2.125714717609286,1.2206398059204902,1.3862943611198906,2.0794415416798357,2.724184831386603
glm100_legacy,proxy_tailmerge1700_floor50,BHAR,188,-0.02441655335040612,0.5830421809404457,-0.422439819918916,-0.2330064273386085,0.10484882967130577
glm100_legacy,proxy_tailmerge1700_floor50,FSales_Growth,188,0.39005172314843634,0.7246874931714165,0.04664685200943977,0.266067040037022,0.47999483518685865
glm100_legacy,proxy_tailmerge1700_floor50,lnN_tech,188,11.054263638168422,0.3524657910413598,10.857430248653369,11.067255114492573,11.279993524083753
glm100_legacy,proxy_tailmerge1700_floor50,Size,188,20.70904867806896,1.0312636776233934,19.98272885785636,20.521539895328537,21.143390991310845
glm100_legacy,proxy_tailmerge1700_floor50,Lev,188,0.3288422338941507,0.16830989948086936,0.18657039481318782,0.31291038602827337,0.4387683252566611
glm100_legacy,proxy_tailmerge1700_floor50,ROA,188,0.10164217670393369,0.16291968315809258,0.06700712003233796,0.1052312665737894,0.1664795845952356
glm100_legacy,proxy_tailmerge1700_floor50,Offerfee,188,18.268743033395673,0.4346971407707728,17.95876773700416,18.199691923491805,18.456175016704442
glm100_legacy,proxy_tailmerge1700_floor50,Underwriter,188,0.5159574468085106,0.5010797307567574,0.0,1.0,1.0
glm100_legacy,proxy_tailmerge1700_floor50,Age,188,2.571760321523245,0.3695038822219925,2.3345794166466987,2.596200247691957,2.835343813098891
