sample,window,window_label,variable,N_x,mean,std,p25,median,p75,coef,t_HC1,p_HC1
full_2019_2023,L_to_L1_total,"listing_year -> listing_year+1, current logic",FSales_combo_L_to_L1_total_w1p,538,0.4094078405973609,1.6726612765279378,-0.0482180615169181,0.1562910304606875,0.3858216176197689,0.0188327692402601,0.6913607100716033,0.4893388885460742
w2_2019_2022,L_to_L1_total,"listing_year -> listing_year+1, current logic",FSales_combo_L_to_L1_total_w1p,471,0.4079162725950434,1.600925054147338,-0.034461568826565,0.1654997044548003,0.4042927875123599,0.029534839537436,0.9140058553372112,0.3607137689882576
full_2019_2023,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,FSales_combo_L1_to_L2_total_w1p,537,0.1878621506100929,0.4587681720006081,-0.0574632135326996,0.1444140229384513,0.3504228554352985,-0.0089663821508589,-0.8637902207877469,0.387703140920985
w2_2019_2022,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,FSales_combo_L1_to_L2_total_w1p,470,0.1779899283595271,0.4497133738339638,-0.076076557808603,0.1319261965283845,0.3395287750391467,-0.0120300787660111,-1.0465630474640115,0.2953011523695276
full_2019_2023,Lm1_to_L1_total,"listing_year-1 -> listing_year+1, two-year total growth",FSales_combo_Lm1_to_L1_total_w1p,82,34.03080155669183,212.06135364928903,0.0129379906104448,0.3496634332554363,0.8570488862511999,-8.54975926248785,-0.8045712798509812,0.4210671210060053
w2_2019_2022,Lm1_to_L1_total,"listing_year-1 -> listing_year+1, two-year total growth",FSales_combo_Lm1_to_L1_total_w1p,74,37.58110481059824,223.0844603319711,0.0381860335201402,0.3496634332554363,0.8570488862511999,-9.320023350417957,-0.8071932611544426,0.4195551476065348
full_2019_2023,Lm1_to_L1_cagr,"listing_year-1 -> listing_year+1, annualized CAGR",FSales_combo_Lm1_to_L1_cagr_w1p,82,1.130214462530008,5.488310048247971,0.0064335887229167,0.1617488395323422,0.3626208434078966,-0.181455718183032,-0.6956553255805824,0.4866447093462529
w2_2019_2022,Lm1_to_L1_cagr,"listing_year-1 -> listing_year+1, annualized CAGR",FSales_combo_Lm1_to_L1_cagr_w1p,74,1.2140663269132903,5.7715260349952455,0.0189002543930042,0.1617488395323422,0.3626208434078966,-0.2028767076695408,-0.7098099237436669,0.4778220143295145
