code,sec_name,first_trade_date,listing_year,FInvention,BHAR,FSales_Growth
688456,有研粉材,2021-03-17,2021,2.70805020110221,-0.4611142283135344,-8.351040132208375e-05
688616,西力科技,2021-03-18,2021,1.0986122886681098,-0.4004473285289935,0.3202873578031994
688092,爱科科技,2021-03-19,2021,2.772588722239781,-0.3666024891993561,-0.0683097734982345
688609,九联科技,2021-03-23,2021,2.302585092994046,-0.2549244503353308,-0.1406271665994159
688633,星球石墨,2021-03-24,2021,2.1972245773362196,-0.289262641298716,0.2657207700693317
688606,奥泰生物,2021-03-25,2021,2.1972245773362196,-0.023909090081816,0.8087530512615678
688195,腾景科技,2021-03-26,2021,1.0986122886681098,-0.0047791755219035,0.1373638421694497
688329,艾隆科技,2021-03-29,2021,3.218875824868201,-0.0385627538113065,0.2261133061312398
688661,和林微纳,2021-03-29,2021,2.0794415416798357,0.5996820160428165,-0.2206364086512072
688109,品茗股份,2021-03-30,2021,1.791759469228055,-0.5458330597186506,-0.0849926142714691
688626,翔宇医疗,2021-03-31,2021,2.0794415416798357,-0.2179292201586534,-0.066794737681603
688659,元琛科技,2021-03-31,2021,2.8903717578961645,-0.3644655488489714,0.1534578309190203
688630,芯碁微装,2021-04-01,2021,2.995732273553991,0.2435768622451317,0.3251051798399541
688662,富信科技,2021-04-01,2021,1.6094379124341005,-0.1533178097688242,-0.2803976938206006
688260,昀冢科技,2021-04-06,2021,2.9444389791664403,-0.4238505274440853,-0.1089891824515863
688191,智洋创新,2021-04-08,2021,3.4339872044851463,-0.2913659674085815,0.0231918567949447
688636,智明达,2021-04-08,2021,1.6094379124341005,-0.1139022572543266,0.2034638167937565
688468,科美诊断,2021-04-09,2021,2.70805020110221,-0.4019820035838365,-0.0116924390127906
688611,杭州柯林,2021-04-12,2021,1.3862943611198906,0.0411277959965459,-0.2182503039721191
688683,莱尔科技,2021-04-12,2021,3.1354942159291497,0.2377530008868,0.0456601828438737
