scope,variable,current_N,original_N,N_diff,current_mean,original_mean,mean_diff,mean_pct_diff_vs_original,current_median,original_median,median_diff
table1_chunk,Chunk_num,7028,8683,-1655,14.054069436539557,18.191,-4.136930563460442,-0.22741633574077524,14.0,16.0,-2.0
table1_chunk,Text_len,7028,8683,-1655,3758.1937962435973,3866.817,-108.62320375640275,-0.02809111570482977,3940.0,3954.0,-14.0
table1_chunk,Summary_len,7028,8683,-1655,128.25270347182698,132.678,-4.425296528173021,-0.03335365718636866,128.0,130.0,-2.0
table1_chunk,Redundancy_chunk,7028,8683,-1655,30.70798514258686,32.176,-1.4680148574131415,-0.04562452938255661,29.954716336295284,29.739,0.21571633629528364
table2_firm,lnN_tech,543,552,-9,10.74453755101102,10.962,-0.21746244898898048,-0.019837844279235586,10.749634751165935,10.91,-0.160365248834065
table2_firm,Redundancy,543,552,-9,29.37420026132719,29.074,0.3002002613271877,0.010325385613509928,29.21746987951807,28.91,0.30746987951807014
table2_firm,FInvention,531,471,60,2.324674941405925,2.282,0.04267494140592509,0.018700675462719148,2.1972245773362196,2.197,0.00022457733621950027
table2_firm,BHAR,541,471,70,-0.0617672526383254,-0.036,-0.025767252638325404,-0.7157570177312613,-0.2038688808743842,-0.17,-0.033868880874384194
table2_firm,FSales_Growth,538,471,67,0.4094078405973609,0.53,-0.12059215940263912,-0.22753237623139455,0.1562910304606875,0.18,-0.02370896953931248
table2_firm,RD_Asset,541,552,-11,0.0786208416889888,0.105,-0.026379158311011203,-0.25123007915248763,0.0523517655643675,0.073,-0.020648234435632497
table2_firm,Underwriter,543,552,-9,0.009208103130755,0.574,-0.5647918968692449,-0.9839580084830052,0.0,1.0,-1.0
