variable,current_N,current_mean,current_std,current_p25,current_median,current_p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,N_diff_current_minus_original,mean_diff_current_minus_original,mean_pct_diff_vs_original,median_diff_current_minus_original
Chunk_num,7028,14.054069436539557,3.985305541024094,11.0,14.0,16.0,8683,18.191,6.983,13.0,16.0,22.0,-1655,-4.136930563460442,-0.22741633574077524,-2.0
Text_len,7028,3758.1937962435973,588.750499784152,3825.0,3940.0,3981.0,8683,3866.817,343.868,3888.0,3954.0,3985.0,-1655,-108.62320375640275,-0.02809111570482977,-14.0
Summary_len,7028,128.25270347182698,26.95723201393539,112.0,128.0,146.0,8683,132.678,39.683,105.0,130.0,158.0,-1655,-4.425296528173021,-0.03335365718636866,-2.0
Redundancy_chunk,7028,30.70798514258686,9.220848594779593,26.11842105263158,29.954716336295284,34.40959191456903,8683,32.176,11.73,24.356,29.739,37.037,-1655,-1.4680148574131415,-0.04562452938255661,0.21571633629528364
