code,sec_name,first_trade_date,listing_year,FInvention,BHAR,FSales_Growth
688559,海目星,2020-09-09,2020,1.0986122886681098,0.8250922173298081,0.5026084163989891
688551,科威尔,2020-09-10,2020,2.0794415416798357,-0.0179198698962317,0.5233936988514111
688577,浙海德曼,2020-09-16,2020,0.6931471805599453,-0.1019401168482697,0.317274376264003
688127,蓝特光学,2020-09-21,2020,1.3862943611198906,-0.4135837123436577,-0.05342389122051
688536,思瑞浦,2020-09-21,2020,2.1972245773362196,1.918154954299888,1.3406456960855258
688156,路德环境,2020-09-22,2020,1.3862943611198906,-0.3267959514995269,0.52556268692486
688526,科前生物,2020-09-22,2020,2.1972245773362196,-0.0300833510420232,0.3080939121457181
688013,天臣医疗,2020-09-28,2020,2.6390573296152584,-0.3705757742496582,0.3085064257751919
688585,上纬新材,2020-09-28,2020,1.6094379124341005,-0.3732451777578419,0.0650720767119898
688093,世华科技,2020-09-30,2020,2.3978952727983707,0.5226540589815275,0.2931967169985714
688330,宏力达,2020-10-15,2020,1.0986122886681098,-0.0008040136185499,0.2460496517677035
688386,泛亚微透,2020-10-16,2020,1.6094379124341005,0.4607929385836032,0.1399914621802881
688788,科思科技,2020-10-22,2020,1.6094379124341005,-0.3300729228617707,-0.0681442290269484
688129,东来技术,2020-10-23,2020,2.1972245773362196,-0.4799125544037835,0.2100773207880835
688179,阿拉丁,2020-10-26,2020,1.0986122886681098,0.4300131521862436,0.2281658593946677
688529,豪森股份,2020-11-09,2020,0.6931471805599453,-0.6290511091030968,0.1512901417251381
688057,金达莱,2020-11-11,2020,0.0,-0.480938288687134,-0.0600248911762939
688135,利扬芯片,2020-11-11,2020,1.0986122886681098,-0.3038112168676758,0.5473053311417146
688160,步科股份,2020-11-12,2020,0.0,-0.4053946343893482,0.2378234817247154
688219,会通股份,2020-11-18,2020,2.833213344056216,-0.6750653926382223,0.1884659587489618
688777,中控技术,2020-11-24,2020,4.143134726391533,-0.3281000233165445,0.4307627582342621
688557,兰剑智能,2020-12-02,2020,2.5649493574615367,-0.6750653926382223,0.3366238445320657
688578,艾力斯,2020-12-02,2020,2.3978952727983707,-0.3186092557264851,14.719926489337396
688590,新致软件,2020-12-07,2020,1.6094379124341005,-0.3959774133010142,0.1938040650475878
688308,欧科亿,2020-12-10,2020,1.6094379124341005,0.5919719222477435,0.4103900122616697
688571,杭华股份,2020-12-11,2020,1.0986122886681098,-0.5326624311239578,0.1637276819704461
688136,科兴制药,2020-12-14,2020,1.0986122886681098,-0.4063667536016855,0.053169115564331
688510,航亚科技,2020-12-16,2020,2.302585092994046,-0.354248117708567,0.0382422238568141
688608,恒玄科技,2020-12-16,2020,3.4657359027997265,-0.2994552082921793,0.6635754553735659
688699,明微电子,2020-12-18,2020,2.1972245773362196,1.0895286688746986,1.382056838303023
688668,鼎通科技,2020-12-21,2020,2.302585092994046,0.4620753318812023,0.5876226905372471
688560,明冠新材,2020-12-24,2020,1.3862943611198906,-0.1296964436520238,0.4032514276673579
688658,悦康药业,2020-12-24,2020,2.4849066497880004,-0.2248670203025989,0.1444536390617515
688679,通源环境,2020-12-25,2020,0.6931471805599453,-0.4584751456206636,0.1274655361121919
688698,伟创电气,2020-12-29,2020,2.3978952727983707,0.1323782808334315,0.4310235420006441
688063,派能科技,2020-12-30,2020,1.791759469228055,-0.513079369934294,0.8414161183193629
688618,三旺通信,2020-12-30,2020,2.1972245773362196,-0.4188741050740369,0.213480588410214
688686,奥普特,2020-12-31,2020,2.302585092994046,0.0088324626738474,0.3621042178733549
688617,惠泰医疗,2021-01-07,2021,1.3862943611198906,-0.2851543761384542,0.4674016565810547
688656,浩欧博,2021-01-13,2021,0.6931471805599453,-0.2713224658760309,0.0084489759319502
688317,之江生物,2021-01-18,2021,1.3862943611198906,-0.5005216978868137,0.1522789965997779
688819,天能股份,2021-01-18,2021,4.6913478822291435,-0.4320308521778709,0.0817799380070222
