sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688004,博汇科技,18,68717.0,2579.0,0,2.132812496660354,11.13775190029194,26.644823575029083
688017,绿的谐波,10,39815.0,1520.0,0,2.115352897257005,10.591999004691544,26.19407894736842
688026,洁特生物,24,93604.0,3526.0,0,2.1418130065476393,11.446828396595302,26.546795235394214
688027,国盾量子,20,78084.0,2799.0,0,1.916099434805116,11.265540449282984,27.89710610932476
688037,芯源微,12,47650.0,1863.0,0,2.394287159462722,10.771637909082347,25.577026301663984
688039,当虹科技,14,56459.0,2213.0,0,2.0376278674441277,10.941269989996359,25.512426570266605
688050,爱博医疗,22,84393.0,3045.0,0,2.4127229430111417,11.343239738755845,27.715270935960593
688051,佳华科技,19,75270.0,2580.0,0,1.8033932855945414,11.228836928028578,29.174418604651162
688055,龙腾光电,14,57274.0,2223.0,0,2.037593567893107,10.955602047544657,25.764282501124608
688056,莱伯泰科,18,69939.0,2449.0,0,1.7849715889711708,11.155378712545462,28.558187015108206
688060,云涌科技,11,45219.0,1622.0,0,1.7864165698771501,10.719272631478638,27.87854500616523
688065,凯赛生物,13,51415.0,1836.0,0,2.3176990717514467,10.84768523766329,28.003812636165577
688069,德林海,19,75234.0,2873.0,0,1.9521930903097886,11.228358535418593,26.186564566655065
688077,大地熊,12,47357.0,1694.0,0,2.2741836203255406,10.765469922956939,27.95572609208973
688080,映翰通,14,56895.0,2230.0,0,1.9358439367927034,10.948962742791108,25.513452914798208
688085,三友医疗,23,91293.0,3241.0,0,1.9611907470140262,11.421829393326107,28.168157975933354
688086,紫晶存储,25,99312.0,3986.0,0,1.9398089390837139,11.506021688653433,24.915203211239337
688089,嘉必优,16,62300.0,2309.0,0,1.6299826351294673,11.039716704775545,26.981377219575574
688090,瑞松科技,23,90269.0,3593.0,0,2.492531303821626,11.410549380353363,25.123573615363206
688095,福昕软件,12,45244.0,1358.0,0,1.9614460658815498,10.719825343651271,33.316642120765835
688096,京源环保,19,75301.0,2748.0,0,1.8575736106679124,11.229248693912288,27.402110625909753
688100,威胜信息,22,87624.0,3037.0,0,2.04868965636142,11.380810212003583,28.852156733618703
688106,金宏气体,17,68111.0,2864.0,0,2.197237026019824,11.128894006259427,23.78177374301676
688126,沪硅产业,12,46090.0,1819.0,0,1.875413900885792,10.738351285714554,25.338097855964815
