Stkcd,Accper,StateTypeCode,A001,A002,A001219,code,Accper_dt,fin_year,B001101,B0011,B001201,B002,sec_code,sec_name,listing_year,revenue_target_year,pre_target_year,pre_year_gap,strict_lag1
688035,2020-12-31,A,499306516.12,103448527.02,,688035,2020-12-31,2020,417165304.62,417165304.62,271338937.22,48417228.9,688035,德邦科技,2022.0,931975150.19,2021.0,1.0,False
688035,2019-12-31,A,499694911.69,152254151.49,,688035,2019-12-31,2019,327166438.21,327166438.21,196935001.33,33160642.86,688035,德邦科技,2022.0,931975150.19,2021.0,2.0,False
688036,2018-12-31,A,10353199317.86,6431182145.17,,688036,2018-12-31,2018,22645881210.4,22645881210.4,17109367906.97,653802345.3,688036,传音控股,2019.0,37791888885.74,2018.0,0.0,True
688036,2017-12-31,A,8748163138.15,5537888014.31,,688036,2017-12-31,2017,20043626349.8,20043626349.8,15839597801.06,677259092.36,688036,传音控股,2019.0,37791888885.74,2018.0,1.0,False
688036,2016-12-31,A,6749245504.53,4798933853.31,,688036,2016-12-31,2016,11636757528.57,11636757528.57,9240776553.01,86280487.35,688036,传音控股,2019.0,37791888885.74,2018.0,2.0,False
688037,2018-12-31,A,379702816.67,159825888.44,,688037,2018-12-31,2018,209990524.25,209990524.25,112368439.89,30477913.09,688037,芯源微,2019.0,328900200.07,2018.0,0.0,True
688037,2017-12-31,A,335138488.89,141959473.75,,688037,2017-12-31,2017,189885024.08,189885024.08,110738652.68,26268063.63,688037,芯源微,2019.0,328900200.07,2018.0,1.0,False
688037,2016-12-31,A,297327096.44,150974632.43,,688037,2016-12-31,2016,147603129.93,147603129.93,85396805.58,4928457.22,688037,芯源微,2019.0,328900200.07,2018.0,2.0,False
688038,2020-12-31,A,1024864498.06,520907630.5,,688038,2020-12-31,2020,495970357.57,495970357.57,364348710.04,55395374.09,688038,中科通达,2021.0,391168590.91,2020.0,0.0,True
688038,2019-12-31,A,956671997.39,509854676.31,,688038,2019-12-31,2019,442916976.4,442916976.4,319022181.92,50297972.43,688038,中科通达,2021.0,391168590.91,2020.0,1.0,False
688038,2018-12-31,A,563628654.8,242565654.1,,688038,2018-12-31,2018,266721689.27,266721689.27,181801317.08,36662500.06,688038,中科通达,2021.0,391168590.91,2020.0,2.0,False
688039,2018-12-31,A,445756492.75,62499728.15,,688039,2018-12-31,2018,203551860.69,203551860.69,77873357.0,63898057.84,688039,当虹科技,2019.0,365891260.19,2018.0,0.0,True
688039,2017-12-31,A,354009947.88,34651241.12,,688039,2017-12-31,2017,138984205.08,138984205.08,47687610.47,40681243.66,688039,当虹科技,2019.0,365891260.19,2018.0,1.0,False
688039,2016-12-31,A,112926496.82,11949033.72,,688039,2016-12-31,2016,101513298.56,101513298.56,26589909.89,35674086.07,688039,当虹科技,2019.0,365891260.19,2018.0,2.0,False
688041,2021-12-31,A,10457352167.99,4195866163.48,969349386.62,688041,2021-12-31,2021,2310415312.15,2310415312.15,1017707995.33,437606441.27,688041,海光信息,2022.0,6011998991.03,2021.0,0.0,True
