variant,year,rank,firm,rank_value
Underwriter_ipocsne_annual_grsprc_full,2019,5,中邮证券有限责任公司,2844690.0
Underwriter_ipocsne_annual_grsprc_full,2019,6,民生证券股份有限公司,1620451.3464000002
Underwriter_ipocsne_annual_grsprc_full,2019,7,招商证券股份有限公司,1454983.05
Underwriter_ipocsne_annual_grsprc_full,2019,8,中银国际证券股份有限公司,1262467.34
Underwriter_ipocsne_annual_grsprc_full,2019,9,国开证券股份有限公司,1257415.0
Underwriter_ipocsne_annual_grsprc_full,2019,10,天风证券股份有限公司,1125777.96
Underwriter_ipocsne_annual_grsprc_full,2020,1,中国国际金融股份有限公司,13771294.11
Underwriter_ipocsne_annual_grsprc_full,2020,2,中信建投证券股份有限公司,13743791.455699999
Underwriter_ipocsne_annual_grsprc_full,2020,3,中信证券股份有限公司,8566914.508
Underwriter_ipocsne_annual_grsprc_full,2020,4,海通证券股份有限公司,7446497.89
Underwriter_ipocsne_annual_grsprc_full,2020,5,国泰君安证券股份有限公司,7121108.449999999
Underwriter_ipocsne_annual_grsprc_full,2020,6,摩根士丹利华鑫证券有限责任公司,4882256.02
Underwriter_ipocsne_annual_grsprc_full,2020,7,国开证券股份有限公司,4628712.52
Underwriter_ipocsne_annual_grsprc_full,2020,8,华泰联合证券有限责任公司,2544175.5309
Underwriter_ipocsne_annual_grsprc_full,2020,9,东方证券承销保荐有限公司,1951961.642
Underwriter_ipocsne_annual_grsprc_full,2020,10,申万宏源证券承销保荐有限责任公司,1769823.4493999998
Underwriter_ipocsne_annual_grsprc_full,2021,1,中信证券股份有限公司,18479943.3693
Underwriter_ipocsne_annual_grsprc_full,2021,2,中国国际金融股份有限公司,11576320.7981
Underwriter_ipocsne_annual_grsprc_full,2021,3,华泰联合证券有限责任公司,9761822.3093
Underwriter_ipocsne_annual_grsprc_full,2021,4,中信建投证券股份有限公司,9588525.6954
Underwriter_ipocsne_annual_grsprc_full,2021,5,招商证券股份有限公司,7000416.1779000005
Underwriter_ipocsne_annual_grsprc_full,2021,6,国泰君安证券股份有限公司,6094282.6918
Underwriter_ipocsne_annual_grsprc_full,2021,7,中银国际证券股份有限公司,4742939.276
Underwriter_ipocsne_annual_grsprc_full,2021,8,海通证券股份有限公司,4617873.2307
Underwriter_ipocsne_annual_grsprc_full,2021,9,光大证券股份有限公司,3393034.7479999997
Underwriter_ipocsne_annual_grsprc_full,2021,10,申万宏源证券承销保荐有限责任公司,3052254.1662999997
Underwriter_ipocsne_annual_grsprc_full,2022,1,中信证券股份有限公司,19288805.5343
Underwriter_ipocsne_annual_grsprc_full,2022,2,中国国际金融股份有限公司,13995553.958999999
Underwriter_ipocsne_annual_grsprc_full,2022,3,中信建投证券股份有限公司,11195998.547
Underwriter_ipocsne_annual_grsprc_full,2022,4,华泰联合证券有限责任公司,8238328.055499999
Underwriter_ipocsne_annual_grsprc_full,2022,5,中银国际证券股份有限公司,7677540.6
Underwriter_ipocsne_annual_grsprc_full,2022,6,招商证券股份有限公司,5898271.4232
Underwriter_ipocsne_annual_grsprc_full,2022,7,海通证券股份有限公司,5159437.9126
Underwriter_ipocsne_annual_grsprc_full,2022,8,国泰君安证券股份有限公司,4082953.4797
Underwriter_ipocsne_annual_grsprc_full,2022,9,民生证券股份有限公司,1857299.5147000002
Underwriter_ipocsne_annual_grsprc_full,2022,10,国信证券股份有限公司,1504080.5236
Underwriter_ipocsne_annual_grsprc_full,2023,1,中信证券股份有限公司,7953250.7145
Underwriter_ipocsne_annual_grsprc_full,2023,2,海通证券股份有限公司,5724182.2775
Underwriter_ipocsne_annual_grsprc_full,2023,3,中国国际金融股份有限公司,5694592.89
Underwriter_ipocsne_annual_grsprc_full,2023,4,中信建投证券股份有限公司,4604532.9182
Underwriter_ipocsne_annual_grsprc_full,2023,5,国泰君安证券股份有限公司,4281082.306
Underwriter_ipocsne_annual_grsprc_full,2023,6,华泰联合证券有限责任公司,3052858.5382
Underwriter_ipocsne_annual_grsprc_full,2023,7,东方证券承销保荐有限公司,2755943.38
Underwriter_ipocsne_annual_grsprc_full,2023,8,国开证券股份有限公司,2120300.0
Underwriter_ipocsne_annual_grsprc_full,2023,9,民生证券股份有限公司,2023924.6600000001
Underwriter_ipocsne_annual_grsprc_full,2023,10,兴业证券股份有限公司,1548705.48
Underwriter_ipocsne_annual_grsprc_weighted,2019,1,中信证券股份有限公司,4409300.274666667
Underwriter_ipocsne_annual_grsprc_weighted,2019,2,中国国际金融股份有限公司,3919531.258
Underwriter_ipocsne_annual_grsprc_weighted,2019,3,中信建投证券股份有限公司,2281295.5022
Underwriter_ipocsne_annual_grsprc_weighted,2019,4,招商证券股份有限公司,1231275.18
Underwriter_ipocsne_annual_grsprc_weighted,2019,5,瑞银证券有限责任公司,939824.3466666667
Underwriter_ipocsne_annual_grsprc_weighted,2019,6,国信证券股份有限公司,840811.13
Underwriter_ipocsne_annual_grsprc_weighted,2019,7,广发证券股份有限公司,808699.463
Underwriter_ipocsne_annual_grsprc_weighted,2019,8,长江证券承销保荐有限公司,738733.264
Underwriter_ipocsne_annual_grsprc_weighted,2019,9,中邮证券有限责任公司,711172.5
Underwriter_ipocsne_annual_grsprc_weighted,2019,10,国泰君安证券股份有限公司,709643.653
Underwriter_ipocsne_annual_grsprc_weighted,2020,1,中信建投证券股份有限公司,7015151.117366667
Underwriter_ipocsne_annual_grsprc_weighted,2020,2,中国国际金融股份有限公司,5960087.006666667
Underwriter_ipocsne_annual_grsprc_weighted,2020,3,中信证券股份有限公司,5132611.658566667
Underwriter_ipocsne_annual_grsprc_weighted,2020,4,海通证券股份有限公司,2994112.3666666667
Underwriter_ipocsne_annual_grsprc_weighted,2020,5,国泰君安证券股份有限公司,2415625.6816666666
Underwriter_ipocsne_annual_grsprc_weighted,2020,6,华泰联合证券有限责任公司,2152647.437566667
Underwriter_ipocsne_annual_grsprc_weighted,2020,7,国金证券股份有限公司,1643389.7044
