variable,paper_variable,N,mean,std,p25,median,p75,paper_N,paper_mean,paper_std,paper_median
Redundancy,Redundancy,471,30.530434866601063,2.545790374994542,28.920624443376077,30.598933649289098,32.162921650441405,552,29.074,2.63,28.91
FInvention,FInvention,471,2.2626215075652163,1.2082585490646802,1.3862943611198906,2.1972245773362196,2.8903717578961645,471,2.282,1.2,2.197
BHAR,BHAR,471,-0.05999375690018643,0.5089508033795738,-0.40391598900896797,-0.222623462177226,0.087665274140895,471,-0.036,0.514,-0.17
FSales_Growth,FSales_Growth,471,0.3149012517923871,1.106764658805024,-0.03372083303914975,0.1685475173813436,0.40429278751235986,471,0.53,1.522,0.18
Size,Size,471,20.76064911239575,1.0046404292394375,20.11675721703481,20.56164545796059,21.172484393418287,552,20.741,0.99,20.533
Lev,Lev,471,0.3556844608285034,0.17761446711360776,0.2135561651364863,0.3350809361799536,0.47470547548468395,552,0.356,0.183,0.334
ROA,ROA,471,0.10351474286506027,0.18436740449471573,0.06284981227419151,0.1061573546228761,0.16542845641098136,552,0.094,0.145,0.1
Size_ipo_pre,Size,471,20.71745773671655,1.000912455940361,20.034077751854873,20.52077559448885,21.09326943058207,552,20.741,0.99,20.533
Lev_ipo_pre,Lev,471,0.35298134011728693,0.17231997088736142,0.21203649738551525,0.3338467301876426,0.4645066675575785,552,0.356,0.183,0.334
ROA_ipo_pre,ROA,471,0.10212429357485223,0.16225907138375784,0.06320367744291011,0.1053349152920969,0.1630387499664686,552,0.094,0.145,0.1
Offerfee,Offerfee,471,18.285433193459845,0.48306945795450185,17.921334202432128,18.226463513352023,18.585228491207985,552,18.325,0.483,18.27
Underwriter_ipo,Underwriter,471,0.6072186836518046,0.4888881360009863,0.0,1.0,1.0,552,0.574,0.495,1.0
Age,Age,471,2.609012303931008,0.4007443285943363,2.3560212186996465,2.668064422374344,2.88839239112105,552,2.601,0.408,2.639
ScopeLen,ScopeLen,471,5.7181614163410694,0.8115297506629233,5.225616583950532,5.823045895483019,6.292490786174322,552,5.671,0.854,5.762
NumIndSeg,NumIndSeg,471,0.8870771527913022,0.3723018256255335,0.6931471805599453,0.6931471805599453,1.0986122886681098,552,0.854,0.361,0.693
NumProdSeg,NumProdSeg,471,1.5026979971149055,0.3566364127938471,1.3862943611198906,1.6094379124341005,1.791759469228055,552,1.475,0.376,1.609
RD_Staff_ipo,RD_Staff,471,0.2703079965687582,0.1987545510791256,0.13380954765899544,0.2127107652399481,0.3810073612598043,552,0.305,0.194,0.24
