spec,dep_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,paper_coef,paper_t,paper_N,sign_match,formula,error
paper_exact_current_fin_fe,FInvention,288,-0.05641964039957298,0.023352193556681663,-2.4160317215009495,0.01569069432163326,0.31868524947800714,-0.0316,-1.72,471,True,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
paper_exact_current_fin_fe,BHAR,288,-0.021550702896434484,0.012927970045580823,-1.6669827374639667,0.0955178374696931,0.11067939463528031,-0.0188,-2.14,471,True,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
paper_exact_current_fin_fe,FSales_Growth,288,0.016270986879775726,0.02233434444706968,0.7285186685616161,0.4662961450041726,0.1916373411075849,-0.0373,-2.02,471,False,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
paper_exact_ipo_pre_fin_fe,FInvention,288,-0.060860359934488004,0.023337336327177445,-2.6078537448000527,0.009111187427710768,0.3105861650101769,-0.0316,-1.72,471,True,FInvention ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
paper_exact_ipo_pre_fin_fe,BHAR,288,-0.021258407495885156,0.012945757598053052,-1.6421138226072043,0.1005664175869005,0.11259375560253804,-0.0188,-2.14,471,True,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
paper_exact_ipo_pre_fin_fe,FSales_Growth,288,0.015316190724481916,0.022414560027557356,0.6833143593116072,0.4944082225447761,0.19912302558422668,-0.0373,-2.02,471,False,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
rd_staff_extra_current_fin_fe,FInvention,288,-0.05429600387562751,0.022746152145105152,-2.3870412687497877,0.016984584564583658,0.32459203657908664,-0.0316,-1.72,471,True,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
rd_staff_extra_current_fin_fe,BHAR,288,-0.02239652759451451,0.012968873791666358,-1.726944679568572,0.08417759917824444,0.11287837080642216,-0.0188,-2.14,471,True,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
rd_staff_extra_current_fin_fe,FSales_Growth,288,0.016539447767719744,0.022394208077700897,0.7385591716542524,0.4601747240278822,0.1885994651750812,-0.0373,-2.02,471,False,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
rd_staff_extra_ipo_pre_fin_fe,FInvention,288,-0.05849489871232667,0.022653569355026867,-2.582149320294488,0.00981870922141974,0.3175620592304327,-0.0316,-1.72,471,True,FInvention ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
rd_staff_extra_ipo_pre_fin_fe,BHAR,288,-0.02213224077712704,0.012981965729271804,-1.704845108874625,0.0882233160145934,0.11463115271818558,-0.0188,-2.14,471,True,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
rd_staff_extra_ipo_pre_fin_fe,FSales_Growth,288,0.015798654875217644,0.022513438890139924,0.7017432988496878,0.48283926515891973,0.19641921096698178,-0.0373,-2.02,471,False,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
