sec_code,sec_name,chunk_n,text_sum,summary_sum,relevant_score_mean,cap_applied_n,red_chunk_mean,candidate,Redundancy_diag,lnN_tech_diag
688001,华兴源创,17,66441.0,2147.0,2.3657566985873766,2,33.19704646948445,tailmerge1700_highshare10_cap80,30.945971122496506,11.104069614787955
688002,睿创微纳,15,56427.0,1556.0,2.366461354786515,2,37.329653249319676,tailmerge1700_highshare10_cap80,36.26413881748072,10.940703046338914
688003,天准科技,17,67095.0,2664.0,2.712718349916192,3,28.23452573542748,tailmerge1700_highshare10_cap80,25.18581081081081,11.113864804535059
688004,博汇科技,18,68717.0,2064.0,2.169618307756524,5,36.018498941972375,tailmerge1700_highshare10_cap80,33.29312015503876,11.13775190029194
688005,容百科技,12,47741.0,1437.0,2.2793008875910643,3,36.50087259261165,tailmerge1700_highshare10_cap80,33.22268615170494,10.773545846468581
688006,杭可科技,13,51366.0,1440.0,2.560762171672091,3,37.994416910559515,tailmerge1700_highshare10_cap80,35.670833333333334,10.846731753970541
688007,光峰科技,16,63227.0,2339.0,2.610310674552978,1,27.87438360102506,tailmerge1700_highshare10_cap80,27.031637451902522,11.054486704094396
688008,澜起科技,10,37624.0,1171.0,2.167641089464116,2,34.99506158911565,tailmerge1700_highshare10_cap80,32.12980358667805,10.535397423624884
688009,中国通号,26,100149.0,2801.0,2.434080129746012,2,37.15655385830056,tailmerge1700_highshare10_cap80,35.75473045340949,11.514414356021648
688010,福光股份,13,51938.0,1614.0,2.26876779198697,4,35.36363191514798,tailmerge1700_highshare10_cap80,32.179677819083025,10.85780597850694
688011,新光光电,15,60685.0,2049.0,2.336341404731897,3,32.666989090957344,tailmerge1700_highshare10_cap80,29.616886285993168,11.013451829540461
688012,中微公司,8,32325.0,986.0,2.165202561147318,2,36.37142181407278,tailmerge1700_highshare10_cap80,32.783975659229206,10.383596203640058
688013,天臣医疗,17,66732.0,2203.0,2.5845661974281353,2,32.774495755143235,tailmerge1700_highshare10_cap80,30.291420789832046,11.108439876975565
688015,交控科技,15,56851.0,1665.0,2.1257019497722274,3,35.25095682417264,tailmerge1700_highshare10_cap80,34.14474474474474,10.948189089173493
688016,心脉医疗,14,56003.0,1818.0,2.4883209042461227,2,32.816075027225004,tailmerge1700_highshare10_cap80,30.804730473047304,10.93316053971096
688017,绿的谐波,10,39815.0,1327.0,2.26794815952443,2,32.39113991010895,tailmerge1700_highshare10_cap80,30.00376789751319,10.591999004691544
688018,乐鑫科技,11,43794.0,1284.0,2.441455607452815,3,36.56220886825071,tailmerge1700_highshare10_cap80,34.10747663551402,10.687252100679688
688019,安集科技,11,44881.0,1476.0,2.141834224491857,3,33.67034734482065,tailmerge1700_highshare10_cap80,30.40718157181572,10.711769821588275
688020,方邦股份,9,37061.0,1209.0,2.3689625934631686,1,32.88062086006241,tailmerge1700_highshare10_cap80,30.654259718775847,10.520320482745682
688021,奥福环保,19,74095.0,2201.0,2.04237629419435,4,35.59058983195147,tailmerge1700_highshare10_cap80,33.66424352567015,11.213103332624279
688022,瀚川智能,17,68761.0,2196.0,2.4416506018835062,2,33.228363166322104,tailmerge1700_highshare10_cap80,31.311930783242257,11.138392002730184
688023,安恒信息,20,75560.0,2632.0,2.5057937429941175,2,29.903094332949223,tailmerge1700_highshare10_cap80,28.70820668693009,11.232682321615446
688025,杰普特,19,73532.0,2563.0,2.4598550125490894,3,31.67615507293858,tailmerge1700_highshare10_cap80,28.68981662114709,11.205475964602762
688026,洁特生物,24,93604.0,3382.0,2.407743760846128,3,29.51761204679927,tailmerge1700_highshare10_cap80,27.67711413364873,11.446828396595302
688027,国盾量子,20,78084.0,2728.0,2.3193614275566503,2,30.027969125310353,tailmerge1700_highshare10_cap80,28.62316715542522,11.265540449282984
688028,沃尔德,16,63160.0,1937.0,2.4112517860364777,0,33.042211207011036,tailmerge1700_highshare10_cap80,32.60712441920496,11.053426468369578
688029,南微医学,26,101138.0,3224.0,2.287175303775246,3,32.45088739154722,tailmerge1700_highshare10_cap80,31.370347394540943,11.524241199868552
688030,山石网科,22,84483.0,2841.0,2.3414284768272133,5,33.28031580226621,tailmerge1700_highshare10_cap80,29.737064413938754,11.344305609673212
688031,星环科技,18,71790.0,2330.0,2.370985033663599,3,33.125851755517886,tailmerge1700_highshare10_cap80,30.811158798283262,11.181500469570528
688032,禾迈股份,13,51651.0,1760.0,2.298755721788999,2,32.081393540924935,tailmerge1700_highshare10_cap80,29.34715909090909,10.852264835444583
688033,天宜上佳,27,104701.0,3078.0,2.503515398839315,2,34.854343159898995,tailmerge1700_highshare10_cap80,34.01591942820013,11.558863947911393
688035,德邦科技,12,46065.0,1645.0,2.3658654256466054,2,31.163228325048262,tailmerge1700_highshare10_cap80,28.003039513677813,10.737808721543033
688036,传音控股,23,89683.0,2980.0,2.3557413273376953,5,32.427976489596425,tailmerge1700_highshare10_cap80,30.09496644295302,11.404036509461282
688037,芯源微,12,47650.0,1669.0,2.318488938677256,3,34.50755312292224,tailmerge1700_highshare10_cap80,28.55002995805872,10.771637909082347
688038,中科通达,16,61022.0,2212.0,2.615836454394287,1,28.850123563700734,tailmerge1700_highshare10_cap80,27.586799276672693,11.018989733872505
688039,当虹科技,14,56459.0,1868.0,2.312606074648603,4,34.2117393653616,tailmerge1700_highshare10_cap80,30.224304068522486,10.941269989996359
688041,海光信息,9,34614.0,1084.0,2.1065854822624726,2,34.00098794719188,tailmerge1700_highshare10_cap80,31.931734317343174,10.452013503484945
688045,必易微,10,39304.0,1275.0,2.331876301645224,0,31.07412931402531,tailmerge1700_highshare10_cap80,30.826666666666668,10.579081573848484
688046,药康生物,13,51765.0,1619.0,2.036785456492407,2,34.9145573024827,tailmerge1700_highshare10_cap80,31.973440395305744,10.854469524200214
688047,龙芯中科,8,31169.0,1027.0,2.5160269492323604,1,31.622382521197043,tailmerge1700_highshare10_cap80,30.34956183057449,10.347179290116486
688048,长光华芯,16,60619.0,1889.0,2.094494118466579,4,35.2290248354808,tailmerge1700_highshare10_cap80,32.09052408681842,11.012363654269858
688049,炬芯科技,9,36653.0,1302.0,2.191753989634226,2,32.01537797659716,tailmerge1700_highshare10_cap80,28.15130568356375,10.50925055935364
688050,爱博医疗,22,84393.0,2724.0,2.1859052177691614,5,35.19272536434906,tailmerge1700_highshare10_cap80,30.98127753303965,11.343239738755845
